nGroup	nIndex	nLevel	nAwardGold	nDay	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
1	1	0	1900000		1	1			1		1
1	2	30	800000		1	1			1		1
1	3	35	800000		1	1			1		1
1	4	40	800000		1	1			1		1
1	5	45	800000		1	1			1		1
1	6	50	800000		1	1			1		1
1	7	55	800000		1	1			1		1
1	8	60	800000		1	1			1		1
1	1	0	1000				1				
1	2	30	800				1				
1	3	35	800				1				
1	4	40	1000				1				
1	5	45	1000				1				
1	6	50	1000				1				
1	7	55	1200				1				
1	8	60	1200				1				
1	1	0	1480					1			
1	2	30	800					1			
1	3	35	800					1			
1	4	40	800					1			
1	5	45	800					1			
1	6	50	800					1			
1	7	55	800					1			
1	8	60	1000					1			
1	1	0	1340							1	
1	2	30	500							1	
1	3	35	500							1	
1	4	40	500							1	
1	5	45	800							1	
1	6	50	800							1	
1	7	55	800							1	
1	8	60	1000							1	
2	1	65	1960		1				1		1
2	2	70	980		1				1		1
2	3	75	1960		1				1		1
2	4	80	980		1				1		1
2	5	85	1960		1				1		1
2	1	65	1500				1				
2	2	70	1000				1				
2	3	75	2000				1				
2	4	80	1500				1				
2	5	85	2000				1				
2	1	65	1960					1			
2	2	70	980					1			
2	3	75	1960					1			
2	4	80	980					1			
2	5	85	1960					1			
2	1	65	2500000			1					
2	2	70	750000			1					
2	3	75	1750000			1					
2	4	80	750000			1					
2	5	85	1750000			1					
2	1	65	1700							1	
2	2	70	1000							1	
2	3	75	1000							1	
2	4	80	1500							1	
2	5	85	2000							1	
3	1	90	2160		1				1		1
3	2	93	1080		1				1		1
3	3	96	2160		1				1		1
3	4	98	1080		1				1		1
3	5	100	2160		1				1		1
3	1	90	2000				1				
3	2	93	1400				1				
3	3	96	1800				1				
3	4	98	1800				1				
3	5	100	2000				1				
3	1	90	2100					1			
3	2	93	1020					1			
3	3	96	2100					1			
3	4	98	1080					1			
3	5	100	2100					1			
3	1	90	2500000			1					
3	2	93	750000			1					
3	3	96	1750000			1					
3	4	98	750000			1					
3	5	100	1750000			1					
3	1	90	2180							1	
3	2	93	1000							1	
3	3	96	1000							1	
3	4	98	1500							1	
3	5	100	2000							1	
4	1	0	600	1	1		1	1	1	1	1
4	2	1	500	3	1		1	1	1	1	1
4	3	1	500	6	1		1	1	1	1	1
4	4	1	500	10	1		1	1	1	1	1
4	5	1	500	15	1		1	1	1	1	1
4	6	1	500	20	1		1	1	1	1	1
4	7	1	500	25	1		1	1	1	1	1
4	8	1	500	30	1		1	1	1	1	1
4	9	1	500	35	1		1	1	1	1	1
4	10	1	500	40	1		1	1	1	1	1
4	11	1	500	45	1		1	1	1	1	1
4	12	1	500	50	1		1	1	1	1	1
4	13	1	500	55	1		1	1	1	1	1
4	14	1	600	60	1		1	1	1	1	1
