ProductId	szDesc	szServiceCode	nLastingDay	nMoney	szMoneyType	nNeedVipLevel	szAward	szFirstAward	szThirdAward	szFourthAward	szFifthAward	szGroup	nGroupIndex	szVersion	nEndTimeKey	nBuyDayKey	szSprite	szFirstDesc	szNoromalDesc	Plat
com.tencent.jxqy.money60	80 Nguyên Bảo		0	600	RMB		Gold|5	Gold|60				BuyGold	1	version_tx			Recharge_00	Tặng thêm 60 Nguyên Bảo, được mua 1 lần	60 Nguyên Bảo (tặng 5 Nguyên Bảo)	
com.tencent.jxqy.money300	200 Nguyên Bảo			3000	RMB		Gold|30	Gold|300				BuyGold	2	version_tx			Recharge_02	Tặng thêm 300 Nguyên Bảo, được mua 1 lần	300 Nguyên Bảo (tặng 30 Nguyên Bảo)	
com.tencent.jxqy.money980	400 Nguyên Bảo			9800	RMB		Gold|150	Gold|980				BuyGold	3	version_tx			Recharge_03	Tặng thêm 980 Nguyên Bảo, được mua 1 lần	980 Nguyên Bảo (tặng 150 Nguyên Bảo)	
com.tencent.jxqy.money1980	2,000 Nguyên Bảo			19800	RMB		Gold|400	Gold|1980				BuyGold	4	version_tx			Recharge_04	Tặng thêm 1980 Nguyên Bảo, được mua 1 lần	1980 Nguyên Bảo (tặng 400 Nguyên Bảo)	
com.tencent.jxqy.money3280	4,000 Nguyên Bảo			32800	RMB		Gold|850	Gold|3280				BuyGold	5	version_tx			Recharge_05	Tặng thêm 3280 Nguyên Bảo, được mua 1 lần	3280 Nguyên Bảo (tặng 850 Nguyên Bảo)	
com.tencent.jxqy.money6480	6,000 Nguyên Bảo			64800	RMB		Gold|2000	Gold|6480				BuyGold	6	version_tx			Recharge_06	Tặng thêm 6480 Nguyên Bảo, được mua 1 lần	6480 Nguyên Bảo (tặng 2000 Nguyên Bảo)	
com.tencent.jxqy.gift18	Quà 7 Ngày	weekcard	7	1800	RMB		Gold|180					DaysCard	1	version_tx	7		Recharge_09		Quà 7 Ngày	
com.tencent.jxqy.gift30	Quà 30 Ngày	monthcard	30	3000	RMB		Gold|300					DaysCard	2	version_tx	2		Recharge_10		Quà 30 Ngày	
com.tencent.jxqy.supergift40	Quà Chí Tôn 7 Ngày	weekcard40	7	4000	RMB		Gold|400					DaysCard	3	version_tx	82		Recharge_11		Quà Chí Tôn 7 Ngày	
com.tencent.jxqy.giftlevel	Đầu Tư	invest	999999	8800	RMB							GrowInvest	1	version_tx					Quỹ trưởng thành 200.000 VNĐ	
com.tencent.jxqy.giftlevel2	Đầu Tư 2	invest2	999999	9800	RMB							GrowInvest	2	version_tx					Quỹ trưởng thành 200.000 VNĐ	
com.tencent.jxqy.giftlevel3	Đầu Tư 3	invest3	999999	10800	RMB							GrowInvest	3	version_tx					Quỹ Trưởng Thành 200,000 VNĐ	
com.tencent.jxqy.giftlevel108	Đầu Tư-Ngày Lễ	investGQ	30	10800	RMB							GrowInvest	4	version_tx					Quỹ Ngày Lễ 108 VNĐ	
com.tencent.jxqy.giftlevel4	Đầu Tư 4	invest4	999999	10800	RMB							GrowInvest	5	version_tx					Quỹ Trưởng Thành 200,000 VNĐ	
com.tencent.jxqy.giftlevel5	Đầu Tư 5	invest5	999999	10800	RMB							GrowInvest	6	version_tx					Quỹ Trưởng Thành 200,000 VNĐ	
com.tencent.jxqy.return108	Đầu Tư-Quay Về	investRT	999999	10800	RMB	5						GrowInvest	7	version_tx					Quỹ Trưởng Thành 200,000 VNĐ	
com.tencent.jxqy.giftlevel6	Đầu Tư 6	invest6	999999	10800	RMB							GrowInvest	8	version_tx					Quỹ Trưởng Thành 200,000 VNĐ	
com.tencent.jxqy.giftlevel7	Đầu Tư 7	invest7	999999	10800	RMB							GrowInvest	9	version_tx					Quỹ Trưởng Thành 200,000 VNĐ	
com.tencent.jxqy.giftlevel8	Đầu Tư 8	invest8	999999	10800	RMB							GrowInvest	10	version_tx					Quỹ Trưởng Thành 200,000 VNĐ	
com.tencent.jxqy.gift1	Quà 5,000 VNĐ	daycard	1	100	RMB	1	item|1242|1;Gold|10					DayGift	1	version_tx	11	13		Nhận ngay 20 Nguyên Bảo\nQuà trị giá 30,000 VNĐ	Mua 5,000 VNĐ	
com.tencent.jxqy.gift3	Quà 10,000 VNĐ	daycard3	1	300	RMB	3	item|2518|1;Gold|30					DayGift	2	version_tx	16	14		Nhận ngay 40 Nguyên Bảo\nQuà trị giá 60,000 VNĐ	Mua 10,000 VNĐ	
com.tencent.jxqy.gift6	Quà 20,000 VNĐ	daycard6	1	600	RMB	5	item|2519|1;Gold|60					DayGift	3	version_tx	17	15		Nhận ngay 80 Nguyên Bảo\nQuà trị giá 100,000 VNĐ	Mua 20,000 VNĐ	
com.tencent.jxqy.gifts18	Quà 18 VNĐ	daycard18	1	1800	RMB	5	item|10182|1					DayGift	4	version_tx	89	90		Quà trị giá 100 VNĐ	Mua 50,000 VNĐ	
com.tencent.jxqy.gift60	Bộ quà 10 VNĐ (7 ngày)	daycard60	7	6000	RMB	5						DayGiftPlus	1	version_tx	61				Quà 7 Ngày	
com.tencent.jxqy.gift168	Tập Hợp Quà (7 Ngày)	daycard168	7	16800	RMB	5						DayGiftPlus	2	version_tx	88				Quà 136, 18 7 ngày	
com.tencent.jxqy.discountpack30	Quà 100,000 VNĐ	dispack30	1	3000	RMB		item|9954|1	item|9955|1	item|9956|1	item|9957|1	item|9957|1	YearGift	1	version_tx	40	41			Quà Trị Giá 600,000 VNĐ	
com.tencent.jxqy.discountpack98	Quà 300,000 VNĐ	dispack98	1	9800	RMB		item|9950|1	item|9951|1	item|9952|1	item|9953|1	item|9953|1	YearGift	2	version_tx	42	43			Quà Trị Giá 1,200,000 VNĐ	
com.tencent.jxqy.discountpack298	Quà 1,000,000 VNĐ	dispack298	15	29800	RMB		item|9946|1	item|9947|1	item|9948|1	item|9949|1	item|9949|1	YearGift	3	version_tx	44	45			Quà Trị Giá 2,500,000 VNĐ	
com.tencent.jxqy.discountpack648	Quà 2,000,000 VNĐ	dispack648	15	64800	RMB		item|9941|1	item|9942|1	item|9943|1	item|9944|1	item|9945|1	YearGift	4	version_tx	46	47			Quà Trị Giá 5,000,000 VNĐ	
com.tencent.jxqy.enhancegift30	Top 20	enhance30	2	3000	RMB		item|3922|1					DirectEnhance	1	version_tx	52			Mua 100,000 VNĐ	Quà 1,000,000 VNĐ	
com.tencent.jxqy.enhancegift98	Top 30	enhance98	2	9800	RMB		item|3923|1					DirectEnhance	2	version_tx	53			Mua 300,000 VNĐ mua	Quà 2,500,000 VNĐ	
com.tencent.jxqy.enhancegift198	Top 40	enhance198	2	19800	RMB		item|3924|1					DirectEnhance	3	version_tx	54			Mua 500,000 VNĐ	Quà 5,000,000 VNĐ	
com.tencent.jxqy.enhancegift388	Top 50	enhance388	2	38800	RMB		item|3925|1					DirectEnhance	4	version_tx	73			Mua 1,940,000 VNĐ	Quà 10,000,000 VNĐ	
com.tencent.jxqy.return480	Quà Trở Về 20,000 VNĐ	return480	1	600	RMB		Gold|480					BackGift	1	version_tx	67				Quà Trị Giá 160,000 VNĐ	
com.tencent.jxqy.return4800	Quà Trở Về 100,000 VNĐ	return4800	1	3000	RMB		Gold|4800					BackGift	2	version_tx	68				Quà Trị Giá 1,600,000 VNĐ	
com.tencent.jxqy.return1	Quà Trở Về-Cực 20,000 VNĐ	return1	1	600	RMB		item|1242|6;Gold|60					BackGift	3	version_tx	69				Quà Trị Giá 200,000 VNĐ	
com.tencent.jxqy.return6	Quà Phúc Lợi 20,000 VNĐ	return6	1	600	RMB		item|2518|2;Gold|60					BackGift	4	version_tx	70				Quà Trị Giá 10,000 VNĐ	
