nId	nHouse	nQuality	szQualityName	szName	nItem1Id	nItem2Id	nItem3Id	nRate1	nRate2	nRate3	szMoneyType	nPrice
1	7	2	Bậc 2	Vũ Khí T2 (Chưa giám định)	1023	1613	1123	75	20	5	Contrib	1000
2	7	2	Bậc 2	Áo T2 (Chưa giám định)	1083	1661	1183	75	20	5	Contrib	600
3	7	3	Bậc 3	Vũ Khí T3 (Chưa giám định)	1024	1614	1124	75	20	5	Contrib	2000
4	7	3	Bậc 3	Áo T3 (Chưa giám định)	1084	1662	1184	75	20	5	Contrib	1200
5	7	4	Bậc 4	Vũ Khí T4 (Chưa giám định)	1025	1615	1125	75	20	5	Contrib	5000
6	7	4	Bậc 4	Áo T4 (Chưa giám định)	1085	1663	1185	75	20	5	Contrib	3000
7	7	5	Bậc 5	Vũ Khí T5 (Chưa giám định)	1026	1616	1126	75	20	5	Contrib	12000
8	7	5	Bậc 5	Áo T5 (Chưa giám định)	1086	1664	1186	75	20	5	Contrib	7200
9	7	6	Bậc 6	Vũ Khí T6 (Chưa giám định)	1027	1617	1127	75	20	5	Contrib	15000
10	7	6	Bậc 6	Áo T6 (Chưa giám định)	1087	1665	1187	75	20	5	Contrib	9000
11	7	7	Bậc 7	Vũ Khí T7 (Chưa giám định) 	1028	1618	1128	75	20	5	Contrib	20000
12	7	7	Bậc 7	Áo T7 (Chưa giám định) 	1088	1666	1188	75	20	5	Contrib	12000
13	7	8	Bậc 8	Vũ Khí T8 (Chưa giám định) 	1029	1619	1129	75	20	5	Contrib	27000
14	7	8	Bậc 8	Áo T8 (Chưa giám định) 	1089	1667	1189	75	20	5	Contrib	16200
15	7	9	Bậc 9	Vũ Khí T9 (Chưa giám định) 	1030	3647	1130	75	20	5	Contrib	36000
16	7	9	Bậc 9	Áo T9 (Chưa giám định) 	1090	3659	1190	75	20	5	Contrib	21600
17	7	10	Bậc 10	Vũ Khí T10 (Chưa giám định) 	1031	3648	1131	75	20	5	Contrib	45000
18	7	10	Bậc 10	Áo T10 (Chưa giám định)	1091	3660	1191	75	20	5	Contrib	27000
19	7	11	Bậc 11	Vũ Khí T11 (Chưa giám định) 	5441	5661	5561	75	20	5	Contrib	56250
20	7	11	Bậc 11	Áo T11 (Chưa giám định) 	5521	5721	5621	75	20	5	Contrib	33750
