TemplateId	Name	Price	MoneyType	PlayerLevel	TimeFrameLimit	NeedForbitStall
603	Bùa Sinh Lực-Sơ	90	Coin			
604	Bùa Sinh Lực-Trung	300	Coin			
605	Bùa Sinh Lực-Cao	900	Coin			
606	Bùa Sinh Lực-Cường Hiệu	2700	Coin			
607	Bùa Sinh Lực-Đặc Hiệu	10800	Coin			
608	Bùa Sinh Lực-Hoàn Mỹ	43200	Coin			
609	Bùa Tấn Công-Sơ	90	Coin			
610	Bùa Tấn Công-Trung	300	Coin			
611	Bùa Tấn Công-Cao	900	Coin			
612	Bùa Tấn Công-Cường Hiệu	2700	Coin			
613	Bùa Tấn Công-Đặc Hiệu	10800	Coin			
614	Bùa Tấn Công-Hoàn Mỹ	43200	Coin			
615	Bùa Kháng Tất Cả-Sơ	90	Coin			
616	Bùa Kháng Tất Cả-Trung	300	Coin			
617	Bùa Kháng Tất Cả-Cao	900	Coin			
618	Bùa Kháng Tất Cả-Cường Hiệu	2700	Coin			
619	Bùa Kháng Tất Cả-Đặc Hiệu	10800	Coin			
620	Bùa Kháng Tất Cả-Hoàn Mỹ	43200	Coin			
621	Bùa Chính Xác-Sơ	90	Coin			
622	Bùa Chính Xác-Trung	300	Coin			
623	Bùa Chính Xác-Cao	900	Coin			
624	Bùa Chính Xác-Cường Hiệu	2700	Coin			
625	Bùa Chính Xác-Đặc Hiệu	10800	Coin			
626	Bùa Chính Xác-Hoàn Mỹ	43200	Coin			
627	Bùa Né Tránh-Sơ	90	Coin			
628	Bùa Né Tránh-Trung	300	Coin			
629	Bùa Né Tránh-Cao	900	Coin			
630	Bùa Né Tránh-Cường Hiệu	2700	Coin			
631	Bùa Né Tránh-Đặc Hiệu	10800	Coin			
632	Bùa Né Tránh-Hoàn Mỹ	43200	Coin			
633	Bùa Bạo Kích-Sơ	90	Coin			
634	Bùa Bạo Kích-Trung	300	Coin			
635	Bùa Bạo Kích-Cao	900	Coin			
636	Bùa Bạo Kích-Cường Hiệu	2700	Coin			
637	Bùa Bạo Kích-Đặc Hiệu	10800	Coin			
638	Bùa Bạo Kích-Hoàn Mỹ	43200	Coin			
639	Bùa Bỏ Qua Né Tránh-Sơ	90	Coin			
640	Bùa Bỏ Qua Né Tránh-Trung	300	Coin			
641	Bùa Bỏ Qua Né Tránh-Cao	900	Coin			
642	Bùa Bỏ Qua Né Tránh-Cường Hiệu	2700	Coin			
643	Bùa Bỏ Qua Né Tránh-Đặc Hiệu	10800	Coin			
644	Bùa Bỏ Qua Né Tránh-Hoàn Mỹ	43200	Coin			
645	Bùa Giảm Bạo Kích-Sơ	90	Coin			
646	Bùa Giảm Bạo Kích-Trung	300	Coin			
647	Bùa Giảm Bạo Kích-Cao	900	Coin			
648	Bùa Giảm Bạo Kích-Cường Hiệu	2700	Coin			
649	Bùa Giảm Bạo Kích-Đặc Hiệu	10800	Coin			
650	Bùa Giảm Bạo Kích-Hoàn Mỹ	43200	Coin			
651	Bùa Hiệu Quả-Sơ	90	Coin			
652	Bùa Hiệu Quả-Trung	300	Coin			
653	Bùa Hiệu Quả-Cao	900	Coin			
654	Bùa Hiệu Quả-Cường Hiệu	2700	Coin			
655	Bùa Hiệu Quả-Đặc Hiệu	10800	Coin			
656	Bùa Hiệu Quả-Hoàn Mỹ	43200	Coin			
657	Bùa Giảm Hiệu Quả-Sơ	90	Coin			
658	Bùa Giảm Hiệu Quả-Trung	300	Coin			
659	Bùa Giảm Hiệu Quả-Cao	900	Coin			
660	Bùa Giảm Hiệu Quả-Cường Hiệu	2700	Coin			
661	Bùa Giảm Hiệu Quả-Đặc Hiệu	10800	Coin			
662	Bùa Giảm Hiệu Quả-Hoàn Mỹ	43200	Coin			
663	Bùa Hồi Phục-Sơ	90	Coin			
664	Bùa Hồi Phục-Trung	300	Coin			
665	Bùa Hồi Phục-Cao	900	Coin			
666	Bùa Hồi Phục-Cường Hiệu	2700	Coin			
667	Bùa Hồi Phục-Đặc Hiệu	10800	Coin			
668	Bùa Hồi Phục-Hoàn Mỹ	43200	Coin			
727	Bùa Thao Thiết-Cao	2700	Coin			
728	Bùa Đế Giang-Cao	2700	Coin			
729	Bùa Chúc Long-Cao	2700	Coin			
730	Bùa Quỳ Ngưu-Cao	2700	Coin			
731	Bùa Cùng Kỳ-Cao	2700	Coin			
732	Bùa Côn Bằng-Cao	2700	Coin			
733	Bùa Đằng Xà-Cao	2700	Coin			
734	Bùa Tì Hưu-Cao	2700	Coin			
669	Bùa Thao Thiết-Cường Hiệu	8100	Coin			
670	Bùa Đế Giang-Cường Hiệu	8100	Coin			
671	Bùa Chúc Long-Cường Hiệu	8100	Coin			
672	Bùa Quỳ Ngưu-Cường Hiệu	8100	Coin			
673	Bùa Cùng Kỳ-Cường Hiệu	8100	Coin			
674	Bùa Côn Bằng-Cường Hiệu	8100	Coin			
675	Bùa Đằng Xà-Cường Hiệu	8100	Coin			
676	Bùa Tì Hưu-Cường Hiệu	8100	Coin			
677	Bùa Huyền Vũ-Đặc Hiệu	32400	Coin			
678	Bùa Thanh Long-Đặc Hiệu	32400	Coin			
679	Bùa Phượng Hoàng-Đặc Hiệu	32400	Coin			
680	Bùa Bạch Hổ-Đặc Hiệu	32400	Coin			
681	Bùa Chu Tước-Đặc Hiệu	32400	Coin			
682	Bùa Ứng Long-Đặc Hiệu	32400	Coin			
683	Bùa Bạch Trạch-Đặc Hiệu	32400	Coin			
684	Bùa Kỳ Lân-Đặc Hiệu	32400	Coin			
685	Bùa Huyền Vũ-Hoàn Mỹ	151200	Coin			
686	Bùa Thanh Long-Hoàn Mỹ	151200	Coin			
687	Bùa Phượng Hoàng-Hoàn Mỹ	151200	Coin			
688	Bùa Bạch Hổ-Hoàn Mỹ	151200	Coin			
689	Bùa Chu Tước-Hoàn Mỹ	151200	Coin			
690	Bùa Ứng Long-Hoàn Mỹ	151200	Coin			
691	Bùa Bạch Trạch-Hoàn Mỹ	151200	Coin			
692	Bùa Kỳ Lân-Hoàn Mỹ	151200	Coin			
693	Bùa Thao Thiết-Cao	900	Coin			
694	Bùa Đế Giang-Cao	900	Coin			
695	Bùa Chúc Long-Cao	900	Coin			
696	Bùa Quỳ Ngưu-Cao	900	Coin			
697	Bùa Cùng Kỳ-Cao	900	Coin			
698	Bùa Côn Bằng-Cao	900	Coin			
699	Bùa Đằng Xà-Cao	900	Coin			
700	Bùa Tì Hưu-Cao	900	Coin			
701	Bùa Kháng Tất Cả-Cường Hiệu	1800	Coin			
702	Bùa Chính Xác-Cường Hiệu	1800	Coin			
703	Bùa Né Tránh-Cường Hiệu	1800	Coin			
704	Bùa Bạo Kích-Cường Hiệu	1800	Coin			
705	Bùa Bỏ Qua Né Tránh-Cường Hiệu	1800	Coin			
706	Bùa Giảm Bạo Kích-Cường Hiệu	1800	Coin			
707	Bùa Hiệu Quả-Cường Hiệu	1800	Coin			
708	Bùa Giảm Hiệu Quả-Cường Hiệu	1800	Coin			
709	Bùa Hồi Phục-Cường Hiệu	1800	Coin			
710	Bùa Huyền Vũ-Đặc Hiệu	16200	Coin			
711	Bùa Thanh Long-Đặc Hiệu	16200	Coin			
712	Bùa Phượng Hoàng-Đặc Hiệu	16200	Coin			
713	Bùa Bạch Hổ-Đặc Hiệu	16200	Coin			
714	Bùa Chu Tước-Đặc Hiệu	16200	Coin			
715	Bùa Ứng Long-Đặc Hiệu	16200	Coin			
716	Bùa Bạch Trạch-Đặc Hiệu	16200	Coin			
717	Bùa Kỳ Lân-Đặc Hiệu	16200	Coin			
718	Bùa Kháng Tất Cả-Hoàn Mỹ	21600	Coin			
719	Bùa Chính Xác-Hoàn Mỹ	21600	Coin			
720	Bùa Né Tránh-Hoàn Mỹ	21600	Coin			
721	Bùa Bạo Kích-Hoàn Mỹ	21600	Coin			
722	Bùa Bỏ Qua Né Tránh-Hoàn Mỹ	21600	Coin			
723	Bùa Giảm Bạo Kích-Hoàn Mỹ	21600	Coin			
724	Bùa Hiệu Quả-Hoàn Mỹ	21600	Coin			
725	Bùa Giảm Hiệu Quả-Hoàn Mỹ	21600	Coin			
726	Bùa Hồi Phục-Hoàn Mỹ	21600	Coin			
793	Mảnh-Xi Vưu	2400	Coin			
794	Mảnh-Hậu Nghệ	2400	Coin			
795	Mảnh-Tô Đắc Kỷ	2400	Coin			
796	Mảnh-Quỷ Cốc Tử	2400	Coin			
797	Mảnh-Hạng Vũ	2400	Coin			
798	Mảnh-Tần Thủy Hoàng	2400	Coin			
799	Mảnh-Võ Tắc Thiên	2400	Coin			
800	Mảnh-Lữ Động Tân	2400	Coin			
801	Mảnh-Trương Tam Phong	2400	Coin			
802	Mảnh-Tây Thi	2400	Coin			
803	Mảnh-Độc Cô Kiếm	1200	Coin			
804	Mảnh-Nam Cung Phi	1200	Coin			
805	Mảnh-Dương Ảnh Phong	1200	Coin			
806	Mảnh-Huyền Thiên Đạo Nhân	1200	Coin			
807	Mảnh-Ngu Cơ	1200	Coin			
808	Mảnh-Triệu Phi Yến	1200	Coin			
809	Mảnh-Kinh Kha	1200	Coin			
810	Mảnh-Lý Quảng 	1200	Coin			
811	Mảnh-Triệu Vân	1200	Coin			
1017	Mảnh-Lý Nguyên Bá	1200	Coin			
812	Mảnh-Nguyệt My Nhi	600	Coin			
813	Mảnh-Hạng Lăng Thiên	600	Coin			
814	Mảnh-Chúc Tử Hư	600	Coin			
815	Mảnh-Trưởng Tôn Vô Mộng	600	Coin			
816	Mảnh-Lạc Thanh Sương	600	Coin			
817	Mảnh-S7	600	Coin			
818	Mảnh-S8	600	Coin			
819	Mảnh-S9	600	Coin			
820	Mảnh-S10	600	Coin			
821	Mảnh-Cao Trường Cung	600	Coin			
822	Mảnh-Triết Biệt	600	Coin			
823	Mảnh-Viên Thừa Chí	600	Coin			
824	Mảnh-Ngao Bái	600	Coin			
825	Mảnh-Kim Sí Bằng Hoàng	600	Coin			
826	Mảnh-Xích Tinh Hổ Hoàng	600	Coin			
827	Mảnh-Hám Thiên Hùng Hoàng	600	Coin			
828	Mảnh-Định Hải Kim Cang	600	Coin			
829	Mảnh-Nạp Lan Tiềm Lẫm	600	Coin			
830	Mảnh-Câu Sách	600	Coin			
831	Mảnh-Dương Hi Liệt	600	Coin			
832	Mảnh-Thượng Quan Phi Long	600	Coin			
833	Mảnh-Diệp Vô Tâm	600	Coin			
834	Mảnh-Dương Anh	600	Coin			
835	Mảnh-Tiết Ngân Dược	600	Coin			
836	Mảnh-Thiên Tinh Đạo Trưởng	600	Coin			
837	Mảnh-Huyền Thiên Võ Cơ	600	Coin			
1018	Mảnh-Mạnh Tri Thu	600	Coin			
1019	Mảnh-Nguyệt Trùng Thiên	600	Coin			
838	Mảnh-Nạp Lan Chân	450	Coin			
839	Mảnh-Hạng Đỉnh	450	Coin			
840	Mảnh-Liễu Tiêu Đình	450	Coin			
841	Mảnh-Đinh Thi Vũ	450	Coin			
842	Mảnh-Lý Điềm Nhi	450	Coin			
843	Mảnh-Trương Duy Nghi	450	Coin			
844	Mảnh-A7	450	Coin			
845	Mảnh-A8	450	Coin			
846	Mảnh-A9	450	Coin			
847	Mảnh-Hàn Ngọc Lộc Vương	450	Coin			
848	Mảnh-Đại Địa Lang Vương	450	Coin			
849	Mảnh-Bôn Diệm Báo Vương	450	Coin			
850	Mảnh-Cửu Vĩ Hồ Vương	450	Coin			
851	Mảnh-Trác Phi Phàm	450	Coin			
852	Mảnh-Tịch Lịch Hỏa	450	Coin			
853	Mảnh-Đơn Tinh Tinh	450	Coin			
854	Mảnh-Mộc Tử Y	450	Coin			
855	Mảnh-Tô Mặc Vân	450	Coin			
856	Mảnh-Cơ Ngự Thiên	450	Coin			
857	Mảnh-Công Thâu Linh	450	Coin			
858	Mảnh-Tử Hiên	450	Coin			
859	Mảnh-Tường Vi	450	Coin			
860	Mảnh-Ngải Lê	450	Coin			
861	Mảnh-Công Tôn Tích Hoa	450	Coin			
862	Mảnh-Công Thâu Vũ	450	Coin			
863	Mảnh-Trương Trọng Thiên	450	Coin			
864	Mảnh-A27	450	Coin			
865	Mảnh-A28	450	Coin			
866	Mảnh-A29	450	Coin			
867	Mảnh-Kiếm Đồng	300	Coin			
868	Mảnh-Tiêu Động Trần	300	Coin			
869	Mảnh-Mộ Dung Việt	300	Coin			
870	Mảnh-Từ Thiết Tâm	300	Coin			
871	Mảnh-Diệp Vũ Nhu	300	Coin			
872	Mảnh-Thiên Cổ Độc Thi	300	Coin			
873	Mảnh-Ba Đông Cáp	300	Coin			
874	Mảnh-Sở Thiên Bá	300	Coin			
875	Mảnh-Tần Mộc Bạch	300	Coin			
876	Mảnh-Ninh Tố Tâm	300	Coin			
877	Mảnh-Mặc Xu	300	Coin			
878	Mảnh-Mục Lân	300	Coin			
879	Mảnh-Đường Vô Tâm	300	Coin			
880	Mảnh-Hạng Thương	300	Coin			
881	Mảnh-Cố Võ	300	Coin			
882	Mảnh-Nhiếp Ưng	300	Coin			
883	Mảnh-Chung Lan Tâm	300	Coin			
884	Mảnh-B18	300	Coin			
885	Mảnh-Kim Tiền Báo	150	Coin			
886	Mảnh-Hắc Dực Liệp Ưng	150	Coin			
887	Mảnh-Võ Lâm Ác Đồ	150	Coin			
888	Mảnh-Mãnh Hổ	150	Coin			
889	Mảnh-Phong Lâm Vệ	150	Coin			
890	Mảnh-Viên Hầu	150	Coin			
891	Mảnh-Thiết Diện Bổ Đầu	150	Coin			
892	Mảnh-Hồng Y Nữ Đồng	150	Coin			
893	Mảnh-Thầy Đúc Kiếm	150	Coin			
894	Mảnh-Thợ Săn	150	Coin			
895	Mảnh-Hồng Anh Thị	150	Coin			
896	Mảnh-Cường Đạo	150	Coin			
897	Mảnh-Đệ Tử Dược Vương	150	Coin			
898	Mảnh-Sói Xám	150	Coin			
899	Mảnh-Đông Doanh Nhẫn Giả	150	Coin			
900	Mảnh-Sinh Sứ	150	Coin			
901	Mảnh-Tử Thị	150	Coin			
902	Mảnh-Hỏa Hồ	150	Coin			
903	Mảnh-Đệ Tử Cửu U	150	Coin			
904	Mảnh-Gấu Đen	150	Coin			
905	Mảnh-Đệ Tử Vô Ưu Giáo	150	Coin			
906	Mảnh-Thiên Công Tượng Giả	150	Coin			
907	Mảnh-Khôi Lỗi Sĩ Binh	150	Coin			
908	Mảnh-Cơ Quan Nhân	150	Coin			
909	Mảnh-C25	150	Coin			
910	Mảnh-C26	150	Coin			
911	Mảnh-C27	150	Coin			
912	Mảnh-C28	150	Coin			
913	Mảnh-C29	150	Coin			
914	Mảnh-C30	150	Coin			
970	Mảnh Bùa Thao Thiết-Cao	180	Coin			
971	Mảnh Bùa Đế Giang-Cao	180	Coin			
972	Mảnh Bùa Chúc Long-Cao	180	Coin			
973	Mảnh Bùa Quỳ Ngưu-Cao	180	Coin			
974	Mảnh Bùa Cùng Kỳ-Cao	180	Coin			
975	Mảnh Bùa Côn Bằng-Cao	180	Coin			
976	Mảnh Bùa Đằng Xà-Cao	180	Coin			
977	Mảnh Bùa Tì Hưu-Cao	180	Coin			
978	Mảnh Bùa Kháng Tất Cả-Cường Hiệu	180	Coin			
979	Mảnh Bùa Chính Xác-Cường Hiệu	180	Coin			
980	Mảnh Bùa Né Tránh-Cường Hiệu	180	Coin			
981	Mảnh Bùa Bạo Kích-Cường Hiệu	180	Coin			
982	Mảnh Bùa Bỏ Qua Né Tránh-Cường Hiệu	180	Coin			
983	Mảnh Bùa Giảm Bạo Kích-Cường Hiệu	180	Coin			
984	Mảnh Bùa Hiệu Quả-Cường Hiệu	180	Coin			
985	Mảnh Bùa Giảm Hiệu Quả-Cường Hiệu	180	Coin			
986	Mảnh Bùa Hồi Phục-Cường Hiệu	180	Coin			
987	Mảnh Bùa Huyền Vũ-Đặc Hiệu	270	Coin			
988	Mảnh Bùa Thanh Long-Đặc Hiệu	270	Coin			
989	Mảnh Bùa Phượng Hoàng-Đặc Hiệu	270	Coin			
990	Mảnh Bùa Bạch Hổ-Đặc Hiệu	270	Coin			
991	Mảnh Bùa Chu Tước-Đặc Hiệu	270	Coin			
992	Mảnh Bùa Ứng Long-Đặc Hiệu	270	Coin			
993	Mảnh Bùa Bạch Trạch-Đặc Hiệu	270	Coin			
994	Mảnh Bùa Kỳ Lân-Đặc Hiệu	270	Coin			
995	Mảnh Bùa Kháng Tất Cả-Hoàn Mỹ	270	Coin			
996	Mảnh Bùa Chính Xác-Hoàn Mỹ	270	Coin			
997	Mảnh Bùa Né Tránh-Hoàn Mỹ	270	Coin			
998	Mảnh Bùa Bạo Kích-Hoàn Mỹ	270	Coin			
999	Mảnh Bùa Bỏ Qua Né Tránh-Hoàn Mỹ	270	Coin			
1000	Mảnh Bùa Giảm Bạo Kích-Hoàn Mỹ	270	Coin			
1001	Mảnh Bùa Hiệu Quả-Hoàn Mỹ	270	Coin			
1002	Mảnh Bùa Giảm Hiệu Quả-Hoàn Mỹ	270	Coin			
1003	Mảnh Bùa Hồi Phục-Hoàn Mỹ	270	Coin			
1931	Vong Ưu	1500	Contrib			
1932	Đoạn Ngọc Kiếm	1500	Contrib			
1933	Tố Anh Trạm Kim Thương	1500	Contrib			
1934	Chỉ Thủy Kiếm	1500	Contrib			
1935	Tinh Hà Thương	1500	Contrib			
1936	Xích Hoàng Cung	1500	Contrib			
1937	Thiên Xu Kiếm	1500	Contrib			
1945	Long Quy Giáp	1500	Contrib			
1946	Bôn Diệm Trảo	1500	Contrib			
1947	Thiên Hồ Vĩ	1500	Contrib			
1948	Huyền Lôi Nỏ	1500	Contrib			
1949	Thính Vũ Tản	1500	Contrib			
1950	Tường Vi Tụ	1500	Contrib			
1951	Tuyệt Tình Đoạn Kiếm	1500	Contrib			
1952	Cán Hoa Sáo	1500	Contrib			
1953	Ngọc Lộ Kiếm	1500	Contrib			
1954	Kim Phong Kiếm	1500	Contrib			
1955	Phi Phượng Kiếm	1500	Contrib			
1956	Thúy Ngọc Thương	1500	Contrib			
1957	Tử Ngọc Xà Tụ	1500	Contrib			
1958	Hỏa Lân Trảo	1500	Contrib			
1959	Thu Phong Kiếm	1500	Contrib			
1960	Thôn Kim Đao	1500	Contrib			
1961	Vãn Hoa Kiếm	1500	Contrib			
1962	Nguyệt Nha Sản	1500	Contrib			
1963	Tham Lang Kích	1500	Contrib			
1964	Lưu Kim Tụ	1500	Contrib			
1965	Khinh Tuyết Kiếm	1500	Contrib			
1966	Phong Tuyết Thương	1500	Contrib			
1967	Mặc Trúc Phiến	1500	Contrib			
2018	Chính Xác-Cao	1250	Contrib			
2019	Né Tránh-Cao 	1250	Contrib			
2020	Bỏ Qua Né Tránh-Cao	1250	Contrib			
2021	Giảm Bạo Kích-Cao	1250	Contrib			
2022	Hồi Phục-Cao	1250	Contrib			
2028	Bạo Kích-Trung	1250	Contrib			
2029	Tấn Công-Trung	1250	Contrib			
2030	Sinh Lực-Trung	1250	Contrib			
2032	Kháng Kim-Trung	1250	Contrib			
2033	Kháng Mộc-Trung	1250	Contrib			
2034	Kháng Thủy-Trung	1250	Contrib			
2035	Kháng Hỏa-Trung	1250	Contrib			
2036	Kháng Thổ-Trung	1250	Contrib			
2037	Giảm Hiệu Quả-Trung	1250	Contrib			
2038	Hút Sinh Lực-Sơ	1250	Contrib			
2039	Bị Thương-Sơ	1250	Contrib			
2040	Làm chậm-Sơ	1250	Contrib			
2041	Tàn Phế-Sơ	1250	Contrib			
2042	Tê Liệt-Sơ	1250	Contrib			
2043	Choáng-Sơ	1250	Contrib			
2044	Kháng Tất Cả-Sơ	1250	Contrib			
2045	Bỏ Qua Kháng-Sơ	1250	Contrib			
2046	Phản Kích-Sơ	1250	Contrib			
2047	Tốc Đánh-Sơ	1250	Contrib			
2007	Phá Thiên Trảm 	1250	Contrib			
2008	Băng Phong Chỉ	1250	Contrib			
2009	Tụ Lí Tiễn	1250	Contrib			
2010	Liệt Diệm Chỉ	1250	Contrib			
2011	Nộ Lôi Chỉ 	1250	Contrib			
2012	Quần Thể Trị Liệu	1250	Contrib			
2013	Độc Chướng Thuật	1250	Contrib			
2014	Kim Cang Hộ Thể	1250	Contrib			
2015	Bất Động Minh Vương	1250	Contrib			
2016	Khô Mộc Phùng Xuân	1250	Contrib			
2017	Súc Lực Tiễn	1250	Contrib			
1987	Chính Xác-Trung	375	Contrib			
1988	Né Tránh-Trung	375	Contrib			
1989	Bỏ Qua Né Tránh-Trung	375	Contrib			
1990	Giảm Bạo Kích-Trung	375	Contrib			
1991	Hồi Phục-Trung	375	Contrib			
1997	Bạo Kích-Sơ	375	Contrib			
1998	Tấn Công-Sơ	375	Contrib			
1999	Sinh Lực-Sơ	375	Contrib			
2001	Kháng Kim-Sơ	375	Contrib			
2002	Kháng Mộc-Sơ	375	Contrib			
2003	Kháng Thủy-Sơ	375	Contrib			
2004	Kháng Hỏa-Sơ	375	Contrib			
2005	Kháng Thổ-Sơ	375	Contrib			
2006	Giảm Hiệu Quả-Sơ	375	Contrib			
1981	Huy Khảm Thuật	375	Contrib			
1982	Băng Chùy Thuật	375	Contrib			
1983	Phi Tiêu Thuật	375	Contrib			
1984	Hỏa Cầu Thuật	375	Contrib			
1985	Lôi Quang Thuật	375	Contrib			
1986	Thuật Trị Liệu	375	Contrib			
1971	Chính Xác-Sơ	125	Contrib			
1972	Né Tránh-Sơ	125	Contrib			
1973	Bỏ qua né tránh-Sơ	125	Contrib			
1974	Giảm Bạo Kích-Sơ	125	Contrib			
1975	Hồi Phục-Sơ	125	Contrib			
2586	Lá Bánh	75	Contrib			
2587	Lúa	75	Contrib			
2588	Thịt Tươi	75	Contrib			
2589	Dây Thừng	75	Contrib			
2684	Thất Lăng Hoa	500	Coin			
2685	Thất Vị Tửu	500	Coin			
2686	Thơ Thất Ngôn	500	Coin			
2687	Thất Thốn Kiếm	500	Coin			
2688	Hoa Tửu	3000	Coin			
2689	「Quà」Hoa Tửu	3000	Coin			
2690	Thi Kiếm	3000	Coin			
2691	「Quà」Thi Kiếm	3000	Coin			
2692	Thất Huyền Hương	6000	Coin			
2399	Táo Hồng Mã	500	Contrib	50	
1423	Chiếu Dạ Ngọc Sư Tử	1000	Contrib	50	
2400	Ô Vân Đạp Tuyết	1500	Contrib	50	
3012	Tuyệt Ảnh	2000	Contrib	50	
3021	Lý Phi Sa	2500	Contrib	50	
3392	Hồng Ly	3000	Contrib	50	
3393	Lục Tung	3500	Contrib	50	
2507	Trục Nhật	4000	Contrib	50	
2508	Truy Tinh Trục Nhật	4500	Contrib	50	
2870	Bôn Tiêu	5000	Contrib	50	
3516	Ô Truy	6000	Contrib	50	
2872	Bột Mì Tinh Chế	1000	Coin			
2873	Nhân Bánh	1000	Coin			
2874	Lòng Đỏ Trứng	1000	Coin			
3106	【Thu thập Tín Vật Sơn Tặc】	200	Contrib			
3107	【Thu thập Tín Vật Chiến Trường】	200	Contrib			
3108	【Thu thập Tín Vật Thủ Lĩnh】	200	Contrib			
3109	【Thu thập Tín Vật Bang Hội】	200	Contrib			
3110	【Thu thập Tín Vật Sát Thủ】	200	Contrib			
3111	【Thu thập Tín Vật Trừng Ác】	200	Contrib			
3112	【Thu thập Thủy Tinh Trắng】	200	Contrib			
3113	【Thu thập Lăng Tuyệt Phong Lệnh Bài】	200	Contrib			
3114	【Thu thập Bạc】	200	Contrib			
3115	【Thu thập Đồ Cổ】	200	Contrib			
3116	【Thu thập Tống Kim Chiêu Thư】	200	Contrib			
3117	【Thu thập Tẩy Tủy Đơn】	200	Contrib			
3118	【Thu thập Đá Hồn】Lý Tam	200	Contrib			
3119	【Thu thập Đá Hồn】Lư Thanh	200	Contrib			
3120	【Thu thập Đá Hồn】Oanh Nhi	200	Contrib			
3121	【Thu thập Đá Hồn】Cố Võ	200	Contrib			
3122	【Thu thập Đá Hồn】Tô Mặc Vân	200	Contrib			
3123	【Thu thập Đá Hồn】Tiêu Động Trần	200	Contrib			
3124	【Thu thập Đá Hồn】Hồ Thần Y	200	Contrib			
3125	【Thu thập Đá Hồn】Tần Mộc Bạch	200	Contrib			
3126	【Thu thập Đá Hồn】Trương Trọng Thiên	200	Contrib			
3127	【Thu thập Đá Hồn】Lộ Đạt	200	Contrib			
3128	【Thu thập Đá Hồn】Tường Vi	200	Contrib			
3129	【Thu thập Đá Hồn】Tử Hiên	200	Contrib			
3130	【Thu thập Đá Hồn】Nam Cung Thái Hồng	200	Contrib			
3131	【Thu thập Đá Hồn】Lâm Hải	200	Contrib			
3132	【Thu thập Đá Hồn】Lục Văn Long	200	Contrib			
3133	【Thu thập Đá Hồn】Triệu Vô Song	200	Contrib			
3134	【Thu thập Đá Hồn】Vô Tướng	200	Contrib			
3135	【Thu thập Đá Hồn】Trương Như Mộng	200	Contrib			
3136	【Thu thập Đá Hồn】Triệu Tiết	200	Contrib			
3137	【Thu thập Đá Hồn】Thiệu Kỵ Phong	200	Contrib			
3138	【Thu thập Đá Hồn】Ân Phương	200	Contrib			
3139	【Thu thập Đá Hồn】Bạch Mi Hầu Vương	200	Contrib			
3140	【Thu thập Đá Hồn】Đại Địa Lang Vương	200	Contrib			
