GoodsId	TemplateId	Name	Price	MoneyType	ShopType	SubType	Sort	Discount	LimitType	LimitNum	HotTip	TimeFrame	CloseTimeFrame	MinLevel	ShowLevel	ShowVipLevel	OpenTime	CloseTime	ForbidStall	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
1	1927	Nữ Nhi Hồng	100	Gold	Treasure		1													1	1	1	1	1	1	1
2	2569	Thuốc Nhuộm	298	Gold	Treasure		2													1	1	1	1	1	1	1
3	2301	Tu Luyện Đơn	180	Gold	Treasure		3													1	1	1	1	1	1	1
4	2759	Truyền Công Đơn	180	Gold	Treasure		4													1	1	1	1	1	1	1
5	1968	Tẩy Tủy Đơn	800	Gold	Treasure		5												1	1	1	1	1	1	1	1
6	1969	Tư Chất Đơn	800	Gold	Treasure		6												1	1	1	1	1	1	1	1
7	785	Chìa Hoàng Kim	1000	Gold	Treasure		7													1	1	1	1	1	1	1
8	786	Rương Hoàng Kim	100	Gold	Treasure		8													1	1	1	1	1	1	1
9	7284	Đạo Cụ Sửa Kế Thừa	2500	Gold	Treasure		9													1	1	1	1	1	1	1
10	7285	Đạo Cụ Sửa Hiếm	12000	Gold	Treasure		10													1	1	1	1	1	1	1
11	6814	50000 Cống Hiến	65000	Gold	Treasure		11													1	1	1	1	1	1	1
12	6815	50000 Nguyên Khí	65000	Gold	Treasure		12													1	1	1	1	1	1	1
13	6151	Chân Khí Đơn (1000 điểm)	770	Gold	Treasure		13													1	1	1	1	1	1	1
14	6152	Chân Khí Đơn (5000 điểm)	2500	Gold	Treasure		14													1	1	1	1	1	1	1
15	3368	Kim Lan Phổ	1200	Gold	Treasure		15													1	1	1	1	1	1	1
16	6155	Duyên Định Kim Sinh	3999	Gold	Treasure		16													1	1	1	1	1	1	1
17	6231	Tam Sinh Thạch	2999	Gold	Treasure		17													1	1	1	1	1	1	1
18	2682	Thiên Kiếm Lệnh	200000	Gold	Treasure		18													1	1	1	1	1	1	1
19	212	Thủy Tinh Trắng	20	Gold	Treasure		19													1	1	1	1	1	1	1
20	222	Thủy Tinh Lục	80	Gold	Treasure		20													1	1	1	1	1	1	1
21	223	Thủy Tinh Lam	320	Gold	Treasure		21													1	1	1	1	1	1	1
22	224	Thủy Tinh Tím	1280	Gold	Treasure		22													1	1	1	1	1	1	1
23	225	Thủy Tinh Cam	2560	Gold	Treasure		23													1	1	1	1	1	1	1
24	227	Thủy Tinh Vàng	5120	Gold	Treasure		24													1	1	1	1	1	1	1
25	213	Khoáng Thạch Thần Bí Lv1	16	Gold	Treasure		25													1	1	1	1	1	1	1
26	214	Khoáng Thạch Thần Bí Lv2	90	Gold	Treasure		26													1	1	1	1	1	1	1
27	215	Khoáng Thạch Thần Bí Lv3	700	Gold	Treasure		27													1	1	1	1	1	1	1
28	1412	Loa Thế Giới	50	Gold	Treasure		28													1	1	1	1	1	1	1
29	1413	Thiên Lý Truyền Âm	100	Gold	Treasure		29													1	1	1	1	1	1	1
30	1234	Hoa Hồng	20	Gold	Treasure		30													1	1	1	1	1	1	1
31	1235	Cỏ May Mắn	20	Gold	Treasure		31													1	1	1	1	1	1	1
32	2180	99 Hoa Hồng	388	Gold	Treasure		32													1	1	1	1	1	1	1
33	2181	99 Cỏ May Mắn	388	Gold	Treasure		33												1	1	1	1	1	1	1	1
34	1929	Bạch Câu Hoàn	20000	Gold	Treasure		34													1	1	1	1	1	1	1
35	1930	Đại Bạch Câu Hoàn	100000	Gold	Treasure		35												1	1	1	1	1	1	1	1
36	1016	EXP Đồng Hành-Trung	5	Gold	Treasure		36													1	1	1	1	1	1	1
37	1342	EXP Đồng Hành-Đại	50	Gold	Treasure		37													1	1	1	1	1	1	1
38	2804	Hòa Thị Bích	20000	Gold	Treasure		38												1	1	1	1	1	1	1	1
39	2396	Sách Tu Vi-Cao	20000	Gold	Treasure		39												1	1	1	1	1	1	1	1
