AutoName	AutoId	AutoType	CastPercent	CastSkillId	CastSkillLevel	ParentSkillId	RelativeSkillStyle	TargetStateStyle	MinPerCastTime	MaxCastCount	Param1	Param2
Đồng Hành-Hộ Chủ	1	16	100	2606	-1					-1		
Đồng Hành-Phản Kích-Sơ	2	1	40	1986	-1		normal_melee,normal_remote,skill_melee,skill_remote			-1		
Đồng Hành-Phản Kích-Trung	3	1	40	1989	-1		normal_melee,normal_remote,skill_melee,skill_remote			-1		
Đồng Hành-Phản Kích-Cao	4	1	50	1992	-1		normal_melee,normal_remote,skill_melee,skill_remote			-1		
Khô Mộc Phùng Xuân	5	14	50	937	-1				15*15	-1		
Niết Bàn Trùng Sinh	6	14	50	939	-1				15*15	-1		
Trúng độc toàn màn hình	7	6	100	1882	-1				30	-1		
Cuồng Bạo	8	18	{1,100},{10,100}	2609	-1					-1		
Trấn Ngục Phá Thiên Kình	9	20	{1,100},{10,100}	2872	-1					-1		
Phi Sa Bộ Pháp	10	17	{1,50},{10,50}	2546	-1				15*10	-1		
Trung Quán Bạch Nhật	11	8	{1,100},{10,100}	1773	-1					-1		
Quyết Biệt	12	5	{1,100},{10,100}	2878	-1					-1		
Ám Ảnh Thích	13	15	{1,100},{10,100}	1781	-1					-1		
Vòng Hỏa Diệm toàn màn hình	14	6	100	2945	-1				30	-1		
Quyền Khuynh Thiên Hạ-BUFF Tử Vong	15	5	{1,100},{10,100}	3012	-1					1		
Quyền Khuynh Thiên Hạ-BUFF Tử Vong_Miễn	16	6	{1,100},{10,100}	3013	-1				{1,15*2},{10,15*2}	10		
Đánh Thức-Xóa Tử Vong	17	5	{1,100},{10,100}	3068	-1					1		
Triệu Hồi Xích Hạt-Xóa Tử Vong	18	5	{1,100},{10,100}	3072	-1					1		
Trấn Ngục Phá Thiên Kình	19	20	{1,100},{10,100}	1766	-1				120	-1		
Bẫy Toàn Phong	20	6	{1,100},{10,100}	3107	-1				15	-1		
Thiên Vương-Phá Phủ Trầm Châu-Sinh lực thấp sẽ vô địch hồi sinh lực	21	4	{1,40},{10,90},{11,95}	219	-1				{1,15*40},{10,15*40}	-1		
Thiên Vương-Kinh Lôi Phá Thiên-Bị tấn công sẽ cộng dồn tấn công	22	1	100	241	-1		normal_melee,normal_remote,skill_melee,skill_remote		3	-1		
Thiếu Lâm-La Hán Trận-Bị tấn công sẽ phản đòn	23	1	{1,40},{10,60},{11,60}	274	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		3	-1		
