Faction	SkillId	Desc	GainLevel	IsBaseSkill	BtnName	IconAltlas	BtnIcon	SortInUI	IsAnger	LevelUpGroup
1	201	Thiên Vương Chùy Pháp	1	1	Attack	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_01	1		1
1	214	Nhật Nguyệt Sơn Hà Toái	1		Skill5	UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_nq01		1	13
1	206	Nhất Kích Sát Thần	1		Skill2	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_02	2		2
1	1013	Ngồi thiền	9		BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation			
1	1045	Khinh Công	3		SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge			
1	210	Huyết Chiến Bát Phương	4		Skill1	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_04	3		3
1	213	Kim Chung Tráo	10		Skill3	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_03	4		4
1	209	Thiên Vương Chiến Ý	20			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd01	5		5
1	208	Bá Vương Nộ Hống	30		Skill4	UI/Atlas/SkillIcon/TW_Skill.prefab	TianwangSkill_05	6		6
1	224	Nhất Kỵ Đương Thiên	40			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd07	7		7
1	229	Chùy Pháp-Cao	50			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd05	8		8
1	240	Kinh Lôi Phá Thiên	60			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd08	9		9
1	218	Phá Phủ Trầm Châu	70			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd03	10		10
1	242	Thiên Vương Bản Sinh	80			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd04	11		11
1	246	Khí Cái Bát Hoang	90			UI/Atlas/SkillIcon/TW_Skill.prefab	Tianwang_bd09	12		12
2	301	Nga Mi Kiếm Pháp	1	1	Attack	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_01	1		1
2	346	Băng Phách Hồng Liên Kiếp	1		Skill5	UI/Atlas/SkillIcon/EM_Skill.prefab	Emei_nq01		1	13
2	310	Giang Hải Ngưng Ba	1		Skill2	UI/Atlas/SkillIcon/EM_Skill.prefab	EmeiSkill_04	2		2
2	1013	Ngồi thiền	9		BtnDazuo	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Meditation			
2	1046	Khinh Công	3		SkillDodge	UI/Atlas/SkillIcon/SkillIcon.prefab	Skill_Dodge			
