szMagicAttrib	szMagicDesc	szMagicDescFunc
vitality_v	Thể chất  +{1}	
dexterity_v	Nhanh nhẹn  +{1}	
strength_v	Sức mạnh  +{1}	
energy_v	Linh hoạt  +{1}	
lifemax_v	Sinh lực  +{1}	
lifemax_p	Sinh lực cơ bản +{1}%	
lifecurmax_p	Sinh lực +{1}%	
recover_life_v	Hồi phục sinh lực  +{1}	
lifereplenish_p	Hiệu suất hồi phục +{1}%	
runspeed_p	Tốc độ di chuyển  +{1}	
runspeed_v	Tốc độ di chuyển  +{1}	
physical_damage_v	Sát thương thuộc tính  +{1}	
physics_potentialdamage_p	Tấn công cơ bản +{1}%	
basic_damage_v	Tấn công +{1}	
physical_metaldamage_v	Sát thương hệ Kim  +{1}	
physical_wooddamage_v	Sát thương hệ Mộc  +{1}	
physical_waterdamage_v	Sát thương hệ Thủy  +{1}	
physical_firedamage_v	Sát thương hệ Hỏa  +{1}	
physical_earthdamage_v	Sát thương hệ Thổ  +{1}	
metal_resist_v	Kháng Kim  +{1}	
wood_resist_v	Kháng Mộc  +{1}	
water_resist_v	Kháng Thủy  +{1}	
fire_resist_v	Kháng Hỏa  +{1}	
earth_resist_v	Kháng Thổ  +{1}	
all_series_resist_v	Kháng tất cả +{1}	
all_series_resist_p	Kháng tất cả cơ bản +{1}%	
ignore_metal_resist_v	Bỏ qua kháng Kim  +{2}	
ignore_wood_resist_v	Bỏ qua kháng Mộc  +{2}	
ignore_water_resist_v	Bỏ qua kháng Thủy  +{2}	
ignore_fire_resist_v	Bỏ qua kháng Hỏa  +{2}	
ignore_earth_resist_v	Bỏ qua kháng Thổ  +{2}	
ignore_all_resist_v	Bỏ qua kháng tất cả  +{2}	
ignore_all_resist	Bỏ qua kháng tính cuối +{2}%	
attackspeed_v	Tốc đánh +{1}	
attackrate_v	Chính xác  +{1}	
attackrate_p	Chính xác cơ bản  +{1}%	
defense_v	Né tránh  +{1}	
defense_p	Né tránh cơ bản  +{1}%	
