MissileId	MissileName	MoveKind	Speed	DmgRangeType	DmgRange	DmgRangeY	IgnoreDmgRange	DmgInterval	LifeTime	DelayDeleteFrame	IsDmgVanish	CanRepeatDmg	MissileResID	CollResID	DmgRangeSpeed	IsDrag	PosOffsetLenght	IsNoChangeDir	MissRate	CollSoundID	FlySoundID	VanishSoundID	ColFollowTarget	AcceSpeed	CollBrigth	CollBrigthFrame	IsIgnoreBarrier	AutoExplode	VanishResID	MissileHeight	HeightSpeed	EnemyResID	IsRepresent	IsChildInheritDir	MissileParam1	MissileParam2	MissileParam3	MissileParam1Des	MissileParam2Des	MissileParam3Des	IsChildInheritPowerAdd	IsNotHeightSpeed	InheritPos	IsHitFloat
1		0	0	0	2				50		1			3024																														
2		2	40	0	2				30				4	3024																														
3		2	40	0	2				30				10	3024																														
4		0	0	0	2				50				11	3024																														
5		0	0	0	32				50				13																															
11		0	0	0	2				50				4	3024																														
12		0	0	0	32				50				11	3024																														
17	Thử Nhảy Lắc Trước Lắc Sau_Phụ	0	0	0	32				50					3024																														
18	Báo Động Đỏ_Phụ 2	0	0	1	11				2					3024																														
19	Báo Động Đỏ	0	0	1	11				60				17																															
20	Báo Động Đỏ_Phụ 1	0	0	1	11				60				18																															
21	npc-Đánh đơn cận chiến1	0	0	0	1				3					3021													1																	
22	npc-Đánh đơn cận chiến 2_Trảo	0	0	0	1				3					3022																														
23	npc-Đánh nhóm cận chiến_Bán Nguyệt Kim	0	0	1	3				5					3021																														
24	npc-Đánh nhóm cận chiến 1_Kim	0	0	0	9				25				24				120																											
25	npc-Đánh nhóm cận chiến 1_Thủy	0	0	0	9				25				25				120																											
26	npc-Đánh nhóm cận chiến 1_Hỏa	0	0	0	9				25				26				120																											
27	npc-Đánh nhóm cận chiến 1_Mộc	0	0	0	9				25				27				120																											
28	Nhóm Quanh Mình 1_Kim	0	0	1	20				25				18																															
29	Nhóm Quanh Mình 2_Thủy	0	0	1	20				25				1554																															
30	Nhóm Quanh Mình 3_Hỏa	0	0	1	20				25				1808																															
31	Nhóm Quanh Mình 4_Mộc	0	0	1	20				25				2445																															
32	npc-Đánh đơn chỉ định tầm xa 1_Kim	0	0	1	3				10				32	3024																														
33	npc-Đánh đơn chỉ định tầm xa 1_Thủy	0	0	1	3				10				33	3025																														
34	npc-Đánh đơn chỉ định tầm xa 1_Hỏa	0	0	1	3				10				34	3026																														
35	npc-Đánh đơn chỉ định tầm xa 1_Mộc	0	0	1	3				10				35	3027																														
36	npc tầm xa	1	50	0	1				15				36	3024																														
37	npc-Đánh đơn thẳng tầm xa_Thủy	1	90	0	5				6				37	3025										30																				
38	npc-Xuyên thấu thẳng tầm xa_Kim	1	90	0	3				8				38	3024										10																				
39	npc-Xuyên thấu thẳng tầm xa_Thủy	1	90	0	3				8				39	3025										10																				
40	npc-Xuyên thấu thẳng tầm xa_Hỏa	1	90	0	3				8				40	3026										10			1																	
41	npc-Xuyên thấu thẳng tầm xa_Mộc	1	90	0	3				8				41	3027										10																				
42	npc-Đánh nhóm chỉ định tầm xa 1_Địa	0	0	1	15				30				24																															
43	npc-Đánh nhóm chỉ định tầm xa 1_Thủy	0	0	1	15				30				25																															
44	npc-Đánh nhóm chỉ định tầm xa 1_Hỏa	0	0	1	15				30				26																															
45	npc-Đánh nhóm chỉ định tầm xa 1_Phong	0	0	1	15				30				27																															
46	npc-Khống chế đơn tầm xa 1_Kim	0	0	0	1				20					3024																														
47	npc-Khống chế đơn tầm xa 1_Thủy	0	0	0	1				20					3025																														
48	npc-Khống chế đơn tầm xa 1_Hỏa	0	0	0	1				20					3026																														
49	npc-Khống chế đơn tầm xa 1_Mộc	0	0	0	1				20					3027																														
50	npc-Khống chế nhóm tầm xa 1_Địa	0	0	1	10				30				50																															
51	npc-Khống chế nhóm tầm xa 1_Thủy	0	0	1	10				30				51																															
52	npc-Khống chế nhóm tầm xa 1_Hỏa	0	0	1	10				30				52																															
53	npc-Khống chế nhóm tầm xa 1_Phong	0	0	1	10				30				53																															
54	npc-Cầu sáng thẳng tầm xa_Kim	1	60	0	3				11		1		54	3024										5																				
55	npc-Cầu sáng thẳng tầm xa_Thủy	1	60	0	3				11		1		55	3025										5																				
56	npc-Cầu sáng thẳng tầm xa_Hỏa	1	60	0	3				11		1		56	3026			50							5																				
57	npc-Cầu sáng thẳng tầm xa_Mộc	1	60	0	3				11		1		57	3027										5																				
59	npc-Đánh nhóm cận chiến 1_Phong	0	0	0	9				25				6059				120																											
60	npc-Đánh nhóm cận chiến 1_Sát thương Phong	0	0	0	9				3					3059			120																											
61	Sát Thương Nhóm Xung Quanh 5_Thổ	0	0	1	20				25				4375																															
62	Sát Thương Nhóm Xung Quanh 5_Sát thương Thổ	0	0	1	20				3					3059																														
63	npc-Đánh nhóm chỉ định tầm xa 1_Thổ	0	0	1	15				30				1375																															
64	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Thổ	0	0	1	15				3					3059																														
65	npc-Khống chế đơn tầm xa 1_Thổ	0	0	0	1				20				1375	3059																														
66	npc-Khống chế nhóm tầm xa 1_Thổ	0	0	1	10				30				4375																															
67	npc-Khống chế nhóm tầm xa 1_Sát thương Thổ	0	0	1	10				3					3024																														
68	npc-Đánh đơn chỉ định tầm xa 1_Thổ	0	0	1	3				10				3068	3025																														
69	npc-Xuyên thấu thẳng tầm xa_Thổ	1	90	0	3				8				69	3025									10																					
70	npc-Đánh nhóm cận chiến 1_Sát thương Kim	0	0	0	9				3					3024			120																											
71	npc-Đánh nhóm cận chiến 1_Sát thương Thủy	0	0	0	9				3					3025			120																											
72	npc-Đánh nhóm cận chiến 1_Sát thương Hỏa	0	0	0	9				3					3026			120																											
73	npc-Đánh nhóm cận chiến 1_Sát thương Mộc	0	0	0	9				3					3027			120																											
74	npc-Đánh nhóm cận chiến 2_Sát thương Địa	0	0	1	20				3					3024																														
75	npc-Đánh nhóm cận chiến 2_Sát thương Thủy	0	0	1	20				3					3025																														
76	npc-Đánh nhóm cận chiến 2_Sát thương Hỏa	0	0	1	20				3					3026																														
77	npc-Đánh nhóm cận chiến 2_Sát thương Phong	0	0	1	20				3					3027																														
78	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Địa	0	0	1	15				3					3024																														
79	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Thủy	0	0	1	15				3					3025																														
80	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Hỏa	0	0	1	15				3					3026																														
81	npc-Đánh nhóm chỉ định tầm xa 1_Sát thương Phong	0	0	1	15				3					3027																														
86	npc-Khống chế nhóm tầm xa 1_Sát thương Địa	0	0	1	10				3					3024																														
87	npc-Khống chế nhóm tầm xa 1_Sát thương Thủy	0	0	1	10				3					3025																														
