MagicName	Value1	Value2	Value3	Không phải thuộc tính buff	szMagicDesc	paramDesc	CodeName
lifemax_v	1				Cộng điểm giới hạn sinh lực	Tăng điểm	magic_lifemax_v
lifemax_p	1				Tỉ lệ tăng sinh lực cơ bản tối đa	Tỉ lệ tăng	magic_lifemax_p
recover_life_v	1	0			Điểm khôi phục sinh lực	Điểm hồi phục; Giãn cách hồi phục (Frame)	magic_recover_life_v
recover_life_p	1	0			Tỉ lệ hồi phục sinh lực	Tỉ lệ hồi phục sinh lực tối đa; Giãn cách hồi phục (Frame)	magic_recover_life_p
manamax_v	1				Cộng điểm giới hạn nội lực	Tăng điểm	magic_manamax_v
manamax_p	1				Cộng tỉ lệ giới hạn nội lực	Tỉ lệ tăng	magic_manamax_p
recover_mana_v	1	0			Điểm hồi phục nội lực	Điểm hồi phục; Giãn cách hồi phục (Frame)	magic_recover_mana_v
staminamax_v	1				Điểm thể lực tối đa	Tăng điểm	magic_staminamax_v
staminamax_p	1				Cộng tỉ lệ thể lực tối đa	Tỉ lệ tăng	magic_staminamax_p
recover_stamina_v	1	0			Điểm hồi phục thể lực	Điểm hồi phục; Giãn cách hồi phục (Frame)	magic_recover_stamina_v
lifereplenish_p	1				Hiệu suất hồi sinh lực	Tỉ lệ tăng	magic_lifereplenish_p
manareplenish_p	1				Hiệu suất hồi nội lực	Tỉ lệ tăng	magic_manareplenish_p
strength_v	1				Sức mạnh	Tăng điểm	magic_strength_v
dexterity_v	1				Nhanh nhẹn	Tăng điểm	magic_dexterity_v
vitality_v	1				Thể chất	Tăng điểm	magic_vitality_v
energy_v	1				Linh hoạt	Tăng điểm	magic_energy_v
basic_damage_v	1	0	1		Tấn công cơ bản vũ khí (Không chia nội ngoại công)	Tấn công tối thiểu: Tấn công tối đa	magic_weapon_base_damage_v
physical_damage_v	1	0	1		Tấn công lưu động	Tấn công tối thiểu: Tấn công tối đa	magic_weapon_physical_damage_v
runspeed_p	1				Tăng tỉ lệ di chuyển	Tỉ lệ tăng	magic_runspeed_p
runspeed_v	1				Tăng điểm di chuyển	10 = 1 điểm tốc chạy	magic_runspeed_v
attackspeed_v	1				Tốc độ ra đòn võ công	Điểm tốc đánh	magic_attack_speed_v
attack_speed_p	1				Tăng tỉ lệ tốc đánh	Tỉ lệ tăng	magic_attack_speed_p
attackrate_v	1				Phe tấn công: Điểm tấn công chính xác	Tăng điểm	magic_attackrating_v
attackrate_p	1				Phe tấn công: Tỉ lệ tấn công chính xác	Tỉ lệ tăng	magic_attackrating_p
defense_v	1				Tăng điểm né tránh	Tăng điểm	magic_defense_v
defense_p	1				Tăng tỉ lệ né tránh cơ bản	Tỉ lệ tăng	magic_defense_p
ignore_defense_v	1				Phe tấn công: Tăng điểm bỏ qua né tránh	Tăng điểm	magic_ignoredefense_v
ignore_defense_p	1				Phe tấn công: Tăng tỉ lệ bỏ qua né tránh cuối	Tỉ lệ tăng	magic_ignoredefense_p
deadlystrike_v	1				Phe tấn công: Bạo Kích	Tăng điểm	magic_deadlystrike_v
deadlystrike_p	1				Tăng tỉ lệ bạo kích cơ bản phe tấn công	Tỉ lệ tăng	magic_deadlystrike_p
deadlystrike_damage_p	1				Phe tấn công: Cộng điểm sát thương bạo kích	Tỉ lệ tăng	magic_deadlystrike_damage_p
weaken_deadlystrike_v	1				Phe phòng thủ: Giảm bạo kích	Tăng điểm	magic_weaken_deadlystrike_v
weaken_deadlystrike_damage_p	1				Phe phòng thủ: Giảm tỉ lệ sát thương bạo kích	Tỉ lệ tăng	magic_weaken_deadlystrike_damage_p
metal_resist_v	1				Điểm kháng Kim	Tăng điểm	magic_metal_resist_v
wood_resist_v	1				Điểm kháng Mộc	Tăng điểm	magic_wood_resist_v
water_resist_v	1				Điểm kháng Thủy	Tăng điểm	magic_water_resist_v
fire_resist_v	1				Điểm kháng Hỏa	Tăng điểm	magic_fire_resist_v
earth_resist_v	1				Điểm kháng Thổ	Tăng điểm	magic_earth_resist_v
all_series_resist_v	1				Tăng điểm kháng tất cả thuộc tính	Tăng điểm	magic_all_series_resist_v
all_series_resist_p	1				Tăng tỉ lệ kháng tính cơ bản	Tỉ lệ tăng	magic_all_series_resist_p
return_resist_p	1				Phản đòn kháng tính	Tỉ lệ tăng	magic_return_resist_p
physics_potentialdamage_p	1				Tỉ lệ tấn công cơ bản	Tỉ lệ tăng	magic_physics_potential_damage_p
