nMainEffectId	nMaleId	nFemaleId	Desc
9091	9091	525021	Thiên Vương Chùy Pháp 1
9092	9092	525022	Thiên Vương Chùy Pháp 2
9076	9076	525023	Thiên Vương Kim Chung Tráo
210	210	525024	Thiên Vương Huyết Chiến Bát Phương
14201	14201	514201	Cái Bang
14202	14202	514202	Cái Bang
14204	14204	514204	Cái Bang
14206	14206	514206	Cái Bang
15001	15001	515001	Bá Đao
15002	15002	515002	Bá Đao
15003	15003	515003	Bá Đao
15004	15004	515004	Bá Đao
15005	15005	515005	Bá Đao
15006	15006	515006	Bá Đao
15008	15008	515008	Bá Đao
15011	15011	515011	Bá Đao
15015	15015	515015	Bá Đao
15020	15020	515020	Bá Đao
25006	25006	525006	Bá Đao
25008	25008	525008	Bá Đao
25015	25015	525015	Bá Đao
15601	15601	515601	Đoàn Thị
15602	15602	515602	Đoàn Thị
15604	15604	515604	Đoàn Thị
15606	15606	515606	Đoàn Thị
15608	15608	515608	Đoàn Thị
15611	15611	515611	Đoàn Thị
25601	25601	525601	Đoàn Thị
