ItemTID	Class	UseInfo	Channel	Desc	TimeFrame
1454	SkillHelp	Tăng 3 điểm kỹ năng	Hoàn thành nhiệm vụ chính tuyến	Võ Đạo Đức Kinh	
1430	SkillHelp	Tăng 1 điểm kỹ năng	Tàng Bảo Đồ-Cao hoặc mua từ Bày Bán	Bí Kíp Võ Lâm (Thượng) 	
1431	SkillHelp	Tăng 1 điểm kỹ năng	Tàng Bảo Đồ-Cao, Hoa Sơn Luận Kiếm hoặc mua từ Bày Bán	Bí Kíp Võ Lâm (Trung)	OpenLevel69
1432	SkillHelp	Tăng 1 điểm kỹ năng	Tàng Bảo Đồ-Cao, Hoa Sơn Luận Kiếm hoặc mua từ Bày Bán	Bí Kíp Võ Lâm (Hạ) 	OpenLevel109
2591	SkillHelp	Tăng 1 điểm kỹ năng	Hoạt động Ngày Lễ hoặc mua từ Cửa Hàng Danh Vọng và Bày Bán	Bánh Ít Bát Bảo	
2876	SkillHelp	Tăng 1 điểm kỹ năng	Hoạt động Ngày Lễ hoặc mua từ Cửa Hàng Danh Vọng và Bày Bán	Nguyệt Mãn Tây Lâu	
9570	SkillHelp	Tăng 1 điểm kỹ năng	Hoạt động Ngày Lễ hoặc mua từ Bày Bán	Trâm Tinh Duệ Nguyệt	
8251	SkillHelp	Tăng 1 điểm kỹ năng	Hoạt động Ngày Lễ hoặc mua từ Bày Bán	Bánh Ít Bích Quân	
3238	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 10 điểm	Hoàn thành nhiệm vụ chính tuyến	Giang Phiên Hải Phí Yếu Quyết	
3714	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 10 điểm	Hoạt động Ngày Lễ hoặc mua từ Bày Bán	Tẩy Tủy Kinh (Thượng)	
3715	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 10 điểm	Hoạt động Ngày Lễ hoặc mua từ Bày Bán	Tẩy Tủy Kinh (Trung)	
3716	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 10 điểm	Hoạt động Ngày Lễ hoặc mua từ Bày Bán	Tẩy Tủy Kinh (Hạ)	
7912	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 10 điểm	Nhận từ hoạt động ngày lễ	Dịch Cốt Kinh-Quyển 1	
7913	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 10 điểm	Nhận từ hoạt động ngày lễ	Dịch Cốt Kinh-Quyển 2	OpenLevel139
7914	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 10 điểm	Nhận từ hoạt động ngày lễ	Dịch Cốt Kinh-Quyển 3	OpenLevel139
7915	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 10 điểm	Nhận từ hoạt động ngày lễ	Dịch Cốt Kinh-Quyển 3	OpenLevel139
2877	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 5 điểm	Hoạt động Ngày Lễ hoặc mua từ Cửa Hàng Danh Vọng và Bày Bán	Thái Vân Truy Nguyệt	
6444	AddAttributeItemHelp	Tăng 4 tiềm năng (Thể chất, sức mạnh, nhanh nhẹn, linh hoạt) mỗi loại 5 điểm	Hoạt động Ngày Lễ hoặc mua từ Cửa Hàng Danh Vọng và Bày Bán	Thiên Lý Nguyệt Minh	
