SkillId		MagicDesc
201	Thiên Vương Chùy Pháp	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim
206	Nhất Kích Sát Thần	Gây cho mục tiêu bị đánh trúng [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim, kèm hiệu quả Bị Thương [00ff00]state_hurt_attack2/15[-] giây, Định Thân [00ff00]state_fixed_attack2/15[-] giây
213	Kim Chung Tráo	Bản thân tăng [00ff00]all_series_resist_p1%[-] + [00ff00]all_series_resist_v1[-] kháng tất cả, [00ff00]resist_allseriesstate_rate_v1[-] kháng tỉ lệ thuộc tính, duy trì [00ff00]skill_statetime1/15[-] giây 
210	Huyết Chiến Bát Phương	Mỗi tấn công gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim
209	Thiên Vương Chiến Ý	Vĩnh viễn tăng [00ff00]lifemax_p1%[-] sinh lực cơ bản, [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản và [00ff00]state_zhican_resistrate1[-] điểm kháng tỉ lệ tàn phế
208	Bá Vương Nộ Hống	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim, có [00ff00]state_hurt_attack1%[-] kèm [00ff00]state_hurt_attack2/15[-] giây Bị Thương
224	Nhất Kỵ Đương Thiên	Mỗi kẻ địch xuất hiện xung quanh, tự tăng [00ff00]all_series_resist_p1%[-] kháng tất cả, tối đa cộng dồn [00ff00]add_mult_proc_sate12[-] lần
229	Chùy Pháp-Cao	[Thiên Vương Chùy Pháp] tăng [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim
240	Kinh Lôi Phá Thiên	Mỗi lần tăng [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, duy trì [00ff00]skill_statetime1/15[-] giây, tối đa cộng dồn [00ff00]superposemagic1[-] lần
218	Phá Phủ Trầm Châu	Có [00ff00]userdesc_1011%[-] tỉ lệ kích hoạt hồi sinh lực [00ff00]dir_recover_life_pp1/100%[-] và vô địch [00ff00]skill_statetime1/15[-] giây, khoảng cách kích hoạt cách nhau [00ff00]userdesc_1021/15[-] giây
242	Thiên Vương Bản Sinh	Vĩnh viễn tăng [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, [00ff00]lifemax_p1%[-] sinh lực cơ bản, [00ff00]all_series_resist_p1%[-] kháng tất cả cơ bản, [00ff00]attackspeed_v1[-] điểm tốc đánh, [00ff00]state_hurt_attackrate1[-] điểm tỉ lệ bị thương và [00ff00]state_zhican_resisttime1[-] điểm kháng thời gian tàn phế
216	Nhất Kích Sát Thần-Sơ	Tăng [00ff00]deadlystrike_p1%[-] tỉ lệ bạo kích cơ bản, duy trì [00ff00]skill_statetime1/15[-] giây 
222	Huyết Chiến Bát Phương-Sơ	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản
220	Bá Vương Nộ Hống-Sơ	Tăng [00ff00]melee_dmg_p1%[-] kháng sát thương tầm xa và cận chiến, duy trì [00ff00]skill_statetime1/15[-] giây, tối đa cộng dồn [00ff00]superposemagic1[-] tầng
243	Huyết Chiến Bát Phương-Trung	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản, có [00ff00]add_hurt_r2%[-] gây [00ff00]add_hurt_t2/15[-] giây Bị Thương
244	Bá Vương Nộ Hống-Trung	Tăng [00ff00]melee_dmg_p1%[-] kháng sát thương tầm xa và cận chiến, duy trì [00ff00]skill_statetime1/15[-] giây, tối đa cộng dồn [00ff00]superposemagic1[-] tầng. Tăng [00ff00]add_usebasedmg_p12[-]% tấn công cơ bản và [00ff00]add_hurt_t2/15[-] giây Bị Thương
246	Khí Cái Bát Hoang	Tăng [00ff00]lifemax_p1%[-] sinh lực cơ bản của bản thân, tăng [00ff00]userdesc_1011%[-] sinh lực cơ bản của đồng đội
253	Kim Chung Tráo-Sơ	Hồi phục [00ff00]dir_recover_life_pp1/100%[-] sinh lực tối đa
255	Kim Chung Tráo-Trung	Hồi phục [00ff00]dir_recover_life_pp1/100%[-] sinh lực tối đa; Giảm chờ [00ff00]deccdtime2/15[-] giây, thời gian duy trì kéo dài [00ff00]add_state_time12/15[-] giây
257	Nhất Kích Sát Thần-Trung	Tăng [00ff00]deadlystrike_p1%[-] tỉ lệ bạo kích cơ bản, duy trì [00ff00]skill_statetime1/15[-] giây. Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản
261	Thiếu Lâm Côn Pháp	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim
266	Hàng Long Côn	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim, có [00ff00]state_hurt_attack1%[-] kèm [00ff00]state_hurt_attack2/15[-] giây Bị Thương
268	Đại Lực Kim Cang Chỉ	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim, có [00ff00]state_hurt_attack1%[-] kèm [00ff00]state_hurt_attack2/15[-] giây Bị Thương
270	Kim Cang Phục Ma	Miễn dịch thuộc tính và hiệu quả bất lợi, tăng sát thương bạo kích và miễn sát thương bạo kích [00ff00]deadlystrike_damage_p1%[-], duy trì [00ff00]skill_statetime1/15[-] giây
271	Đạt Ma Võ Kinh	Vĩnh viễn tăng [00ff00]lifemax_p1%[-] sinh lực cơ bản, [00ff00]resist_allseriesstate_rate_v1[-] điểm tỉ lệ kháng thuộc tính và [00ff00]state_zhican_resistrate1[-] điểm kháng tỉ lệ tàn phế
272	Thập Nhị Cầm Long Thủ	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim, kèm [00ff00]state_fixed_attack2/15[-] giây Định Thân
273	La Hán Trận	Tấn công bằng [00ff00]sinh lực tối đa bản thân x damage_maxlife_p1/100%[-] + [00ff00]attack_metaldamage_v1[-] điểm
276	Côn Pháp-Cao	[Thiếu Lâm Côn Pháp] tăng [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_metaldamage_v1[-] sát thương hệ Kim
278	Lập Địa Thành Phật	Mỗi lần tăng [00ff00]all_series_resist_p1%[-] kháng tất cả cơ bản, tối đa cộng dồn [00ff00]superposemagic1[-] tầng, duy trì [00ff00]skill_statetime1/15[-] giây 
280	Kim Cang Nộ Mục	Có [00ff00]userdesc_1011%[-] tỉ lệ kích hoạt, bản thân tăng [00ff00]all_series_resist_p1%[-] kháng tất cả cơ bản, [La Hán Trận] tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản, duy trì [00ff00]skill_statetime1/15[-] giây, giãn cách thi triển [00ff00]userdesc_1021/15[-] giây
282	Dịch Cân Kinh	Vĩnh viễn tăng [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, [00ff00]lifemax_p1%[-] sinh lực cơ bản, [00ff00]all_series_resist_p1%[-] kháng tất cả cơ bản, [00ff00]attackspeed_v1[-] điểm tốc đánh, [00ff00]state_hurt_attackrate1[-] điểm tỉ lệ bị thương và [00ff00]state_zhican_resisttime1[-] điểm kháng thời gian tàn phế
292	Hàng Long Côn-Sơ	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản
293	Đại Lực Kim Cang Chỉ-Sơ	Tăng [00ff00]add_usebasedmg_p12%[-] tấn công cơ bản
294	Kim Cang Phục Ma-Sơ	Mỗi lần giảm chờ Kim Cang Phục Ma [00ff00]reduce_cd_time12/15[-] giây
296	Thập Nhị Cầm Long Thủ-Sơ	Có [00ff00]state_forceatk_attack1%[-] gây [00ff00]state_forceatk_attack2/15[-] giây Khiêu Khích kẻ địch
298	La Hán Kim Thân	Vĩnh viễn tăng [00ff00]physics_potentialdamage_p1%[-] tấn công cơ bản, khi bị tấn công có [00ff00]state_fixed_attack1%[-] tỉ lệ khiến người tấn công định thân [00ff00]state_fixed_attack2/15[-] giây, giãn cách kích hoạt [00ff00]userdesc_1011/15[-] giây
301	Nga Mi Kiếm Pháp	Gây [00ff00]attack_usebasedamage_p1%[-] tấn công cơ bản + [00ff00]attack_waterdamage_v1[-] sát thương hệ Thủy
