StateEffectId	StateName	EffectResID1	SlotID1	EffectResID2	SlotID2	HeadResID	Alpha	ChangeSize	ChangeSizeSpeed	RunActID	HeadWord	MagicDesc	Icon	IconAtlas	NotShowTime	HideBody	HideHead	ShowSort	HightLightSkill	RequireSuperpose
114	Khải Giáp Thép	114																		
195	Vòng Thủ Lĩnh	9031																		
197	Vòng Tinh Anh	197																		
198	Lửa Trại	198																		
199	Tu Luyện Châu											EXP đánh quái: x[00ff00]%s[-]\nEXP còn: [00ff00]%s[-]	BUFF_xiulianzhu	UI/Atlas/NewAtlas/Buff/Buff.prefab						
213	Kim Chung Tráo	9076										Kháng tất cả cơ bản +[00ff00]all_series_resist_p1%[-]\nKháng tất cả +[00ff00]all_series_resist_v1[-] điểm\nTỉ lệ kháng thuộc tính +[00ff00]resist_allseriesstate_rate_v1[-]	TianwangSkill_03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
217	Bí Kíp-Sơ: Nhất Kích Sát Thần											Tỉ lệ bạo kích cơ bản +[00ff00]deadlystrike_p1%[-]	Tianwang_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
221	Bí Kíp-Sơ: Bá Vương Nộ Hống											Kháng sát thương cận chiến +[00ff00]melee_dmg_p1%[-]\nKháng sát thương tầm xa +[00ff00]remote_dmg_p1%[-]	Tianwang_bd04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
219	Phá Phủ Trầm Châu	2416										Vô Địch	Tianwang_bd03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
225	Nhất Kỵ Đương Thiên											Kháng tất cả cơ bản +[00ff00]all_series_resist_p1%[-]	Tianwang_bd07_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
241	Kinh Lôi Phá Thiên											Tấn công cơ bản +[00ff00]physics_potentialdamage_p1%[-]	Tianwang_bd08_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
246	Khí Cái Bát Hoang											Sinh lực cơ bản tối đa +[00ff00]lifemax_p1%[-]	Tianwang_bd09_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
247	Khí Cái Bát Hoang											Sinh lực cơ bản tối đa +[00ff00]lifemax_p1%[-]	Tianwang_bd09_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
270	Kim Cang Phục Ma	3270						120	5			Miễn dịch thuộc tính\nMiễn dịch bất lợi\nSát thương bạo kích +[00ff00]deadlystrike_damage_p1%[-]\nMiễn sát thương bạo kích +[00ff00]weaken_deadlystrike_damage_p1%[-]	ShaolinSkill_04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
273	La Hán Trận	273																		
279	Lập Địa Thành Phật											Kháng tất cả cơ bản +[00ff00]all_series_resist_p1%[-]	Shaolin_bd04_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
281	Kim Cang Nộ Mục	3281										Kháng tất cả cơ bản +[00ff00]all_series_resist_p1%[-]\nTấn công cơ bản Kim Cang Nộ Mục +[00ff00]add_usebasedmg_p12%[-]	Shaolin_bd05_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
297	Bí Kíp-Cao: Thập Nhị Cầm Long Thủ											Tấn công cơ bản [FF3030]giảm physics_potentialdamage_p1%[-]	Sl_mj03_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
306	Từ Hàng Phổ Độ	3306										Mỗi cách [00ff00]1[-] giây hồi phục [00ff00]dir_recover_life_pp1/100%[-] sinh lực tối đa	Emei_jx01_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
316	Bí Kíp: Từ Hàng Phổ Độ											Miễn dịch thuộc tính	Em_mj02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
318	Miên Lý Tàng Châm											Mỗi [00ff00]recover_life_p2/15[-] giây hồi [00ff00]recover_life_p1%[-] sinh lực	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
328	Bí Kíp: Thiên Vũ Bảo Luân											Kháng tất cả +[00ff00]all_series_resist_v1[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
329	Bí Kíp: Thiên Vũ Bảo Luân																			
330	Bí Kíp: Thiên Vũ Bảo Luân											Giải trừ và miễn dịch thuộc tính và hiệu quả bất lợi	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
331	Bí Kíp: Thiên Vũ Bảo Luân											Di chuyển cơ bản +[00ff00]runspeed_p1%[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
377	Bí Kíp: Thiên Vũ Bảo Luân											Né tránh cơ bản [FF3030] giảm defense_p1%[-]	Emei_bd06_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
341	Phật Tâm Từ Hựu											Kháng tỉ lệ thuộc tính +[00ff00]resist_allseriesstate_rate_v1[-]\nKháng thời gian thuộc tính +[00ff00]resist_allseriesstate_time_v1[-]\nKháng tỉ lệ bất lợi +[00ff00]resist_allspecialstate_rate_v1[-]\nKháng thời gian bất lợi+[00ff00]resist_allspecialstate_time_v1[-]	Emei_bd02_buff	UI/Atlas/NewAtlas/Buff/Buff.prefab						
