TaskId	MinLevel	Pool	Type	TemplateId	Name	Count	Prob	RewardType1	RewardId1	RewardCount1	RewardType2	RewardId2	RewardCount2
1	1	1	Gather	148	Huyết Mẫu Đơn	2	700						
2	1	1	Gather	149	Diệp Thượng Châu	2	700						
3	1	1	Gather	150	Ngân Tuyến Thảo	2	700						
4	1	1	Gather	151	Tường Vi Tím	2	700						
5	1	1	Gather	152	Địa Linh Căn	2	700						
6	1	1	Gather	154	Huyết Phong Đằng	2	700						
7	1	1	Gather	155	Ngu Mỹ Nhân	2	700						
8	1	1	Item	736	Bích Ngọc Ban Chỉ	1	450	Coin		1200			
9	1	1	Item	737	Phỉ Thúy Thủ Trạc	1	450	Coin		1200			
10	1	1	Item	738	Bình Thanh Hoa	1	450	Coin		1200			
11	1	1	Item	739	Lưu Kim Ngân Bàn	1	450	Coin		1200			
12	1	1	Item	740	Đồng Biên Chung	1	450	Coin		1200			
13	1	1	Item	741	Bạch Ngọc Thoa	1	450	Coin		1200			
14	1	1	Item	742	Mặc Ngọc Nghiễn	1	450	Coin		1200			
15	1	1	Item	743	Thanh Trúc Giản	1	450	Coin		1200			
16	1	1	Item	1236	Lăng Tuyệt Phong Lệnh Bài Lv1	1	500						
17	1	1	Item	923	Lăng Tuyệt Phong Lệnh Bài Lv2	1	500						
18	1	1	Item	924	Lăng Tuyệt Phong Lệnh Bài Lv3	1	500						
19	1	2	Gather	148	Huyết Mẫu Đơn	2	500						
20	1	2	Gather	149	Diệp Thượng Châu	2	500						
21	1	2	Gather	150	Ngân Tuyến Thảo	2	500						
22	1	2	Gather	151	Tường Vi Tím	2	650						
23	1	2	Gather	152	Địa Linh Căn	2	650						
24	1	2	Gather	153	Thiên Hương Quả	1	600						
25	1	2	Gather	154	Huyết Phong Đằng	2	650						
26	1	2	Gather	155	Ngu Mỹ Nhân	2	650						
28	1	2	Item	736	Bích Ngọc Ban Chỉ	1	250	Coin		1200			
