nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
1	MainTask1_1	[C] Giấc Mộng	Không được! Ta nhất định phải nghĩ cách... Đáng ghét! Cơ thể không nghe lời...	Dường như đã mơ một giấc mơ rất dài rất dài	Dường như đã mơ một giấc mơ rất dài rất dài	[url=pos:test,1000,1736,4253]	[url=pos:test,1000,1736,4253]				2				1								1	1					1000				413				
2	MainTask1_2	[C] Thức Tỉnh	Đây là đâu? Có vẻ ta đã ngủ say và có một giấc mơ dài... Quái lạ! Sao toàn thân yếu ớt như vậy? Do ngủ quá lâu? Cô nương xinh đẹp ấy là ai? Không lẽ là tiên nữ?... Khoan đã, nàng đang gọi ta! Ta phải hỏi thăm xem...	[FFFE0D]Cô nương[-] là...?	[FFFE0D]Cô nương[-] là...?	[url=clientnpcbyidx:test, 1]	[url=clientnpcbyidx:test, 1]	1|4	1|4	1	3	2								Exp|20000;Gold|10000;Coin|5000			1	1													
3	MainTask1_3	[C] Cứu Giúp	Ta không giỏi bơi lội, may được Tiểu Phương huynh cứu mạng, mau đến cảm ơn huynh ấy!	Cảm ơn [FFFE0D]Ân Phương[-]	Cảm ơn [FFFE0D]Ân Phương[-]	[url=clientnpcbyidx:test, 3]	[url=clientnpcbyidx:test, 3]	2|3	3	2	4	3								Exp|20000;Gold|10000			1	1													
4	MainTask1_4	[C] Đảo Chủ	Chẳng biết đảo chủ là người thế nào, ta nên đi chào hỏi.	Bái kiến [FFFE0D]Vong Ưu Đảo Chủ[-]	Bái kiến [FFFE0D]Vong Ưu Đảo Chủ[-]	[url=clientnpcbyidx:test, 7]	[url=clientnpcbyidx:test, 7]	2|4|7	2|4|7	3	5	4								Exp|20000;Gold|10000			1	1													
5	MainTask1_5	[C] Tạ Ơn	Ta tuy giữ được mạng, nhưng lại bị trọng thương, cũng không biết các sư huynh sư tỷ và Trác đại ca thế nào, thôi không nghĩ nữa, đến cảm ơn Nạp Lan Cô Nương trước đã.	Quay về gặp [FFFE0D]Nạp Lan Cô Nương[-]	Quay về gặp [FFFE0D]Nạp Lan Cô Nương[-]	[url=clientnpcbyidx:test, 1]	[url=clientnpcbyidx:test, 1]	1|4|8	1	4	6	5						1	1	Exp|20000;Gold|10000;Item|1246|1			1	1													
6	MainTask1_6	[C] Luyện Tập	Nội thương của ta đã hồi phục kha khá, cũng nên tìm nơi thử thân thủ. Nạp Lan Cô Nương nói gần đây có ngọn Tuyết Phong, đến đó xem thử nào!	Đến [FFFE0D]$NP[-]	Đến [FFFE0D]$NP[-]	[url=gotofuben:test, 1, 1, 1]		2|4|8	2	5	7			1|1|1	1			1		Exp|20000;Gold|10000			1	1													
7	MainTask1_7	[C] Bạn Tri Kỷ	Sau trận đại chiến, nhiều tinh anh giang hồ đã tử trận, không biết tiếp theo nên làm thế nào? Nếu tìm được Trác đại ca thì tốt quá, chắc chắn sẽ biết nhiều hơn.	Kể sự việc cho [FFFE0D]Nạp Lan Chân[-]	Kể sự việc cho [FFFE0D]Nạp Lan Chân[-]	[url=clientnpcbyidx:test, 1]	[url=clientnpcbyidx:test, 1]	1|4|8	1|8	6	8	7						1	1	Exp|20000;Gold|10000;Item|1251|1			1	1													
8	MainTask1_8	[C] Thanh Niên	Vong Ưu Đảo thật đẹp, đúng là thế ngoại đào viên. Nạp Lan cô nương lại càng xinh đẹp thanh tú, không biết đảo chủ-cha cô ấy là người như thế nào?	Theo Nạp Lan Chân vào [FFFE0D]nhà[-]	Theo Nạp Lan Chân vào [FFFE0D]nhà[-]	[url=pos:test,1000,4700,6450]	[url=pos:test,1000,4700,6450]	4|5|10	10	7	9	8			1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 8]				484								
9	MainTask1_9	[C] Cùng Cảnh Ngộ	Nạp Lan đảo chủ tính cẩn trọng, có thể cũng là cao thủ. Nạp Lan cô nương đưa mắt ra hiệu, thử đi hỏi xem cô ấy muốn nói gì.	Xem tình hình [FFFE0D]Dương Ảnh Phong[-]	Xem tình hình [FFFE0D]Dương Ảnh Phong[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	4|5|8|203	203	8	10	9			1	1	9			Exp|20000;Gold|10000			1	1	[url=dialog:test, 9]												
10	MainTask1_10	[C] Ngập Ngừng	Lúc nãy Nạp Lan cô nương đưa mắt ra hiệu, hình như muốn ta ra ngoài?	Hãy [FFFE0D]ra khỏi phòng[-]	Hãy [FFFE0D]ra khỏi phòng[-]	[url=pos:test,484,2700,2260]	[url=pos:test,484,2700,2260]	4|5|8|9|204	5|204	9	11				1					Exp|20000;Gold|10000			1	1	[url=clientnpcbyidx:test, 9]				1000								
