nShowId	nNpcId	nMapTemplateId	nX	nY	nDir	Trap	bIsTaskNpc	bIsFollow	szStartFunc	szStartParam	Desc	Map
1	413	1000	6520	5250	61		1				Nạp Lan Chân-Nhiệm vụ	Tân Thủ Thôn
2	418	1000	6520	5250	61						Nạp Lan Chân-Biểu hiện	Tân Thủ Thôn
3	414	1000	8300	5900	46		1				Ân Phương-Nhiệm vụ	Tân Thủ Thôn
4	578	1000	8300	5900	46						Ân Phương-Biểu hiện	Tân Thủ Thôn
5	1277	484	1860	3360	1						Dương Ảnh Phong Trọng Thương-Biểu hiện	Nhà Vong Ưu
6	1382	400	7860	8080	32						Ân Phương-Di chuyển	Tỏa Vân Uyên
7	416	1000	8670	5150	51		1				Nạp Lan Tiềm Lẫm-Nhiệm vụ	Tân Thủ Thôn
8	954	1000	8670	5150	51						Nạp Lan Tiềm Lẫm-Biểu hiện	Tân Thủ Thôn
9	413	1000	3500	6100	53		1				Nạp Lan Chân-Nhiệm vụ	Tân Thủ Thôn
10	1080	1000	6520	6520	53			1			Nạp Lan Chân-Theo sau	Tân Thủ Thôn
11	1340	1000	8080	3210	47		1				Ân Đồng-Nhiệm vụ	Tân Thủ Thôn
12	1341	1000	8080	3210	47						Ân Đồng-Biểu hiện	Tân Thủ Thôn
13	413	1000	4900	6050	43		1				Nạp Lan Chân-Nhiệm vụ	Tân Thủ Thôn
14	418	1000	4900	6050	43						Nạp Lan Chân-Biểu hiện	Tân Thủ Thôn
15	1382	400	7860	8080				1			Ân Phương-Theo sau	Tỏa Vân Uyên
16	1381	400	4900	10000					MoveAndDelete	syy_wjc1	Vạn Kim Tài-Di chuyển	Tỏa Vân Uyên
17	730	484	1610	3080	21		1				Dương Ảnh Phong-Nhiệm vụ	Nhà nhỏ Tỏa Vân Uyên
18	731	484	1610	3080	21						Dương Ảnh Phong-Biểu Hiện	Nhà nhỏ Tỏa Vân Uyên
19	720	400	8060	8100	32		1				Nạp Lan Chân-Nhiệm vụ	Tỏa Vân Uyên
20	724	400	8060	8100	32			1			Nạp Lan Chân-Theo sau	Tỏa Vân Uyên
21	1106	403	5250	4300	22				Move	dth_zx1	Tử Hiên-Di chuyển	Động Đình Hồ
22	1107	403	4950	5100	46				Move	dth_yme1	Nguyệt My Nhi-Di chuyển	Động Đình Hồ
23	1081	400	13570	4300	36			1			Dương Ảnh Phong-Theo sau	Tỏa Vân Uyên
24	578	400	7860	8080	34						Tiểu Lý Tử-Biểu hiện	Tỏa Vân Uyên
25	730	400	13570	4300	36		1				Dương Ảnh Phong-Nhiệm vụ	Tỏa Vân Uyên
26	731	400	13570	4300	36						Dương Ảnh Phong-Biểu Hiện	Tỏa Vân Uyên
27	725	400	13890	5080	32				Move	syy_nlz1	Nạp Lan Chân-Di chuyển	Tỏa Vân Uyên
28	721	400	13720	4770	32						Nạp Lan Chân-Biểu hiện	Tỏa Vân Uyên
29	730	400	8060	8100	32		1				Dương Ảnh Phong-Nhiệm vụ	Tỏa Vân Uyên
