ClassName	nX	nY	nDir	Desc
wyd_nlz1	5240	5800	47	Vong Ưu Đảo, Nạp Lan Chân nhìn Nạp Lan Tiềm Lẫm xong liền đi nấu đồ ăn
wyd_nlz2	6310	6500	10	
wyd_nlz3	6650	5900		
wyd_nlz3	6670	4240		
wyd_nlz3	6910	4250		
wyd_nlz4	5820	4200		
wyd_yyf1	6500	5100	16	Vong Ưu Đảo, Dương Ảnh Phong đi gặp Nạp Lan Chân từ biệt
wyd_yyf2	2290	4140	49	Vong Ưu Đảo, Dương Ảnh Phong thoát Vong Ưu Đảo
wyd_yyf3	9100	5150	15	Vong Ưu Đảo, Dương Ảnh Phong vào Tâm Ma Ảo Cảnh
wyd_yyf4	5000	5900	33	Vong Ưu Đảo, Dương Ảnh Phong rời khỏi Tâm Ma Ảo Cảnh
wyd_yme1	3400	6650		
wyxw_nlz1	2000	3200		Nhà Vong Ưu, Nạp Lan Chân đến trước giường nhìn Dương Ảnh Phong
wyxw_nlz2	2870	2420		Nhà Vong Ưu, Nạp Lan Chân rời khỏi nhà
lysd_nlz1	6460	3000	8	Ly Ưu Sơn Động, Nạp Lan Chân di chuyển về hướng có ánh sáng
lysd_yyf1	6460	3000	8	Ly Ưu Sơn Động, Dương Ảnh Phong di chuyển về hướng có ánh sáng
wygxw_nlz1	3100	2900	11	Nhà nhỏ Vong Ưu Cốc, Nạp Lan Chân vào nhà lục soát
wygxw_nlz2	2940	3120	0	Nhà nhỏ Vong Ưu Cốc, Nạp Lan Chân đến cạnh đại hiệp đọc Mảnh Khăn
wygxw_yyf1	2550	2510	55	Nhà nhỏ Vong Ưu Cốc, Dương Ảnh Phong vào nhà lục soát
wygxw_yyf2	2740	3190	7	Nhà nhỏ Vong Ưu Cốc, Dương Ảnh Phong đến cạnh đại hiệp đọc Mảnh Khăn
syy_nlz1	13740	4410	42	
syy_yyf1	7550	7900		
syy_yyf1	6750	8700		
syy_yyf2	4220	8720	43	Tỏa Vân Uyên, Dương Ảnh Phong tìm được Nạp Lan Chân
syy_yf1	13400	3350		
syyxw_nlz1	2000	3200	45	Nhà nhỏ Tỏa Vân Uyên, Nạp Lan Chân vào nhà
syyxw_nlz2	2870	2420		Nhà nhỏ Tỏa Vân Uyên, Nạp Lan Chân rời nhà
syyxw_nlql1	1830	3140	48	Nhà nhỏ Tỏa Vân Uyên, Nạp Lan Tiềm Lẫm vào nhà
syyxw_nlql2	2640	2420		Nhà nhỏ Tỏa Vân Uyên, Nạp Lan Tiềm Lẫm rời nhà
wys_yme1	10540	11480	61	Võ Di Sơn, Nguyệt My Nhi sau khi cám ơn ngươi liền bỏ đi
wys_yme1	11270	12660	6	Võ Di Sơn, Nguyệt My Nhi sau khi cám ơn ngươi liền bỏ đi
wys_yyf1	10470	11480	18	Võ Di Sơn, gặp Lâu La Dương Ảnh Phong rồi rời đi
wys_yyf1	11550	11170	18	Võ Di Sơn, gặp Lâu La Dương Ảnh Phong rồi rời đi
wys_yyf1	12000	11420	18	Võ Di Sơn, gặp Lâu La Dương Ảnh Phong rồi rời đi
wys_yyf2	8900	5600	35	Võ Di Sơn, Dương Ảnh Phong hỏi Thôn Dân xong thì rời đi
wys_yyf3	5800	4260	20	Võ Di Sơn, cứu Nguyệt My Nhi Dương Ảnh Phong xong thì rời đi
wys_yyf3	7400	4600	22	Võ Di Sơn, cứu Nguyệt My Nhi Dương Ảnh Phong xong thì rời đi
yds_yme1	6390	4920	49	Nhạn Đãng Sơn, Nguyệt My Nhi vào nhà
