nDialogId	szDialogIndex	nLookNpcTemplateId	nNpcTemplateId	szNpcSay	szPlayerSay	szStoryBefore	szStoryAfter	nSoundId	szAction
2	2	413			Cô nương, đây là đâu? Ta như vừa mơ một giấc dài, trong mơ thuyền tàu nổ tung, ta hình như rơi xuống biển... đầu đau quá...				
2	2		413	Các hạ đã bị trọng thương, tạm không thể dùng nội lực, cần chút thời gian hồi phục. Kỳ lạ, mấy ngày nay sao Vong Ưu Đảo có nhiều người trôi dạt thế.					
2	2				Cái gì! Nội lực ta đã không còn!?				
2	2		413	Đừng lo lắng. Sẽ qua nhanh thôi? Nghe nói trên núi có loại thảo dược trị nội thương. Ta sẽ cố gắng cứu ngươi					
2	2				(Một cô nương tốt bụng)... Đa tạ cô nương! Xin hỏi cô nương là ai? Đúng rồi, người đi cùng ta đâu?! Trác đại ca vẫn ổn chứ?				
2	2		413	(Lắc đầu) Ta chẳng làm gì cả, Ân Phương đã phát hiện và cứu các hạ. Ta chẳng thấy người nào khác cả.					
2	2				(Không biết họ như thế nào, thôi cảm ơn trước đã) Đa tạ cô nương, ta đi tìm Ân tiểu huynh đây!				
3	3				Nạp Lan cô nương đã nói chuyện trước kia với tại hạ, đa tạ Ân tiểu huynh giúp đỡ!				
3	3		414	Ta chỉ thích du ngoạn khắp nơi, đúng lúc gặp được ngươi, không thể thấy chết mà không cứu! Ngươi muốn đa tạ thì chờ ngươi khỏi bệnh hãy dẫn ta cùng hành tẩu giang hồ! Ta muốn học võ công!					
3	3				(Đứa trẻ nhỏ như thế mà đã muốn khiêu chiến đại hiệp trong thiên hạ, cho dù ta đồng ý thì cha mẹ ngươi cũng không bằng lòng) Được! Cứ như vậy nhé!				
4	4	416			Đảo chủ, vãn bối đến đây để cảm tạ ơn cứu mạng.				
4	4		416	(Xua tay) Không cần đa lễ, người phát hiện là Ân Phương, người cứu chữa là tiểu nữ, không liên quan tới ta. Xem ra ngươi đã gần khỏe rồi, nên ở đây tịnh dưỡng rồi hãy đi.					
4	4				Vâng! Đa tạ tiền bối! Vãn bối xin cáo từ.				
4	4		416	Đi thôi, quanh đây thì không có thú dữ, chỉ cần chú ý đám Ong Quỷ ở sau núi, nọc độc của chúng rất mạnh, khi gặp phải tránh ngay, nhớ kỹ đó.					
4	4				(Trước khi đi hãy báo với Nạp Lan cô nương một tiếng) Đa tạ tiền bối nhắc nhở!				
5	5				Nạp Lan Cô Nương, ta đã hồi phục kha khá, muốn đi xung quanh xem thử, vận động gân cốt.				
5	5		413	Vết thương mới lành, ngươi hãy cẩn thận nha.					
5	5				Cô nương yên tâm, ta sẽ cẩn thận.				
7	7		413	$N, về rồi à! Để ta dẫn ngươi đi gặp một người!					happy
7	7				Gặp ai?				
7	7		413	Người này cũng giống các hạ đấy, nhưng hắn bị thương do rơi từ trên vực xuống, đi theo ta sẽ biết!					
8	8				Nạp Lan cô nương, vị này là?				
8	8		413	Dương đại ca... Huynh ấy tên Dương Ảnh Phong, bị kẻ gian đánh rơi xuống vực... Ảnh Phong ca ca! $N đã bình phục rồi, không lâu nữa huynh cũng sẽ khỏe hẳn thôi!					
8	8		415	Đừng an ủi ta, giờ ta đã trở thành phế nhân nhưng mối thù chưa báo, dù xuống suối vàng cũng không có mặt mũi gặp cha, đừng nói là thiên hạ đệ nhất...					sad
8	8		413	Dương đại ca đừng nghĩ lung tung, hãy nghỉ ngơi đi, ta đi sắc thuốc!					
9	9		719	(Nạp Lan Chân lúc đi ra đã đưa mắt ra hiệu, khẽ kéo tay áo ngươi)					
11	11				Nạp Lan cô nương, sao lúc nãy không qua đó? Cẩn thận như vậy để làm gì?				
11	11		413	(Chần chừ) Vết thương của ngươi có vẻ đỡ nhiều rồi, có thể cùng ta ra sau núi hái thảo dược trị thương cho Dương đại ca không? Ở đó có Ong Quỷ, cha không muốn để ta đi.					
11	11				(Trầm ngâm) Nạp Lan cô nương, lấy thuốc không khó nhưng phía sau núi có Ong Quỷ, cô đừng đi, ta tự đi được rồi.				
11	11		413	Không được! Ta không thể để ngươi một mình đi mạo hiểm! Ong Quỷ quả thật rất lợi hại, vừa đúng lúc Hồ Thần Y đang ở đây, người là danh y nổi tiếng thiên hạ, chắc chắn có cách!					
11	11				Chúng ta mau đi gặp Hồ Thần Y thôi!				
12	12		417	Nha đầu Nạp Lan, sao rảnh rỗi tới đây vậy? (Vui mừng) Chả lẽ muốn theo lão phu tới Dược Vương Cốc học y sao? Vậy mới đúng chứ! Ngươi tư chất thiên bẩm, ắt sẽ thành danh y nổi danh thiên hạ!					
12	12				Thì ra ngài chính là Hồ Thần Y, tại hạ và Nạp Lan cô nương đến đây để hỏi ngài cách khắc chế độc tính của Ong Quỷ.				
