nNpcResId	Name	x	y	z	dx	dy	dz
0	Mặc định	-70	-190	-400	75	-230	-720
1	Thiên Vương	-70	-190	-500	75	-230	-720
2	Nga Mi	-70	-190	-500	40	-180	-720
3	Đào Hoa	-70	-190	-500	60	-50	-720
4	Tiêu Dao	-70	-190	-500	60	-200	-720
5	Võ Đang	-70	-190	-500	60	-200	-720
6	Thiên Nhẫn	-70	-190	-500	60	-200	-720
9	Nhân vật Thiếu Lâm	-70	-190	-500	60	-200	-720
10	Nhân vật Thúy Yên	-70	-190	-500	60	-140	-720
1001	Nhân vật Đường Môn	-70	-190	-500	60	-150	-720
1002	Nhân vật Côn Lôn	-70	-190	-500	60	-200	-720
1003	Nhân vật Cái Bang	-70	-190	-500	60	-200	-720
1004	Nhân vật Ngũ Độc	-70	-190	-500	60	-110	-720
1005	Nhân vật Tàng Kiếm	-70	-190	-500	60	-230	-720
1006	Nhân vật Trường Ca	-70	-190	-500	60	-200	-720
1007	Thiên Sơn-Nam	-70	-190	-500	60	-200	-720
1008	Thiên Sơn-Nữ	-70	-190	-500	60	-140	-720
1009	Nhân Vật Bá Đao-Nam	-70	-190	-500	60	-200	-720
1010	Nhân Vật Bá Đao-Nữ	-70	-190	-500	60	-50	-720
1011	Nhân Vật Võ Đang-Nữ	-70	-190	-500	60	-200	-720
11	Tâm Ma	-100	-275	-400	50	-260	-720
12	Diệp Vô Tâm	-150	-255	-400	0	-230	-720
13	Thiên Tinh Đạo Trưởng	-100	-500	-55	50	-400	-500
14	Tiêu Động Trần	-100	-380	-50	100	-350	-450
15	Triết Biệt	-80	-550	50	50	-450	-450
16	Huyền Thiên Đạo Nhân	-100	-450	-50	60	-400	-450
17	Thiết Diện Lang Quân	-100	-480	100	60	-420	-450
19	Viên Thừa Chí	-50	-500	50	80	-450	-500
20	Huyền Thiên Võ Cơ	-100	-550	200	115	-520	-100
21	Thượng Quan Phi Long	-50	-450	-50	110	-370	-580
22	Hồ Thần Y	-50	-300	-150	75	-200	-530
23	Ngải Lê	-130	-430	-50	20	-400	-500
24	Người Bí Ẩn	-150	-430	-50	80	-390	-550
25	Ngao Bái	-80	-500	50	50	-450	-400
26	Cửu Vĩ Hồ Vương	-300	-500	1500	150	-410	500
27	Nam Cung Phi	-130	-420	-150	50	-380	-580
28	Hàn Ngọc Lộc Vương	-300	-500	1500	150	-480	500
29	Đại Địa Lang Vương	-300	-500	1500	150	-200	500
30	Bôn Diệm Báo Vương	-300	-500	1500	150	-250	500
31	Hoàn Nhan Hồng Liệt	-100	-350	150	20	-250	-300
32	Độc Cô Kiếm	-150	-440	100	40	-400	-550
101	Từ Thiết Tâm	-90	-220	-400	35	-230	-720
102	Đơn Tinh Tinh	-70	-190	-500	50	-170	-800
103	Tường Vi	-70	-220	-500	50	-190	-800
104	Hồng Y Nữ Đồng	-70	-175	-500	50	-130	-800
105	Ninh Tố Tâm	-70	-220	-500	50	-180	-800
106	Phong Lâm Vệ	-50	-200	-400	50	-170	-720
107	Quan Viên	-90	-275	-400	30	-230	-800
108	Hồng Anh Thị	-100	-200	-400	50	-170	-800
109	Bò Cạp Tím	-120	-180	500	120	-100	0
110	Hỏa Hồ	-150	-120	200	120	20	-300
111	Kim Tiền Báo	-150	-100	200	100	20	-300
112	Nhện	-150	-80	200	120	50	-300
113	Ưng	-100	-75	120	80	0	0
114	Mãnh Hổ	-150	-120	200	100	0	-100
115	Sói Xám	-150	-100	200	80	20	-300
116	Gấu Đen	-150	-100	200	120	20	-300
117	Khỉ	-150	-100	200	120	20	-300
118	Công Tôn Tích Hoa	-60	-230	-400	70	-210	-720
119	Đường Ảnh	-80	-240	-400	70	-200	-700
120	Đệ Tử Tiêu Dao Phái	-100	-240	-300	50	-200	-720
121		-100	-380	-50	140	-350	-550
122	Gia Luật Tị Li	-150	-380	-50	50	-310	-600
123	Thủy Tặc	-70	-200	-500	40	-170	-800
124	Đông Doanh Nhẫn Giả	-70	-200	-500	35	-200	-800
125	Tiểu Lý Tử	-70	-120	-450	50	-100	-770
126	Nam Cung Thái Hồng	-70	-220	-500	75	-210	-720
127	Triệu Vô Song	-70	-220	-500	50	-190	-800
128		-70	-120	-450	60	-80	-770
129	Nam Cung Diệt	-100	-450	50	70	-350	-400
130	Hàn Thế Trung	-100	-290	-200	-20	-260	-500
131	Tử Hiên	-25	-210	-500	75	-210	-720
132	Sài Tung	-50	-210	-500	75	-210	-720
133	Tô Mặc Vân	-70	-270	-400	75	-230	-720
134	Lưu Khấu	-65	-230	-400	35	-200	-720
135		-90	-230	-400	50	-200	-720
136	Cường Đạo	-70	-190	-500	75	-200	-720
137	Nữ Tinh Anh Ngũ Độc	-70	-220	-500	60	-200	-720
138	Lộ Đạt	-70	-220	-500	40	-200	-720
139	Đệ Tử Dược Vương	-70	-120	-450	60	-60	-770
140	Nhiếp Ưng	-70	-190	-500	50	-200	-720
141	Dương Anh	-70	-190	-500	50	-200	-720
142	Vương Đại Chùy	-70	-190	-500	75	-230	-720
143	Cố Võ	-100	-190	-500	20	-200	-720
144	Dương Hồ	-70	-240	-400	50	-210	-720
145	Chung Lan Tâm	-70	-120	-450	60	-80	-770
146	Vạn Kim Tài	-100	-270	-200	50	-222	-720
147	Liệp Ưng	-200	-400	700	75	-230	0
150	Vệ Binh	-70	-190	-500	40	-200	-720
151	Liêm Thương Vệ	-70	-190	-500	75	-200	-720
152	Trường Cung Thủ	-90	-240	-300	75	-200	-720
153	Triệu Tiết	-70	-260	-300	50	-210	-720
154	Cơ Quan Chiến Xa	-170	-200	500	75	-100	0
155	Thiên Cổ Độc Thi	-140	-420	0	40	-400	-500
156	Mạnh Tri Thu	-70	-220	-400	50	-200	-720
157	Cơ Quan Nhân	-120	-250	-200	50	-210	-600
158	Thu Y Thủy	-50	-190	-500	75	-180	-720
159	Lý Tam	-110	-240	-300	25	-200	-720
160	Trương Trọng Thiên	-70	-210	-500	75	-200	-720
161		-150	-170	200	100	20	-300
162		-150	-210	200	120	-60	-300
163	Đệ Tử Thiếu Lâm	-70	-190	-500	75	-170	-720
164		-70	-190	-500	60	-180	-800
165	Kình Nỏ Thủ	-70	-190	-500	75	-210	-720
166		-150	-170	200	120	20	-300
169	Mao Sơn Đạo Sĩ	-45	-200	-500	75	-190	-800
170		-70	-190	-500	30	-180	-800
171		-100	-250	-200	20	-180	-720
173	Lưu Manh Vô Lại	-80	-220	-400	50	-180	-800
174	Sát Thủ Bịt Mặt	-70	-190	-400	40	-180	-720
175	Độc Cô Kiếm-Thiếu Niên	-50	-220	-400	75	-200	-720
176	Mộc Tử Y	-70	-120	-450	60	-110	-770
177	Nạp Lan Chân	-60	-200	-550	50	-180	-900
178		-100	-210	-400	40	-190	-800
179		-70	-240	-300	50	-220	-600
180		-100	-240	-300	50	-230	-600
181		-70	-390	-200	50	-320	-720
182	Thiệu Kỵ Phong	-50	-250	-400	40	-210	-720
183		-100	-220	-400	50	-190	-720
184		-50	-230	-400	100	-210	-720
185	Thanh Hòa	-100	-220	-400	35	-200	-800
186	Nhạc Phi	-30	-240	-300	75	-220	-680
187	Nạp Lan Tiềm Lẫm	-100	-270	-300	50	-240	-720
188	Tuyết Liên Lão Lão	-50	-90	-300	75	-30	-720
189		-70	-210	-400	40	-185	-800
190		-70	-230	-400	50	-190	-800
191		-70	-120	-500	60	-80	-770
192		-70	-120	-500	60	-80	-770
193		-90	-240	-400	30	-210	-720
194	Trác Phi Phàm	-90	-230	-400	40	-210	-720
195		-70	-120	-500	60	-80	-770
196		-90	-220	-400	40	-200	-720
197		-70	-120	-500	60	-80	-770
198	Tiểu Ảnh Phong	-70	-140	-400	40	-100	-700
199		-90	-230	-400	40	-200	-720
207		-70	-270	-100	50	-230	-720
208		-70	-190	-500	50	-190	-800
209		-70	-120	-400	60	-80	-770
210		-80	-220	-400	50	-210	-720
211		-70	-270	-300	50	-210	-720
212		-70	-190	-500	50	-200	-800
213		-70	-120	-400	60	-80	-700
214		-70	-220	-400	50	-200	-720
317	Khô Lâu	-150	-350	-50	0	-400	-450
318	Tần Mộc Bạch	-220	-1000	300	40	-1060	0
323	Xích Tâm Hoa	-150	-80	200	80	-5	-300
352		-150	-100	400	100	20	0
354		-140	-500	100	80	-460	-450
357		-150	-190	400	110	-160	100
364		-100	-470	-50	60	-420	-450
365		-100	-470	-50	60	-460	-450
366		-100	-470	-50	115	-460	-450
367		-150	-470	100	60	-460	-450
368		-100	-470	-50	115	-460	-450
369		-100	-470	-50	115	-460	-450
370		-100	-470	-50	115	-460	-450
371		-100	-470	-50	115	-460	-450
372		-100	-470	-50	100	-400	-450
373		-100	-470	-50	80	-460	-450
384		-150	-190	400	110	-160	100
385		-150	-190	700	110	0	100
386		-100	-470	-50	115	-460	-450
387		-150	-190	400	110	0	100
388		-150	-190	700	110	0	100
399		-150	-190	700	110	0	100
400		-170	-470	100	60	-400	-450
401		-100	-500	100	80	-460	-450
402		-100	-500	150	80	-460	-450
403		-100	-470	-50	115	-460	-450
404		-100	-470	-50	80	-400	-450
405		-100	-470	100	80	-420	-450
406		-100	-470	-50	80	-420	-450
407		-100	-470	-50	80	-420	-450
408		-100	-470	-50	115	-460	-450
409		-150	-470	100	80	-460	-450
425		-140	-510	100	80	-500	-450
430		-120	-350	-150	40	-300	-700
437		-150	-450	700	110	-300	100
451		-150	-500	150	50	-460	-450
452		-120	-470	150	60	-460	-450
477		-100	-220	-500	75	-230	-720
478	Phong Ngọc Thư	-150	-450	0	40	-400	-550
555	Người Tuyết Lớn	-70	-190	-500	100	0	-200
568	Người Tuyết Lớn (x1.5)	-70	-190	-500	160	-120	300
569	Người Tuyết Lớn (x2)	-70	-190	-500	220	-240	800
570	Người Tuyết Lớn (x2.5)	-70	-190	-500	280	-360	1300
571	Người Tuyết Lớn (x3)	-70	-190	-500	340	-480	1800
572	Người Tuyết Lớn (x3.5)	-70	-190	-500	400	-600	2300
573	Người Tuyết Lớn (x4)	-70	-190	-500	460	-720	2800
661	Sương Nhi	-70	-190	-500	60	-50	-720
933	Cây Ước Nguyện	-70	-190	-500	160	100	300
934	Cây Ước Nguyện	-70	-190	-500	160	100	300
935	Cây Ước Nguyện	-70	-190	-500	160	-200	300
936	Cây Ước Nguyện	-70	-190	-500	160	-250	300
937	Cây Ước Nguyện	-70	-190	-500	160	-250	300
938	Cây Ước Nguyện	-70	-190	-500	160	-450	300
939	Cây Ước Nguyện	-70	-190	-500	160	-500	300
941	Thanh Minh-Bia Đá	-70	-190	-1500	160	-500	300
942	Liên Lý Chi	-70	-190	-1500	160	-300	300
944	Liên Lý Chi	-70	-190	-1500	160	-700	300
1100	Trương Lâm Tâm	-70	-220	-400	40	-200	-750
1101	Dương Ảnh Phong	-50	-350	-350	50	-300	-650
1102	Nguyệt My Nhi	-70	-190	-500	45	-200	-750
1103		-70	-220	-500	50	-180	-750
1106	Yên Nhược Tuyết	-70	-210	-500	50	-180	-750
1107	Lý Nguyên Bá	-70	-220	-400	50	-210	-750
1108		-70	-250	-350	50	-230	-750
1109	Dương Tái Hưng	-70	-190	-400	75	-200	-750
1110	Dương Hi Liệt	-20	-220	-400	75	-200	-750
1111	Thiên Mục	-70	-220	-400	75	-200	-750
1112	Ngu Cơ	-40	-220	-450	75	-200	-750
1113	Triệu Vân	-100	-280	-250	75	-200	-750
1114		-60	-220	-400	40	-200	-750
1116	Đạo Nhất Chân Nhân	-70	-210	-400	40	-200	-750
1117	Phương Miễn	-85	-265	-350	25	-250	-750
1118	Vô Tướng	-80	-230	-400	40	-220	-750
1119	Trương Phong	-100	-250	-400	20	-220	-700
1120	Lâm Hải	-70	-220	-500	40	-210	-750
1121	Lư Thanh	-70	-190	-500	40	-190	-750
1123	Hoạt động Vương Lão Cát	-70	-190	-500	40	-180	-800
1126		-100	-220	-500	75	-230	-720
1127		-90	-220	-500	75	-230	-720
1129	Yên Nhược Tuyết	-70	-190	-500	75	-230	-720
1182	Ong Quỷ	-120	-200	0	75	-160	-400
1154	Cô Gái Noel	-70	-220	-500	50	-190	-550
1160	Ông Già Noel	-120	-220	0	30	-180	-400
1178	Triệu Ân Đồng	-70	-190	-500	60	-210	-720
1179	Lâm Triều Hoa	-70	-190	-500	25	-210	-720
1241	Bá Đao Chưởng Môn	-130	-280	-380	0	-250	-600
1242	Bá Đao Đại Sư Huynh	-110	-280	-300	30	-240	-600
5016	Huyền Thiên Đạo Nhân	-100	-230	-400	40	-180	-750
5022	Hồ Thần Y	-60	-290	-300	25	-220	-700
5027	Nam Cung Phi	-70	-230	-500	30	-190	-800
5031	Hoàn Nhan Hồng Liệt	-70	-220	-450	10	-190	-650
5032	Độc Cô Kiếm	-70	-220	-450	40	-190	-720
5209	Lý Điềm Nhi	-70	-120	-450	50	-100	-770
577	Kim Sí Bằng Hoàng	-100	-30	-450	50	-100	-770
595	Phụng Hỉ	-70	0	-500	10	-40	-600
599	Hồng Nương	-70	-240	-400	50	-200	-720
600	Nguyệt Lão	-70	-240	-400	50	-200	-720
5039	Xích Tinh Hổ Hoàng	-70	-171	-197	55	-150	-345
5030	Bôn Diệm Báo Vương	-70	-240	-400	55	-70	-445
5044	Cuồng Tông Ngao Hoàng	-83	-128	-107	75	-60	-326
5042	Băng Lân Tích Hoàng	-112	-32	-209	62	4	-282
5043	Ngân Câu Hạt Hoàng	-110	-140	105	37	-18	-336
5034	Song Thủ Dị Thú	-90	-99	-120	75	-99	-408
5026	Cửu Vĩ Hồ Vương	-70	-56	-400	38	-69	-720
5037	Hám Thiên Hùng Hoàng	-122	-188	-58	60	-199	-700
5041	Tử Bối Ngạc Hoàng	-131	-40	230	54	55	-255
5040	Định Hải Kim Cang	-70	-240	-400	40	-156	-686
5036	Kim Sí Bằng Hoàng	-70	-240	-400	44	-183	-588
5038	Ngân Giác Tê Hoàng	-93	-96	-83	37	-49	-466
5035	Bạch Mi Hầu Vương	-70	-240	-400	44	-113	-720
5029	Đại Địa Lang Vương	-109	-73	-35	68	24	-476
5028	Hàn Ngọc Lộc Vương	-70	-82	-400	35	-83	-684
5125	Ân Phương	-70	-103	-400	75	-90	-720
5213	Hoàng Mộ Vân	-70	-103	-400	55	-30	-720
5177	Nạp Lan Chân	-70	-140	-400	40	-150	-700
5198	Tiểu Ảnh Phong	-70	-120	-400	40	-100	-700
