nTaskItemId	szMsg	nTime	nMapTemplateId	nX	nY	szAtlas	szImg
9	Thăm dò ...	0	484	1830	3140		
23	Tìm hàng hóa..	0	400	3510	11400		
35	Tìm Dương Ảnh Phong..	0	400	13800	4750		
37	Đến nhà tranh.	0	400	13600	3100		
39	Kiểm tra Cửa Gỗ Hỏng...	3	400	3700	8500		
40	Tìm Nạp Lan Chân..	0	400	5700	4500		
42	Tiếp tục Nạp Lan Chân..	0	400	4270	8130		
45	Tìm Sơn Động ...	0	499	5400	2250		
46	Tìm Sơn Động ...	0	499	5700	2080		
47	Tìm Sơn Cốc ...	0	485	1300	3100		
49	Tìm Nhà ...	0	481	2910	3300		
50	Đang đọc Mảnh Khăn...	1	481	2910	3300		
51	Tiếp tục do thám	0	481	1830	3330		
54	Tìm Dương Ảnh Phong	0	1000	2500	8400		
55	Tìm Nạp Lan Chân...	0	1000	4450	6050		
58	Ngưng xem...	0	401	9000	12000		
64	Tìm manh mối..	0	401	9260	8100		
66	Truy đuổi Dương Ảnh Phong...	0	401	12020	3100		
68	Do thám xung quanh.....	0	401	8080	3900		
74	Hãy nghỉ ngơi...	0	401	7050	7140		
76	Lửa bùng lên...	3	401	5300	4400		
77	Xem lén...	1	401	3900	5300		
81	Xem hoàn cảnh xung quanh.	0	402	7400	10000		
85	Tìm bán thuốc..	0	402	7900	3440		
88	Đang gõ cửa...	3	402	6400	4900		
98	Chuẩn bị đi về.	0	402	10400	7400		
99	Tìm Dương Ảnh Phong..	0	402	11900	5700		
105	Tìm tung tích..	0	483	7400	6530		
109	Hỏi Tử Hiên...	0	402	5410	3600		
113	Rời khỏi đây...	0	403	5750	3800		
114	Trở về tìm Tử Hiên	0	403	5000	4400		
115	Ẩn thân...	0	403	5000	4400		
117	Di chuyển tới...	0	403	7700	5300		
118	Tháo bẫy bắt thú...	3	403	8200	5180		
121	Dẫn Tường Vi về nhà..	0	403	3200	8200		
122	Dẫn Tường Vi tìm đường..	0	403	6700	8450		
123	Thăm Mạnh Tri Thu..	0	403	9000	7900		
125	Đợi Dương huynh trở về...	5	403	6100	7900		
127	Về Bi Ma Sơn Trang..	0	403	6300	9650		
129	Tìm manh mối..	0	403	9210	10430		
130	Đến Phi Long Bảo..	0	494	2650	3500		
132	Tranh luận cùng Lư Triệu Hạo...	0	494	6480	6960		
133	Hỏi Nguyệt My Nhi...	0	494	6200	6900		
140	Đợi Tường Vi xuất hiện ...	3	403	10600	7760		
141	Hỏi Nạp Lan Chân...	0	1000	6420	6700		
142	Đợi Nạp Lan Chân	0	1000	2500	6250		
144	Đến Cửa Cấm Địa..	0	1000	5530	5360		
148	Chuẩn bị về Vong Ưu Đảo.	0	403	13270	4000		
149	Hỏi Tử Hiên...	0	403	13350	3950		
152	Xem tung tích.	1	495	3270	3660		
157	Rời cấm địa...	0	495	6400	6500		
161	Tìm Trích Tinh Lâu...	0	496	5150	9200		
163	Sâu trong Trích Tinh Lâu...	0	496	8900	8900		
166	Đưa Tử Hiên về...	0	496	1700	3700		
172	Về Tàng Kiếm Sơn Trang...	0	403	9200	7950		
174	Dẫn Tường Vi đi..	0	403	6050	7550		
175	Về Bi Ma Sơn Trang	0	498	6500	3070		
177	Đợi Nạp Lan Chân...	0	498	6820	3180		
178	Đi Đón 2 Con..	0	401	9400	7750		
179	Về Bi Ma Sơn Trang	0	498	3310	3020		
184	Nơi xảy ra...	0	404	2100	7000		
188	Tìm được đường..	0	404	13200	7400		
190	Xem Cửa Động.	0	404	14300	4000		
194	Tới nhà thợ mộc.	0	404	7000	8800		
197	Thăm dò một chuyến.	0	404	3700	11050		
199	Rời khỏi đây...	0	404	8550	12000		
201	Tìm lại Bảo Ngọc...	0	404	10850	9650		
213	Đến nhà Nam Cung.	0	405	13400	12450		
215	Đang đào...	3	405	14900	11100		
220	Tìm Giả Bộc Trực..	0	405	6300	12700		
229	Xin hãy đợi	3	480	6540	6540		
230	Thăm dò ...	0	480	6610	6560		
234	Đến Võ Di Kiếm Phái..	0	488	3300	8500		
238	Phụng Vũ Cửu Thiên..	2	489	3000	7050		
244	Tới Trương Phủ xem thử.	0	490	5473	4882		
247	Tìm Thôn Dân..	0	406	7250	6800		
251	Giúp Trương Lâm tìm đồ..	0	489	2420	1730		
253	Tìm đồ....	0	489	6620	3300		
254	Xem vết kiếm.	0	489	6850	2910		
268	Tìm Tiều Phu..	0	406	7620	13600		
271	Tiếp tục đi..	0	493	5250	5870		
255	Tìm Củi Khô..	3	493	6500	6650		
256	Lửa bùng lên...	3	493	5920	6520		
278	Tìm Trái Cây..	0	493	6200	3950		
261	Đang nướng thịt...	3	493	5910	6380		
