nFlowType	szQuestion	nAnswerIdx	szAnswer1	szAnswer2	szAnswer3	szAnswer4
1	1) Quan hệ của Lâm Dũ Cựu và Vô Danh là?	3	Quan hệ chủ tớ	Cùng cha khác mẹ	Sư huynh đệ	Sư Đồ
1	2) Tại sao Chưởng Môn phải lưu giữ Lâm Dũ Cựu?	2	Tìm con rể	Giữ lại làm trợ thủ	Muốn nhận làm đồ đệ	Cảm thấy hắn giống con trai mình
1	3) Mục đích Lâm Dũ Cựu lên Hoa Sơn là?	4	Báo thù	Báo ơn	Tìm tình duyên	Tất cả đều đúng
2	1) Tiểu ca ca trong hồi ức của Độc Cô Tuyết là ai?	3	Lâm Dũ Cựu mai danh ẩn tính	Vô Danh trước khi hắc hóa	Tất cả đều đúng	
2	2) Quan hệ của Độc Cô Tuyết và Độc Cô Chưởng Môn là?	2	Sư Đồ 	Cha con	Kẻ thù hại cha	Mẫu Tử
2	3) Ai biết tầng 3 Phù Đồ Kiếm Pháp	4	Vô Danh	Độc Cô Chưởng Môn	Lâm Dũ Cựu	Tất cả đều đúng
3	1) Tại sao Vô Danh phải diệt sư phụ?	2	Trả thù Sư Phụ đối xử tệ nhiều năm	Sư phụ dàn dựng	Tiểu Tỷ Tỷ sai khiến	Vô Danh bẩm sinh tàn ác
3	2) Tại sao Vô Danh phải hủy dung mạo?	3	Quá giống Lý Tông Hựu	Quá khôi ngô không giống sát thủ	Giấu Kẻ Thù	Có khuynh hướng tự tàn
3	3) Vô Danh và Lý Tông Hựu có quan hệ gì?	3	Sư Đồ 	Cha con	Kẻ Thù	Mạnh Thường Quân
4	1) Cha ruột của Độc Cô Tuyết là ai?	2	Độc Cô Ảnh  	Lý Tông Hựu 	Độc Cô Tuyệt (Lão Trưởng Môn)	Vô Danh
4	2) Độc Cô gia ai còn sống?	4	Độc Cô Ảnh và Độc Cô Tuyết	Độc Cô Tuyết và Độc Cô Tuyệt	Độc Cô Tuyết	Không ai
4	3) Vô Danh là truyền nhân của ai?	1	Độc Cô Tuyệt	Độc Cô Ảnh	Lý Tông Hựu	Lâm Dũ Cựu
