nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_ExtInfo	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
9001	JYFL1_1	Tìm Ngọn Nguồn	Có lời đồn rằng ngày trước khi quân Kim tấn công Lâm An Thành, khi cổng thành sắp thất thủ, có một vị Kiếm Tiên xuất hiện diệt địch, lời đồn ngày càng kỳ ảo, nhất định phải tìm ra ngọn nguồn.	Thăm dò lời đồn của [FFFE0D]Cư Dân[-] Lâm An	Thăm dò lời đồn của [FFFE0D]Cư Dân[-] Lâm An	"[url=taskitem:test, $T]"	"[url=taskitem:test, $T]"				9002				1	1	9001			BasicExp|10			9	1	"[url=dialog:test, 9001]"												
9002	JYFL1_2	Tìm Ngọn Nguồn	Lời của bách tính cũng khó tin, đi hỏi thăm Thủ Quân cổng thành tốt hơn!	Nghe những gì [FFFE0D]Thủ Quân[-] Lâm An chứng kiến	Nghe những gì [FFFE0D]Thủ Quân[-] Lâm An chứng kiến	"[url=taskitem:test, $T]"	"[url=taskitem:test, $T]"			9001	9003				1	1	9002			BasicExp|10			9	1	"[url=dialog:test, 9002]"												
9003	JYFL1_3	Tìm Ngọn Nguồn	Theo lời Thủ Quân, người này có lẽ là cao thủ võ lâm, đi hỏi thăm nhân sĩ võ lâm xem sao.	Nghe nhận định của [FFFE0D]Đại Hiệp[-] Lâm An	Nghe nhận định của [FFFE0D]Đại Hiệp[-] Lâm An	"[url=taskitem:test, $T]"	"[url=taskitem:test, $T]"			9002	9004				1	1	9003			BasicExp|10			9	1	"[url=dialog:test, 9003]"												
9004	JYFL1_4	Tìm Ngọn Nguồn	Không ngờ họ cũng không biết cao nhân đó thuộc môn phái nào, hay là đi thỉnh giáo Huyền Thiên Đạo Nhân, ông ấy ắt sẽ có cao kiến!	Tìm [FFFE0D]Huyền Thiên Đạo Nhân[-] thỉnh giáo	Tìm [FFFE0D]Huyền Thiên Đạo Nhân[-] thỉnh giáo	"[url=npc:testtt,$F,15]"	"[url=npc:testtt,$F,15]"			9003	9005	9004	626							BasicExp|10			9	1													
9005	JYFL1_5	Tìm Ngọn Nguồn	Một trận đại nạn... Bà Chủ Công Tôn Tích Hoa được mệnh danh là Giang Hồ Bách Hiểu Sinh, nhất định có manh mối.	Tìm [FFFE0D]Công Tôn Tích Hoa[-] hỏi manh mối	Tìm [FFFE0D]Công Tôn Tích Hoa[-] hỏi manh mối	"[url=npc:testtt,$F,15]"	"[url=npc:testtt,$F,15]"			9004	9006	9005	99							BasicExp|10			9	1													
9006	JYFL1_6	Tìm Ngọn Nguồn	Bà Chủ này còn thừa nước đục thả câu nữa, thôi kệ, ai bảo mình có chuyện nhờ vả!	Trừng phạt [FFFE0D]Lưu Manh[-]	Trừng phạt [FFFE0D]Lưu Manh[-]	"[url=goanddosomething:test, 404, 12669, 4830, autofight, 1]"				9005	9007				1					BasicExp|10	1013|5	1	9	1	"[url=dialog:test, 9006]"												
9007	JYFL1_7	Tìm Ngọn Nguồn	Giúp Bà Chủ dạy dỗ xong Lưu Manh, nhất định bà ấy sẽ kể chuyện năm xưa đó!	Quay lại tìm [FFFE0D]Công Tôn Tích Hoa[-]	Quay lại tìm [FFFE0D]Công Tôn Tích Hoa[-]	"[url=npc:testtt,$F,15]"	"[url=npc:testtt,$F,15]"			9006	9008	9007	99							BasicExp|10			9	1													
9008	JYFL2_1	Chuyện Cũ Hoa Sơn	Vong Ưu Tửu Quán? Tìm Người Bí Ẩn này xem sao, lỡ không có thu hoạch thì cứ say một phen cũng được!	Đến Vong Ưu Tửu Quán ở ngoài thành	Đến Vong Ưu Tửu Quán ở ngoài thành	"[url=goanddosomething:test, 15, 8500, 18000, pos, 4100, 2257, 17919]"				9007	9009				1					BasicExp|10			9	1	"[url=dialog:test, 9008]"				4100								
9009	JYFL2_2	Chuyện Cũ Hoa Sơn	Vị tiền bối này tóc bạc mặt hồng hào, cử chỉ trang nghiêm, không phải người thường, khi hỏi phải cung kính mới được.	Trò chuyện với [FFFE0D]Người Bí Ẩn[-]	Trò chuyện với [FFFE0D]Người Bí Ẩn[-]	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9008	9010	9009	3197							BasicExp|10			9	1													
9010	JYFL2_3	Chuyện Cũ Hoa Sơn	Đến chỗ chủ quán mua rượu thôi, lỡ ông ấy thật sự biết chuyện gì có giá trị thì sao!	Đi mua rượu	Đi mua rượu	"[url=npc:testtt,$F,4100]"	"[url=npc:testtt,$F,4100]"			9009	9011	9010	3198							BasicExp|10			9	1													
