nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szDoNextFunc	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	nTaskItemId	szOnFinishTrack	Target_EnterMap	Target_CollectItem	nAcceptTaskNpcId	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide	DeleteClientNpc	ShowClientNpc	Target_OnTrap	nPartnerCardExp
80001	PartnerGuestTask_1	[Môn] Tỷ Võ Đại Hội	Gặp [FFFE0D]Võ Tăng[-] hỏi tình hình Tỉ Võ	Gặp [FFFE0D]Võ Tăng[-] hỏi tình hình Tỉ Võ	Gặp [FFFE0D]Võ Tăng[-] hỏi tình hình Tỉ Võ	[url=npc:text,1829,15]		[url=npc:text,1829,15]			80001	1829						1			8												1						10
80002	PartnerGuestTask_2	[Môn] Tìm Hiểu Kho	Gặp [FFFE0D]Vạn Kim Tài[-] hỏi thăm tình hình	Gặp [FFFE0D]Vạn Kim Tài[-] hỏi thăm tình hình	Gặp [FFFE0D]Vạn Kim Tài[-] hỏi thăm tình hình	[url=npc:text,190,15]		[url=npc:text,190,15]			80002	190						1			8												1						10
80003	PartnerGuestTask_3	[Môn] Thăm Hỏi Hồng Nương	Gặp [FFFE0D]Hồng Nương[-] hỏi thăm tình hình	Gặp [FFFE0D]Hồng Nương[-] hỏi thăm tình hình	Gặp [FFFE0D]Hồng Nương[-] hỏi thăm tình hình	[url=npc:text,2372,15]		[url=npc:text,2372,15]			80003	2372						1			8												1						10
80004	PartnerGuestTask_4	[Môn] Thăm Hỏi Phụng Hỉ	Gặp [FFFE0D]Phụng Hỉ[-] hỏi thăm tình hình	Gặp [FFFE0D]Phụng Hỉ[-] hỏi thăm tình hình	Gặp [FFFE0D]Phụng Hỉ[-] hỏi thăm tình hình	[url=npc:text,2373,15]		[url=npc:text,2373,15]			80004	2373						1			8												1						10
80006	PartnerGuestTask_6	[Môn] Thăm Hỏi Tiểu Tử Yên	Gặp [FFFE0D]Tiểu Tử Yên[-] hỏi thăm tình hình	Gặp [FFFE0D]Tiểu Tử Yên[-] hỏi thăm tình hình	Gặp [FFFE0D]Tiểu Tử Yên[-] hỏi thăm tình hình	[url=npc:text,95,15]		[url=npc:text,95,15]			80006	95						1			8												1						10
80007	PartnerGuestTask_7	[Môn] Thăm Hỏi Đĩnh Ca	Gặp [FFFE0D]Đĩnh Ca[-] hỏi thăm tình hình	Gặp [FFFE0D]Đĩnh Ca[-] hỏi thăm tình hình	Gặp [FFFE0D]Đĩnh Ca[-] hỏi thăm tình hình	[url=npc:text,1666,15]		[url=npc:text,1666,15]			80007	1666						1			8												1						10
80008	PartnerGuestTask_8	[Môn] Vong Ưu Nhai	Đến [FFFE0D]Vong Ưu Nhai[-]	Đến [FFFE0D]Vong Ưu Nhai[-]	Đến [FFFE0D]Vong Ưu Nhai[-]	[url=taskitem:test, $T]												1	1		8				80008								1						10
80009	PartnerGuestTask_9	[Môn] Vong Ưu Phiệt	Đến [FFFE0D]Vong Ưu Phiệt[-] 	Đến [FFFE0D]Vong Ưu Phiệt[-] 	Đến [FFFE0D]Vong Ưu Phiệt[-] 	[url=taskitem:test, $T]												1	1		8				80009								1						10
80010	PartnerGuestTask_10	[Môn] Võ Di Đỉnh	Đến [FFFE0D]Võ Di Đỉnh[-]	Đến [FFFE0D]Võ Di Đỉnh[-]	Đến [FFFE0D]Võ Di Đỉnh[-]	[url=taskitem:test, $T]												1	1		8				80010								1						10
80011	PartnerGuestTask_11	[Môn] Nhạn Đãng Phong Lâm	Đến [FFFE0D]Nhạn Đãng Phong Lâm[-]	Đến [FFFE0D]Nhạn Đãng Phong Lâm[-]	Đến [FFFE0D]Nhạn Đãng Phong Lâm[-]	[url=taskitem:test, $T]												1	1		8				80011								1						10
80012	PartnerGuestTask_12	[Môn] Nhạn Đãng Phi Bộc	Đến [FFFE0D]Nhạn Đãng Phi Bộc[-]	Đến [FFFE0D]Nhạn Đãng Phi Bộc[-]	Đến [FFFE0D]Nhạn Đãng Phi Bộc[-]	[url=taskitem:test, $T]												1	1		8				80012								1						10
