nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	nTaskItemId	szOnFinishTrack	Target_EnterMap	Target_CollectItem	nAcceptTaskNpcId	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide	DeleteClientNpc	ShowClientNpc	Target_OnTrap
3001	PedagogicalTask1_2	[P] Giám Định	Trang bị đều bắt đầu ở [FFFE0D]trạng thái chưa giám định[-], cần [FFFE0D]tốn Bạc[-] để giám định mới có thể dùng! Có thể trang bị sau sẽ là trang bị cực phẩm!	Giám định 1 [FFFE0D]trang bị[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, ItemBox]	[url=npc:testtt,$F,15]		3002						1		1		Exp|10000	2			JianDing														
3002	PedagogicalTask1_3	[P] Tẩy Luyện	Tẩy luyện có thể [FFFE0D]chuyển thuộc tính[-] của [FFFE0D]trang bị cùng vị trí[-] đến [FFFE0D]trang bị đang mặc[-], tăng sức mạnh trang bị!	Tẩy luyện một [FFFE0D]thuộc tính[-] trang bị	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, ItemBox]	[url=npc:testtt,$F,15]	3001		3002	626		EquipRefinement_1|1		1				Exp|10000;Gold|50	2	1	1															
3004	PedagogicalTask1_4	[P] Bang Hội	Giang hồ nhiều sóng gió, nếu đại hiệp không có Bang Hội thì khó lòng mà hành tẩu giang hồ. Nếu [FFFE0D]không định lập Bang Hội[-] hoặc [FFFE0D]không có Bang Hội mình thích[-], thì có thể thử [FFFE0D]xin phép nhanh[-] xem sao nhé!	[FFFE0D]Gia nhập hoặc tạo[-] Bang Hội	[FFFE0D]Gia nhập hoặc tạo[-] Bang Hội	[url=openwnd:test, KinJoinPanel, 1]	[url=npc:testtt,$F,15]		3005				Family_1|1		1		1		Exp|20000	2																	
3005	PedagogicalTask1_5	[P] Cống Hiến Bang Hội	Trong Bang Hội, [FFFE0D]cống hiến[-] cũng rất quan trọng, [FFFE0D]cống hiến[-] có thể dùng mua vật tư cần thiết tại [FFFE0D]Thiên Công Phường, Binh Giáp Phường[-] của Bang Hội, đóng góp là một trong các cách nhận cống hiến có lợi nhất! Mau đi góp thử xem!	Mở [FFFE0D]Kim Khố[-] tiến hành 1 lần [FFFE0D]góp[-]	Mở [FFFE0D]Kim Khố[-] tiến hành 1 lần [FFFE0D]góp[-]	[url=openwnd:test, KinVaultPanel, "FamilyBuilding", 1]	[url=npc:testtt,$F,15]	3004	3006				FamilyContribute_1|1		1		1		Exp|10000	2																	
3006	PedagogicalTask1_6	[P] Hộp Quà Bang Hội	Tham gia [FFFE0D]hoạt động Bang Hội[-] và tiến hành [FFFE0D]cống hiến Bang Hội[-] có thể nhận [FFFE0D]cống hiến[-], mỗi ngày có vài lần cơ hội ở [FFFE0D]Kim Khố[-] mua [FFFE0D]Hộp Quà Bang Hội[-], phần thưởng phong phú!	Mở [FFFE0D]Kim Khố[-] đổi 1 [FFFE0D]hộp quà[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, KinVaultPanel, "FamilyBuilding", 1]	[url=npc:testtt,$F,15]	3005		3006	627		Family_3|1		1				Exp|10000;Item|212|10	2	1	1															
3007	PedagogicalTask1_7	[P] Lửa Trại Bang Hội	[FFFE0D]19:15[-] mỗi ngày sẽ mở Lửa Trại ở Bang Hội! Chỉ cần thành viên Bang Hội đến tham gia sẽ nhận [FFFE0D]EXP[-]! Trong thời gian Lửa Trại sẽ có [FFFE0D]Vấn Đáp thú vị[-], có thể nhận nhiều phần thưởng!	Tham gia 1 lần [FFFE0D]Lửa Trại Bang Hội[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 18]	[url=npc:testtt,$F,15]			3007	627		Family_5|1		1				Exp|80000;Gold|50	2	1	1															
3008	PedagogicalTask1_8	[P] Tìm Hiểu Cường Hóa	Đại hiệp muốn vang danh thiên hạ thì tăng thuộc tính trang bị là rất quan trọng! Có thể dùng [FFFE0D]Thủy Tinh và Bạc[-] để tăng sức mạnh của trang bị!	Tìm [FFFE0D]$NF[-] tìm hiểu cường hóa	Tìm [FFFE0D]$NF[-] tìm hiểu cường hóa	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]		3009	3008	626				1				Item|212|1	2	1																
3009	PedagogicalTask1_9	[P] Cường Hóa	Đại hiệp muốn vang danh thiên hạ thì tăng thuộc tính trang bị là rất quan trọng! Có thể dùng [FFFE0D]Thủy Tinh và Bạc[-] để tăng sức mạnh của trang bị!	Cường hóa 1 lần [FFFE0D]trang bị[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, StrengthenPanel, "Strengthen"]	[url=npc:testtt,$F,15]	3008		3009	626		EnhanceOnce_1|1		1				Exp|40000;Item|212|10	2	1	1															
3010	PedagogicalTask1_10	[P] Sơn Tặc Mật Quật	Diệt [FFFE0D]sơn tặc[-] duy trì trật tự võ lâm là hoạt động vừa đơn giản vừa nhẹ nhàng, đừng bỏ qua nhé!	Tham gia 1 lần [FFFE0D]Sơn Tặc Mật Quật[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CalendarPanel, 1, 21]	[url=npc:testtt,$F,15]			3010	97				1				Exp|40000;Contrib|500	2	1	1	ShanZeiMiKu														
3011	PedagogicalTask1_11	[P] Kỳ Trân Các	Kỳ Trân Các là nơi tập hợp báu vật thiên hạ, đồ trong đó có thể mua bằng Nguyên Bảo, mau đi xem thử nào!	Đến Kỳ Trân Các mua [FFFE0D]vật phẩm bất kỳ[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, CommonShop, Treasure, 1, 1242]	[url=npc:testtt,$F,15]			3011	632				1				Exp|40000;Gold|50	2	1	1	ShangCheng														
3012	PedagogicalTask1_12	[P] Bí Cảnh Tổ Đội	Cùng các đại hiệp đồng đạo trong võ lâm [FFFE0D]tổ đội[-], cùng khiêu chiến kẻ địch mạnh, có cơ hội nhận được [FFFE0D]phần thưởng phong phú[-].	Tham gia 1 lần [FFFE0D]Bí Cảnh Tổ Đội[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, TeamFubenPanel]	[url=npc:testtt,$F,15]			3012	629		TeamFuben_1|1		1				Exp|40000;Coin|5000	2	1	1															
3013	PedagogicalTask1_13	[P] Võ Thần Điện	[FFFE0D]Dẫn 4 đồng hành[-] chiến đấu, khiêu chiến đại hiệp trên bảng để tăng hạng, [FFFE0D]hạng[-] càng cao thưởng càng nhiều	Tiến hành 1 lần [FFFE0D]khiêu chiến[-] Võ Thần Điện	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, RankPanel, 1, 9]	[url=npc:testtt,$F,15]			3013	633		RankBattle_1|1		1				Exp|40000;Item|212|10	2	1	1															
3014	PedagogicalTask1_14	[P] Chiêu Mộ-Nguyên Bảo	Muốn bái kiến các hiệp khách cần phải tốn nhiều của cải, dùng Nguyên Bảo để chiêu mộ các võ lâm cao thủ ẩn thân xuống núi giúp ngươi chinh chiến giang hồ!	Tiến hành 1 lần [FFFE0D]Chiêu Mộ-Nguyên Bảo[-]	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, Partner, "CardPickingPanel"]	[url=npc:testtt,$F,15]		3015						1		1		Exp|20000;Item|1969|1	2			YuanBaoZhaoMu														
3015	PedagogicalTask1_15	[P] Tăng Tư Chất	Có thể dùng đơn dược để tăng tư chất đồng hành, tăng các thuộc tính cơ bản, đồng thời bổ sung các thuộc tính cơ bản trước khi dùng đơn dược.	Tăng [FFFE0D]tư chất[-] đồng hành	Báo cáo cho [FFFE0D]$NF[-]	[url=openwnd:test, Partner]	[url=npc:testtt,$F,15]	3014		3015	622				1				Exp|20000;Item|1968|1	2	1	1	TiShengZiZhi														
