nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_ExtInfo	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
2000	WLDS1_1	Mùa Thu Lâm An	Quân Kim di chuyển xuống phía nam, tình thế nguy cấp, Tương Dương đã có nhiều binh sĩ tuần tra, mau tìm bà chủ Công Tôn thám thính tình hình bên ngoài!	Tìm [FFFE0D]$NF[-] hỏi tình hình	Tìm [FFFE0D]$NF[-] hỏi tình hình	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]				2001	1999	99							BasicExp|10			5	1													
2001	WLDS1_2	Mùa Thu Lâm An	Bà chủ trông có vẻ lo lắng, xem ra tình thế không ổn, vào thành xem thử!	Quan sát phản ứng [FFFE0D]cư dân[-] Lâm An	Quan sát phản ứng [FFFE0D]cư dân[-] Lâm An	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2000	2002				1	1	2001			BasicExp|10			5	1	[url=dialog:test, 2001]												
2002	WLDS1_3	Mùa Thu Lâm An	Cư dân dường như đã mất lòng tin vào Đại Tống, xem thử phản ứng của quân Đại Tống.	Quan sát phản ứng [FFFE0D]vệ binh [-]Lâm An	Quan sát phản ứng [FFFE0D]vệ binh [-]Lâm An	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2001	2003				1	1	2002			BasicExp|10			5	1	[url=dialog:test, 2002]												
2003	WLDS1_4	Mùa Thu Lâm An	Đại Tống Sĩ Binh đều mất lòng tin, chẳng lẽ nhiều người gia nhập Long Đằng Doanh đến thế, xem thử thái độ của các nhân sĩ võ lâm.	Quan sát phản ứng [FFFE0D]đại hiệp[-] Lâm An	Quan sát phản ứng [FFFE0D]đại hiệp[-] Lâm An	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2002	2004				1	1	2003			BasicExp|10			5	1	[url=dialog:test, 2003]												
2004	WLDS1_5	Mùa Thu Lâm An	Võ Lâm Minh đã là thế lực mạnh nhất, các đồng đạo vẫn không có hy vọng, không lẽ quân Kim mạnh như thế? Quay về hỏi ý bà chủ đa mưu.	Về tìm [FFFE0D]$NF[-]	Về tìm [FFFE0D]$NF[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			2003	2005	2004	99							BasicExp|10			5	1													
2005	WLDS1_6	Mùa Thu Lâm An	Bà chủ bảo ta đi tìm một người, nghe giọng điệu có vẻ rất tin tưởng, chắc sẽ có thể thay đổi tình thế!	Rời Lâm An lên đường	Rời Lâm An lên đường	[url=goanddosomething:test, 15, 8500, 18000, pos, 472, 2500, 5900]				2004	2006				1					BasicExp|10			5	1					472								
2006	WLDS1_7	Mùa Thu Lâm An	Nơi người này ở lại có binh sĩ tuần tra, xem ra là một doanh địa, đến hỏi thử nơi này là nơi nào!	Hỏi xem đây là đâu	Hỏi xem đây là đâu	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2005	2007				1	1	2006			BasicExp|10			5	1	[url=dialog:test, 2006]												
2007	WLDS1_8	Mùa Thu Lâm An	Đám quân sĩ vô lễ dám bắt nạt một thiếu nữ, ta phải cho chúng một bài học!	Dạy dỗ bọn sĩ binh hung hăng	Dạy dỗ bọn sĩ binh hung hăng	[url=npcanddosomething:test, 2751, 472, autofight, 1]				2006	2008				1					BasicExp|10	2751|5	1	5	1	[url=dialog:test, 2007]												
2008	WLDS1_9	Mùa Thu Lâm An	Thiếu nữ có nội lực phi thường, trong tay lại có đàn, e là đệ tử Thiên Sơn, đến xem thử cô ấy có bị thương không.	Hỏi thăm tình hình [FFFE0D]Sương Nhi[-]	Hỏi thăm tình hình [FFFE0D]Sương Nhi[-]	[url=npc:testtt,$F,472]	[url=npc:testtt,$F,472]			2007	2009	2008	2748							BasicExp|30			5	1													
2009	WLDS1_10	Mùa Thu Lâm An	Đột nhiên có người chạy đến, Sương Nhi cô nương võ công phi phàm, dáng điệu vững chắc, quả nhiên không tầm thường!	Hỏi xem người đến là ai	Hỏi xem người đến là ai	[url=npc:testtt,$F,472]	[url=npc:testtt,$F,472]			2008	2010	2009	2746							BasicExp|10;Coin|2000			5	1													
2010	WLDS1_11	Mùa Thu Lâm An	Người chính là Long Ngũ tiên sinh nổi tiếng! Người hiểu rõ mưu lược trận pháp, võ công cũng rất cao cường! Long Đằng Doanh hợp tác với Võ Lâm Minh chắc chắn sẽ tăng sĩ khí! Tình hình nguy cấp, về tìm thêm trợ giúp!	Rời Long Đằng Doanh về Lâm An Thành	Rời Long Đằng Doanh về Lâm An Thành	[url=npc:testtt,626,15]	[url=npc:testtt,626,15]			2009	2011				1					BasicExp|10			5	1					15								
2011	WLDS1_12	Mùa Thu Lâm An	Trong giang hồ, nếu nhắc đến người có võ công cao nhất thì không ai bằng Huyền Thiên Đạo Trưởng, nhất định phải tìm người giúp đỡ!	Nhờ [FFFE0D]Huyền Thiên Đạo Nhân[-] giúp đỡ	Nhờ [FFFE0D]Huyền Thiên Đạo Nhân[-] giúp đỡ	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			2010	2012	2011	626							BasicExp|10			5	1													
2012	WLDS1_13	Mùa Thu Lâm An	Huyền Thiên Đạo Trưởng hứa sẽ giúp đỡ dân Đại Tống, nhưng không nhúng ta vào phân tranh hai nước. Ta chỉ có thể bảo vệ tộc của mình. Tiếp theo đến gặp Mạnh tiền bối nào.	Nhờ [FFFE0D]Mạnh Tri Thu[-] giúp đỡ	Nhờ [FFFE0D]Mạnh Tri Thu[-] giúp đỡ	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			2011	2013	2012	100							BasicExp|10			5	1													
2013	WLDS1_14	Mùa Thu Lâm An	Mạnh tiền bối từng là Minh Chủ Võ Lâm, nếu được giúp đỡ sẽ có nhiều đồng đạo gia nhập hơn, hãy đến gặp Thiên Tinh Đạo Trưởng!	Tìm [FFFE0D]Thiên Tinh Đạo Trưởng[-]	Đến Võ Đang tìm [FFFE0D]Thiên Tinh Đạo Trưởng[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			2012	2014				1	1	148			BasicExp|10			5	1	[url=dialog:test, 2013]												
2014	WLDS1_15	Mùa Thu Lâm An	Thiên Tinh Đạo Trưởng là danh túc Võ Đang, nếu được người giúp đỡ, con đường phía sau chắc sẽ không dễ đi.	Có mai phục! Dạy dỗ đám lưu manh này!	Có mai phục! Dạy dỗ đám lưu manh này!	[url=npcanddosomething:test, 1011, 403, autofight, 1]				2013	2015				1					BasicExp|10	1011|5	1	5	1	[url=dialog:test, 2014]												
2015	WLDS1_16	Mùa Thu Lâm An	Quả nhiên bị mai phục, Thiên Tinh Đạo Trưởng chắc sẽ gặp nguy hiểm, mau đi tìm ông ấy!	Hỏi thăm tình hình [FFFE0D]Thiên Tinh Đạo Trưởng[-]	Hỏi thăm tình hình [FFFE0D]Thiên Tinh Đạo Trưởng[-]	[url=clientnpcbyidx:test, 101]	[url=clientnpcbyidx:test, 101]	101	101	2014	2016	2015								BasicExp|10			5	1													
2016	WLDS1_17	Mùa Thu Lâm An	Thiên Tinh Đạo Trưởng nội công thâm hậu, nếu được họ giúp đỡ, Võ Lâm Minh và Long Đằng Doanh sẽ tăng nhiều thực lực! Dương Ảnh Phong bị trọng thương, không tiện quấy rầy, hãy tìm Nam Cung Thiếu Hiệp bàn bạc!	Nhờ [FFFE0D]Nam Cung Phi[-] giúp đỡ	Nhờ [FFFE0D]Nam Cung Phi[-] giúp đỡ	[url=taskitem:test, $T]	[url=taskitem:test, $T]	102	102	2015	2017				1	1	2016			BasicExp|10;Coin|2000			5	1	[url=dialog:test, 2016]												
2017	WLDS1_18	Mùa Thu Lâm An	Không ngờ Nam Cung Thiếu Hiệp lại tự tìm đến Hoàn Nhan Hồng Liệt, phải mau báo tin này với Long Ngũ Tiên Sinh.	Về Long Đằng Doanh báo cáo [FFFE0D]Long Ngũ[-]	Về Long Đằng Doanh báo cáo [FFFE0D]Long Ngũ[-]	[url=npc:testtt,$F,472]	[url=npc:testtt,$F,472]			2016	2018	2017	2746							BasicExp|10			5	1													
2018	WLDS1_19	Mùa Thu Lâm An	Long Ngũ Tiên Sinh ra lệnh vừa tập hợp đồng đạo, vừa cử người tiếp ứng, Sương Nhi cô nương giỏi khinh công, mời cô ấy đi chung chứ?	Hỏi [FFFE0D]Sương Nhi[-] có muốn cùng đi không	Hỏi [FFFE0D]Sương Nhi[-] có muốn cùng đi không	[url=npc:testtt,$F,472]	[url=npc:testtt,$F,472]			2017	2019	2018	2748							BasicExp|10			5	1													
2019	WLDS1_20	Mùa Thu Lâm An	Sương Nhi cô nương còn nhỏ, tính cách thẳng thắn, chuyến này rất nguy hiểm, ta phải chăm sóc cô ấy!	Đến [FFFE0D]Bạch Thủy Tự[-]	Đến [FFFE0D]Bạch Thủy Tự[-]	[url=pos:test, 473, 1700, 11000]	[url=pos:test, 473, 1700, 11000]			2018	2020				1					BasicExp|10			5	1	[url=dialog:test, 2019]				473								
