nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
2500	WLDS_Cycle_1	Thủ Tương Dương	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Đến Lâm An gặp [FFFE0D]Long Ngũ[-]	Đến Lâm An gặp [FFFE0D]Long Ngũ[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			2034		2500	2752						2	BasicExp|10			5	1												
2501	WLDS_Cycle_2	Mùa Thu Lâm An	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Báo cáo kết quả cho [FFFE0D]Long Ngũ[-]	Báo cáo kết quả cho [FFFE0D]Long Ngũ[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			2500		2501	2752							BasicExp|10			7	1												1
2502	WLDS_Cycle_3	Mùa Thu Lâm An	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Báo cáo kết quả cho [FFFE0D]Long Ngũ[-]	Báo cáo kết quả cho [FFFE0D]Long Ngũ[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			2500		2502	2752							BasicExp|10			7	1												1
2503	WLDS_Cycle_4	Thủ Tương Dương	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Hôm nay đã kiệt sức, mai hãy tiếp tục	Hôm nay đã kiệt sức, mai hãy tiếp tục					2500													7	1					8							1
2504	WLDS_Cycle_5	Thủ Tương Dương	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Hỏi [FFFE0D]Long Ngũ[-] kế hoạch sau này	Hỏi [FFFE0D]Long Ngũ[-] kế hoạch sau này	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			2500		2504	2752						1	BasicExp|10;Item|7324|1			7	1												
2600	WLDS_Cycle_1_1	Thủ Tương Dương	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Lấy trộm [FFFE0D]vật tư[-] của quân Kim	Lấy trộm [FFFE0D]vật tư[-] của quân Kim	[url=npc:testtt,2802, 6101]	[url=npc:testtt,2802, 6101]			2500					1	1				BasicExp|10;ZhenQi|300			7	1												1
2601	WLDS_Cycle_1_2	Thủ Tương Dương	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Thu thập [FFFE0D]Thảo Dược[-] trị thương	Thu thập [FFFE0D]Thảo Dược[-] trị thương	[url=npc:testtt,2808, 6101]	[url=npc:testtt,2808, 6101]			2500					1	1				BasicExp|10;ZhenQi|300			7	1												1
2602	WLDS_Cycle_1_3	Thủ Tương Dương	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Thu thập [FFFE0D]Quả Mọng[-] giúp no bụng.	Thu thập [FFFE0D]Quả Mọng[-] giúp no bụng.	[url=npc:testtt,2809, 6101]	[url=npc:testtt,2809, 6101]			2500					1	1				BasicExp|10;ZhenQi|300			7	1												1
2603	WLDS_Cycle_1_4	Thủ Tương Dương	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Đi tìm [FFFE0D]Hỏa Hoa Quả[-]	Đi tìm [FFFE0D]Hỏa Hoa Quả[-]	[url=npc:testtt,2810, 6101]	[url=npc:testtt,2810, 6101]			2500					1	1				BasicExp|10;ZhenQi|300			7	1												1
2604	WLDS_Cycle_1_5	Thủ Tương Dương	Tương Dương đang đối diện với hiểm nguy, ta phải nghĩ cách góp sức bảo vệ Tương Dương!	Sửa vũ khí trên [FFFE0D]Kệ Binh Khí[-]	Sửa vũ khí trên [FFFE0D]Kệ Binh Khí[-]	[url=npc:testtt,2814, 6101]	[url=npc:testtt,2814, 6101]			2500					1	1				BasicExp|10;ZhenQi|300			7	1												1
