nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szDoNextFunc	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	nTaskItemId	szOnFinishTrack	Target_EnterMap	Target_CollectItem	nAcceptTaskNpcId	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide
70001	ZhenFaTask1_1	[Thường] Trận Pháp Thí Luyện	Đến [FFFE0D]Độc Cô Kiếm[-] nhận thử thách, mở Trận Pháp Thí Luyện hôm nay	Đến [FFFE0D]Độc Cô Kiếm[-] nhận thử thách	Đến [FFFE0D]Độc Cô Kiếm[-] nhận thử thách	[url=npc:testtt,88,15]	OnZhenFaTaskDoNext					88						1	1		6												1		
70002	ZhenFaTask2_1	[Thường] Trận Pháp Thí Luyện	Giúp [FFFE0D]$ZFT[-] (Tình duyên) hái 1 [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Tình duyên) hái [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Tình duyên) hái [FFFE0D]Xích Tâm Hoa[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70003	ZhenFaTask2_2	[Thường] Trận Pháp Thí Luyện	Giúp [FFFE0D]$ZFT[-] (Phu thê) hái 1 [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Phu thê) hái [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Phu thê) hái [FFFE0D]Xích Tâm Hoa[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70004	ZhenFaTask2_3	[Thường] Trận Pháp Thí Luyện	Giúp [FFFE0D]$ZFT[-] (Sư phụ) hái 1 [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Sư phụ) hái [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Sư phụ) hái [FFFE0D]Xích Tâm Hoa[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70005	ZhenFaTask2_4	[Thường] Trận Pháp Thí Luyện	Giúp [FFFE0D]$ZFT[-] (Đệ tử) hái 1 [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Đệ tử) hái [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Đệ tử) hái [FFFE0D]Xích Tâm Hoa[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70006	ZhenFaTask2_5	[Thường] Trận Pháp Thí Luyện	Giúp [FFFE0D]$ZFT[-] (Kết bái) hái 1 [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Kết bái) hái [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Kết bái) hái [FFFE0D]Xích Tâm Hoa[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70007	ZhenFaTask2_6	[Thường] Trận Pháp Thí Luyện	Giúp [FFFE0D]$ZFT[-] (Hảo hữu) hái 1 [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Hảo hữu) hái [FFFE0D]Xích Tâm Hoa[-]	Giúp [FFFE0D]$ZFT[-] (Hảo hữu) hái [FFFE0D]Xích Tâm Hoa[-]	[url=taskitem:test, $T]												1	1		6				4001								1		
70008	ZhenFaTask2_7	[Thường] Trận Pháp Thí Luyện	Cùng [FFFE0D]$ZFT[-] (Tình duyên) đến trước Miêu Lĩnh [FFFE0D]ngâm thơ[-]	Cùng [FFFE0D]$ZFT[-] (Tình duyên) ngâm 1 bài thơ	Cùng [FFFE0D]$ZFT[-] (Tình duyên) ngâm 1 bài thơ	[url=taskitem:test, $T]												1	1		6				4002								1		
70009	ZhenFaTask2_8	[Thường] Trận Pháp Thí Luyện	Cùng [FFFE0D]$ZFT[-] (Phu thê) đến trước Miêu Lĩnh [FFFE0D]ngâm thơ[-]	Cùng [FFFE0D]$ZFT[-] (Phu thê) ngâm 1 bài thơ	Cùng [FFFE0D]$ZFT[-] (Phu thê) ngâm 1 bài thơ	[url=taskitem:test, $T]												1	1		6				4002								1		
70010	ZhenFaTask2_9	[Thường] Trận Pháp Thí Luyện	Cùng [FFFE0D]$ZFT[-] (Sư phụ) đến trước Miêu Lĩnh [FFFE0D]ngâm thơ[-]	Cùng [FFFE0D]$ZFT[-] (Sư phụ) ngâm 1 bài thơ	Cùng [FFFE0D]$ZFT[-] (Sư phụ) ngâm 1 bài thơ	[url=taskitem:test, $T]												1	1		6				4002								1		
