nTemplateId	szDesc
2667	Ngoại Trang 1
2706	Ngoại Trang 2
3310	Ngoại Trang 3
1395	Trục Lộc Lệnh
1394	Danh Tướng Lệnh
1393	Minh Chủ Lệnh
5563	Vũ Khí Hiếm T13 (Chưa giám định)
5623	Áo Hiếm T13 (Chưa giám định)
5573	Dây Chuyền Hiếm T13 (Chưa giám định)
5583	Nhẫn Hiếm T13 (Chưa giám định)
5593	Ngọc Bội Hiếm T13 (Chưa giám định)
5603	Hộ Thân Phù Hiếm T13 (Chưa giám định)
5613	Nón Hiếm T13 (Chưa giám định)
5633	Hộ Uyển Hiếm T13 (Chưa giám định)
5643	Đai Hiếm T13 (Chưa giám định)
5653	Giày Hiếm T13 (Chưa giám định)
5562	Vũ Khí Hiếm T12
5622	Áo Hiếm T12
5572	Dây Chuyền Hiếm T12
5582	Nhẫn Hiếm T12
5592	Ngọc Bội Hiếm T12
5602	Hộ Thân Phù Hiếm T12
5612	Nón Hiếm T12
5632	Hộ Uyển Hiếm T12
5642	Đai Hiếm T12
5652	Giày Hiếm T12
5561	Vũ Khí Hiếm T11
5621	Áo Hiếm T11
5571	Dây Chuyền Hiếm T11
5581	Nhẫn Hiếm T11
5591	Ngọc Bội Hiếm T11
5601	Hộ Thân Phù Hiếm T11
5611	Nón Hiếm T11
5631	Hộ Uyển Hiếm T11
5641	Đai Hiếm T11
5651	Giày Hiếm T11
1131	Vũ Khí Hiếm T10
1191	Áo Hiếm T10
1141	Dây Chuyền Hiếm T10
1151	Nhẫn Hiếm T10
1161	Ngọc Bội Hiếm T10
1171	Hộ Thân Phù Hiếm T10
1181	Nón Hiếm T10
1201	Hộ Uyển Hiếm T10
1211	Đai Hiếm T10
1221	Giày Hiếm T10
1130	Vũ Khí Hiếm T9
1190	Áo Hiếm T9
1140	Dây Chuyền Hiếm T9
1150	Nhẫn Hiếm T9
1160	Ngọc Bội Hiếm T9
1170	Hộ Thân Phù Hiếm T9
1180	Nón Hiếm T9
1200	Hộ Uyển Hiếm T9
1210	Đai Hiếm T9
1220	Giày Hiếm T9
1129	Vũ Khí Hiếm T8
1189	Áo Hiếm T8
1139	Dây Chuyền Hiếm T8
1149	Nhẫn Hiếm T8
1159	Ngọc Bội Hiếm T8
1169	Hộ Thân Phù Hiếm T8
1179	Nón Hiếm T8
1199	Hộ Uyển Hiếm T8
1209	Đai Hiếm T8
1219	Giày Hiếm T8
1128	Vũ Khí Hiếm T7
1188	Áo Hiếm T7
1138	Dây Chuyền Hiếm T7
1148	Nhẫn Hiếm T7
1158	Ngọc Bội Hiếm T7
1168	Hộ Thân Phù Hiếm T7
1178	Nón Hiếm T7
1198	Hộ Uyển Hiếm T7
1208	Đai Hiếm T7
1218	Giày Hiếm T7
1127	Vũ Khí Hiếm T6
1187	Áo Hiếm T6
1137	Dây Chuyền Hiếm T6
1147	Nhẫn Hiếm T6
1157	Ngọc Bội Hiếm T6
1167	Hộ Thân Phù Hiếm T6
1177	Nón Hiếm T6
1197	Hộ Uyển Hiếm T6
1207	Đai Hiếm T6
1217	Giày Hiếm T6
1126	Vũ Khí Hiếm T5
1186	Áo Hiếm T5
1136	Dây Chuyền Hiếm T5
1146	Nhẫn Hiếm T5
1156	Ngọc Bội Hiếm T5
1166	Hộ Thân Phù Hiếm T5
1176	Nón Hiếm T5
1196	Hộ Uyển Hiếm T5
1206	Đai Hiếm T5
1216	Giày Hiếm T5
1125	Vũ Khí Hiếm T4
1185	Áo Hiếm T4
1135	Dây Chuyền Hiếm T4
1145	Nhẫn Hiếm T4
1155	Ngọc Bội Hiếm T4
1165	Hộ Thân Phù Hiếm T4
1175	Nón Hiếm T4
1195	Hộ Uyển Hiếm T4
1205	Đai Hiếm T4
1215	Giày Hiếm T4
2400	Ô Vân Đạp Tuyết
1697	Đá Hồn Ân Phương-Sơ
1704	Đá Hồn Bạch Mi Hầu Vương-Sơ
1705	Đá Hồn Đại Địa Lang Vương-Sơ
1706	Đá Hồn Hàn Ngọc Lộc Vương-Sơ
1709	Đá Hồn Trác Phi Phàm-Sơ
1710	Đá Hồn Nguyệt Minh Dao-Sơ
1711	Đá Hồn Long Ngạo Thiên-Sơ
1712	Đá Hồn Mạt Thiên Nhiên-Sơ
1719	Đá Hồn Đường Tiêu-Sơ
1721	Đá Hồn Trương Lâm Tâm-Sơ
1722	Đá Hồn Phong Ngọc Thư-Sơ
1725	Đá Hồn Hà Mộ Tuyết-Sơ
1726	Đá Hồn Triệu Thăng Quyền-Sơ
1727	Đá Hồn Nạp Lan Chân-Sơ
1728	Đá Hồn Sài Tung-Sơ
1737	Đá Hồn Thiệu Hồng Uyên-Sơ
1738	Đá Hồn Bạch Ngạn Kính-Sơ
1740	Đá Hồn Lôi Phong-Sơ
1741	Đá Hồn Lôi Đồng-Sơ
1742	Đá Hồn Đường Quyên Quyên-Sơ
1744	Đá Hồn Đoạt Bảo Tặc-Sơ
1745	Đá Hồn Song Thủ Dị Thú-Sơ
1746	Đá Hồn Bôn Diệm Báo Vương-Sơ
1747	Đá Hồn Cửu Vĩ Hồ Vương-Sơ
1760	Đá Hồn Trương Phong-Sơ
