Name	Path	IsPreLoad	Layer	Desc	BlackBg	AutoHideInFightMode	IsStay	OpenSound	CloseSound	OpenAni	CloseAni	BackBtnClose
Login	UI/Prefabs/Login/Login_v1.prefab		LAYER_NORMAL	Đăng nhập								
LoginBg	UI/Prefabs/Login/Login_Bg.prefab		LAYER_NORMAL	Nền đăng nhập	1							
SituationalDialogue	UI/Prefabs/SituationalDialogue.prefab		LAYER_NORMAL	Đối thoại cốt truyện						SituationalDialogueOpen		
MessageBox	UI/Prefabs/Tips&notice/MessageBox.prefab		LAYER_POPUP	Cửa sổ thường				8002	8003	NormalOpen		1
Commander	UI/Prefabs/Debug/Commander.prefab		LAYER_DEBUG	Giao diện Cơ Ái Mẫu								
HomeScreenTask	UI/Prefabs/HomeScreen/HomeScreenTask.prefab		LAYER_HOME	Giao diện chính-Nhiệm vụ								
HomeScreenBattle	UI/Prefabs/HomeScreen/HomeScreenBattle.prefab		LAYER_HOME	Giao diện chính-Kỹ năng			1					
HomeScreenExpBar	UI/Prefabs/HomeScreen/HomeScreenExpBar.prefab		LAYER_HOME	Giao diện chính-EXP								
Task	UI/Prefabs/Task/NewTask.prefab		LAYER_NORMAL	Nhiệm vụ	1			8002	8003	NormalOpen	NormalClose	1
PkMode	UI/Prefabs/HomeScreen/Modewidget.prefab		LAYER_HOME	Dạng PK								
PkModeGuide	UI/Prefabs/HomeScreen/ModeWidgetGuide.prefab		LAYER_GUIDE	Chỉ dẫn PK								
TeamRequestQueue	UI/Prefabs/Team/TeamRequestQueue.prefab		LAYER_NORMAL	Danh sách xin phép đội						NormalOpen		
RoleHead	UI/Prefabs/Role/RoleHead.prefab		LAYER_HOME	Hình đại diện								
ChatLargePanel	UI/Prefabs/ChatNew/ChatLargePanel.prefab		LAYER_NORMAL	Chi tiết trò chuyện								
ChatRightPopup	UI/Prefabs/ChatNew/ChatRightPopup.prefab		LAYER_POPUP	Biểu cảm trò chuyện								
CopyTipPanel	UI/Prefabs/ChatNew/CopyTipPanel.prefab		LAYER_NORMAL	Sao chép								
ChatSmall	UI/Prefabs/Chat/ChatSmall.prefab		LAYER_HOME	Giao diện chính-Trò chuyện								
FakeJoyStick	UI/Prefabs/FakeJoyStick.prefab		LAYER_HOME	Giao diện cần điều khiển								
HomeScreenFuben	UI/Prefabs/Fuben/HomeScreenFuben.prefab		LAYER_HOME	Giao diện Chiến Đấu-Thông tin phó bản								
PersonalFubenEntrance	UI/Prefabs/Fuben/FubenEntrance.prefab		LAYER_NORMAL	Giao diện chính ải thường	1					NormalOpen	NormalClose	
PersonalFubenSucces	UI/Prefabs/Fuben/PersonalFubenSuccesPanel.prefab		LAYER_NORMAL	Ải-Thắng	1							
PersonalFubenFail	UI/Prefabs/Fuben/PersonalFubenFail.prefab		LAYER_NORMAL	Ải-Thua	1					NormalOpen	NormalClose	
PersonalFubenDeath	UI/Prefabs/Fuben/DeathInformationPopup.prefab		LAYER_NORMAL	Ải-Cửa sổ tử vong	1					NormalOpen	NormalClose	
GetPosition	UI/Prefabs/GetPosition.prefab		LAYER_DEBUG									
GetNotice	UI/Prefabs/Tips&notice/GetNotice.prefab		LAYER_INFO									
ItemBox	UI/Prefabs/Role&BagPannle.prefab		LAYER_NORMAL	Hành Trang	1			8002	8003	NormalOpen	NormalClose	1
TaskNotice	UI/Prefabs/Tips&notice/TaskNotice.prefab		LAYER_INFO									
SystemNotice	UI/Prefabs/Tips&notice/SystemNotice.prefab		LAYER_INFO				1					
LoadingTips	UI/Prefabs/Tips&notice/LoadingTips.prefab		LAYER_LOADING				1					
TopButton	UI/Prefabs/HomeScreen/HomeScreenTopButton.prefab		LAYER_HOME	Giao diện chính-Các nút tính năng			1					
NpcStrip	UI/Prefabs/NPCstrip.prefab		LAYER_INFO									
LogMsg	UI/Prefabs/Debug/LogMsg.prefab		LAYER_DEBUG									
SkillPanel	UI/Prefabs/Skill/SkillPanel.prefab		LAYER_NORMAL	Giao diện kỹ năng	1			8002	8003	NormalOpen	NormalClose	1
EquipTips	UI/Prefabs/Tips&notice/equipmengttipspanle.prefab		LAYER_POPUP	Giao diện trang bị						NormalOpen		1
InscriptionTips	UI/Prefabs/Tips&notice/InscriptionTips.prefab		LAYER_POPUP	Giao diện thông tin Minh Văn						NormalOpen		1
SkillCheatsPanel	UI/Prefabs/Skill/SkillCheatsPanel.prefab		LAYER_POPUP	Giao diện thông tin bí kíp						NormalOpen		1
SkillCheatsComparePanel	UI/Prefabs/Skill/SkillCheatsPanel.prefab		LAYER_POPUP	Giao diện so sánh thông tin bí kíp						NormalOpen		1
CheatsOperationPanel	UI/Prefabs/Skill/CheatsPanel.prefab		LAYER_NORMAL	Giao diện thao tác bí kíp	1					NormalOpen		1
CompareTips	UI/Prefabs/Tips&notice/equipmengttipspanle.prefab		LAYER_POPUP	Giao diện thông tin Đồng Hành						NormalOpen		1
HomeScreenMiniMap	UI/Prefabs/HomeScreen/HomeScreenMiniMap.prefab		LAYER_HOME	Giao diện chính-Bản đồ nhỏ								
BattleTopButton	UI/Prefabs/HomeScreen/BattleTopButton.prefab		LAYER_HOME	Giao diện Chiến Đấu-Hành Trang Về Thành								
TeamFubenEntrance	UI/Prefabs/Fuben/FubenDetails.prefab		LAYER_NORMAL	Giao diện thông tin chi tiết phó bản tổ đội	1					NormalOpen	NormalClose	1
RandomFubenMission	UI/Prefabs/Fuben/MijingAccountPanle.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
TeamFubenMission	UI/Prefabs/Fuben/MijingAccountPanle_Team.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
CommonDeathPopup	UI/Prefabs/Tips&notice/CommonDeathPopup.prefab		LAYER_NORMAL							NormalOpen		
CommonShop	UI/Prefabs/Shop/CommonShop.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
MiniMap	UI/Prefabs/MiniMap/MiniMap.prefab		LAYER_NORMAL	 bản đồ	1					NormalOpen	NormalClose	1
BattleLabel	UI/Prefabs/Label.prefab		LAYER_HOME									
WorldMap	UI/Prefabs/MiniMap/WorldMap.prefab		LAYER_NORMAL	Thế Giới	1					NormalOpen	NormalClose	1
RefinementPanel	UI/Prefabs/Strengthen/Refinement.prefab		LAYER_POPUP									1
SocialPanel	UI/Prefabs/SocialNew/SocialPanel.prefab		LAYER_NORMAL	Giao diện Cộng Đồng	1			8002	8003	NormalOpen	NormalClose	1
Partner	UI/Prefabs/Companion/CompanionPanel.prefab		LAYER_NORMAL	Giao diện Đồng Hành	1			8002	8003	NormalOpen	NormalClose	1
StrengthenPanel	UI/Prefabs/Strengthen/StrengthenPanel.prefab		LAYER_NORMAL	Giao diện Cường Hóa	1					NormalOpen	NormalClose	1
WantedTips	UI/Prefabs/SocialNew/PublishWantedPanel.prefab		LAYER_POPUP	Cửa sổ truy nã						NormalOpen		
ChatSetting	UI/Prefabs/Chat/ChatSetting.prefab		LAYER_NORMAL	Thiết lập trò chuyện	1					NormalOpen		1
WantedAccountS	UI/Prefabs/SocialNew/RevengeSettlePanel.prefab		LAYER_NORMAL	Giao diện tổng kết truy nã	1					NormalOpen	NormalClose	
ChatItemPopup	UI/Prefabs/Chat/ChatItemPopup.prefab		LAYER_POPUP									1
FubenSectionPanel	UI/Prefabs/Fuben/FubenSelectionPanel.prefab		LAYER_NORMAL	Danh sách thẻ chương phó bản	1	1				NormalOpen	NormalClose	1
RefineNotice	UI/Prefabs/Strengthen/RefineNotice.prefab		LAYER_POPUP									
CreateRole	UI/Prefabs/Login/CreateRolePanel.prefab		LAYER_HOME	Tạo nhân vật								
MissionAward	UI/Prefabs/Fuben/MissionAwardPanel.prefab		LAYER_NORMAL	Thưởng hoàn thành	1					NormalOpen	NormalClose	
Setting	UI/Prefabs/Setting/Setting.prefab		LAYER_NORMAL	Giao diện thiết lập	1					NormalOpen	NormalClose	1
RankPanel	UI/Prefabs/Rank/RankPanel.prefab		LAYER_NORMAL	Võ Thần Điện	1			8002	8003	NormalOpen	NormalClose	1
FamilyDonation	UI/Prefabs/Family/FamilyDonationPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
CardPickingResult	UI/Prefabs/Companion/CardPickingResult.prefab		LAYER_NORMAL	Kết quả rút thẻ	1					NormalOpen	NormalClose	
ChatEmotionLink	UI/Prefabs/ChatNew/ChatEmotionLinkPanel.prefab		LAYER_NORMAL									1
NpcDialog	UI/Prefabs/Npc/NpcDialogue.prefab		LAYER_NORMAL	Đối thoại mặc định						NormalOpen		
EquipStarAttribTips	UI/Prefabs/Tips&notice/EquipStarAttribTipsNew.prefab		LAYER_POPUP									1
DebrisPanel	UI/Prefabs/Duobao/DuobaoPanel.prefab		LAYER_NORMAL	Đoạt mảnh	1			8002	8003	NormalOpen	NormalClose	
DebrisRobList	UI/Prefabs/Duobao/FragSnatchTarget.prefab		LAYER_NORMAL	Danh sách đoạt mảnh	1					NormalOpen	NormalClose	
DebrisFlipCard	UI/Prefabs/Duobao/FragSnatchFailure.prefab		LAYER_NORMAL	Đoạt mảnh thất bại lật thẻ	1					NormalOpen	NormalClose	
DebrisResult	UI/Prefabs/Duobao/ComposeSuccessAni.prefab		LAYER_NORMAL	Kết quả ghép đoạt mảnh	1					NormalOpen	NormalClose	
DebrisAvoidRob	UI/Prefabs/Duobao/SaleforMSJP.prefab		LAYER_NORMAL	Đoạt mảnh mua miễn chiến						NormalOpen		
DebrisMoreRobResult	UI/Prefabs/Duobao/FragmentSnathAccount.prefab		LAYER_NORMAL	Kết quả đoạt liên tiếp						NormalOpen		
BossPanel	UI/Prefabs/Boss/Boss.prefab		LAYER_NORMAL	Giao diện khiêu chiến Minh Chủ Võ Lâm	1	1				NormalOpen	NormalClose	1
BossRobList	UI/Prefabs/Boss/BossRobList.prefab		LAYER_NORMAL	Giao diện danh sách đoạt khiêu chiến Minh Chủ Võ Lâm						NormalOpen		1
BossRobResult	UI/Prefabs/Boss/BossRobResult.prefab		LAYER_NORMAL	Giao diện thống kê đoạt khiêu chiến Minh Chủ Võ Lâm	1					NormalOpen	NormalClose	
ShowAward	UI/Prefabs/Tips&notice/ShowAward.prefab		LAYER_NORMAL	Cổng nhận thưởng thường	1					NormalOpen	NormalClose	
QuickUseItem	UI/Prefabs/TreasureMap.prefab		LAYER_NORMAL	Nhìn giống đạo cụ dùng nhanh						NormalOpen		
MyAuctionPanel	UI/Prefabs/Family/MyAuctionPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
HomeScreenBattleInfo	UI/Prefabs/BattleField/HomeScreenBattleInfo.prefab		LAYER_HOME	Thông tin Chiến Trường								
BattleReport	UI/Prefabs/BattleField/BattleReport.prefab		LAYER_NORMAL	Chiến Báo Chiến Trường	1					NormalOpen	NormalClose	1
CommerceTaskPanel	UI/Prefabs/Task/CommerceTaskPanel.prefab		LAYER_NORMAL	Nhiệm Vụ Thương Hội	1			8002	8003	NormalOpen	NormalClose	1
VoiceRecord	UI/Prefabs/Chat/VoicePanle.prefab		LAYER_INFO	Giao diện nhắc nhở ghi âm								
CommerceHelpPanel	UI/Prefabs/Task/CommerceHelpPanel.prefab		LAYER_POPUP									
LevelUpPopup	UI/Prefabs/Role/LevelUp.prefab		LAYER_POPUP	Cửa sổ tăng cấp						NormalOpen		
AchievementPanel	UI/Prefabs/Achievement/AchievementPanel.prefab		LAYER_NORMAL	Giao diện thành tựu	1			8002	8003	NormalOpen	NormalClose	1
BattleEntrance	UI/Prefabs/BattleField/BattleEntrance.prefab		LAYER_NORMAL	Báo danh chiến trường	1					NormalOpen	NormalClose	1
AchievementDisplay	UI/Prefabs/Achievement/AchievementDisplay.prefab		LAYER_POPUP									
FubenStarAward	UI/Prefabs/Fuben/FubenStarAward.prefab		LAYER_NORMAL	Thưởng Cấp Sao Ải						NormalOpen		
TitleChangePanel	UI/Prefabs/TitleChangePanel.prefab		LAYER_POPUP	Đổi danh hiệu						NormalOpen		1
ChatAchievementPopup	UI/Prefabs/Achievement/ChatAchievementPopup.prefab		LAYER_POPUP									1
NotifyMsgList	UI/Prefabs/Tips&notice/NewsPanel.prefab		LAYER_NORMAL	Danh sách xử lý thông tin	1					NormalOpen	NormalClose	1
DungeonInviteList	UI/Prefabs/Dungeons/InvitePanel.prefab		LAYER_NORMAL	Danh sách mời Địa Cung						NormalOpen		1
BgBlack	UI/Prefabs/HomeScreen/BgBlack.prefab		LAYER_BG	Tìm vật cản đen								
HelperList	UI/Prefabs/Helper/SelectHelper.prefab		LAYER_NORMAL	DS Trợ chiến						NormalOpen		
ExplorationFubenPanel	UI/Prefabs/Fuben/ExplorationFubenPanel.prefab		LAYER_HOME	Do thám bản đồ								1
MeetEnemyPanel	UI/Prefabs/Fuben/MeetEnemyPanel.prefab		LAYER_NORMAL	Tìm kiếm gặp địch						NormalOpen		
PartnerDetail	UI/Prefabs/Companion/CompanionDetailPanel.prefab		LAYER_NORMAL	Giao diện thông tin Đồng Hành	1					NormalOpen	NormalClose	1
KinJoinPanel	UI/Prefabs/NewFamily/JoinFamilyPanel.prefab		LAYER_NORMAL	Vào giao diện bang hội	1					NormalOpen	NormalClose	1
KinCreatePanel	UI/Prefabs/NewFamily/CreateFamily.prefab		LAYER_NORMAL	Giao diện lập bang hội	1					NormalOpen	NormalClose	1
KinDetailPanel	UI/Prefabs/NewFamily/FamilyPanel.prefab		LAYER_NORMAL	Giao diện chi tiết Bang Hội	1			8002	8003	NormalOpen	NormalClose	1
KinApplyList	UI/Prefabs/NewFamily/ApplyListPanel.prefab		LAYER_NORMAL	Giao diện xin phép bang hội	1					NormalOpen	NormalClose	1
KinRecruit	UI/Prefabs/NewFamily/RecruitPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
KinMgrPanel	UI/Prefabs/NewFamily/KinMgrPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
KinChangeCareer	UI/Prefabs/NewFamily/FamilyCareer.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
KinAnswerPanel	UI/Prefabs/NewFamily/AnswerPanel.prefab		LAYER_NORMAL	Giao diện vấn đáp bang hội						NormalOpen		
KinApplyMsgPanel	UI/Prefabs/NewFamily/MessageApplyPanel.prefab		LAYER_NORMAL	Lời nhắn xin phép bang						NormalOpen		
KinApplyCustomMsgPanel	UI/Prefabs/NewFamily/MessageChangePanel.prefab		LAYER_NORMAL	Thiết lập lời nhắn xin phép bang						NormalOpen		
KinApplyViewMsgPanel	UI/Prefabs/NewFamily/MessagePanel.prefab		LAYER_NORMAL	Xem lời nhắn xin phép bang						NormalOpen		
KinDicePanel	UI/Prefabs/NewFamily/DicePanel.prefab		LAYER_NORMAL									
KinDeclareEditor	UI/Prefabs/NewFamily/FamilyDeclarationPanel.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	1
ViewRolePanel	UI/Prefabs/OthersDetailPanel.prefab		LAYER_NORMAL	Xem	1					NormalOpen		1
MapLoading	UI/Prefabs/Loading/Loading.prefab	1	LAYER_LOADING	Tiến độ đổi cảnh			1					
MailDetailedPanel	UI/Prefabs/Chat/MailDetailedPanel.prefab		LAYER_NORMAL	Nội dung hộp thư								1
CalendarPanel	UI/Prefabs/Calendar/Calendar.prefab		LAYER_NORMAL	Lịch hoạt động	1					NormalOpen	NormalClose	1
ActivityTip	UI/Prefabs/Calendar/ActivityTip.prefab		LAYER_POPUP									1
AutoSkillSetting	UI/Prefabs/AutoSkillSetting.prefab		LAYER_NORMAL	Giao diện thiết lập tự chiến đấu	1					NormalOpen	NormalClose	1
FightPowerTip	UI/Prefabs/Tips&notice/FightPowerTip.prefab		LAYER_INFO									
ViewFight	UI/Prefabs/Chat/ViewFight.prefab		LAYER_NORMAL	UI chiến đấu								
Guide	UI/Prefabs/Guide.prefab		LAYER_GUIDE	Giao diện hướng dẫn								
ColorMsgPanel	UI/Prefabs/ChatNew/ColorPanel.prefab		LAYER_NORMAL									1
PrayPanel	UI/Prefabs/Pray/PrayPanel.prefab		LAYER_NORMAL	Giao diện chúc phúc	1					NormalOpen	NormalClose	1
FriendApplyPanel	UI/Prefabs/SocialNew/FriendApplyPanel.prefab		LAYER_NORMAL	Danh sách xin phép hảo hữu						NormalOpen		1
AddFriendPanel	UI/Prefabs/SocialNew/AddFriendPanel.prefab		LAYER_NORMAL	Tìm kết bạn						NormalOpen		1
RightPopup	UI/Prefabs/RightPopup.prefab		LAYER_POPUP	Danh sách thao tác menu chuột phải								1
RoleInformationPanel	UI/Prefabs/Role/RoleInformationPanel.prefab		LAYER_NORMAL	Thông tin hình đại diện	1					NormalOpen		1
ChuangGongPanel	UI/Prefabs/Chat/ChuangGongPanel.prefab		LAYER_NORMAL	Truyền Công						NormalOpen	NormalClose	
PortraitSelectPanel	UI/Prefabs/Role/HeadSelectPanel.prefab		LAYER_NORMAL	Chọn hình đại diện	1					NormalOpen	NormalClose	1
QYHbattleInfo	UI/Prefabs/QueYingHui/QYHbattleInfo.prefab		LAYER_NORMAL									
QYHEntrance	UI/Prefabs/QueYingHui/QYHEntrance.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
QYHAccount	UI/Prefabs/QueYingHui/QYHAccount.prefab		LAYER_NORMAL		1					NormalOpen	NormalClose	
QYHLeftInfo	UI/Prefabs/QueYingHui/QYHLeftInfo.prefab		LAYER_NORMAL									
BattleFieldTips	UI/Prefabs/BattleField/TipsForKills.prefab		LAYER_INFO	Ẩn thông tin gợi ý trong Chiến Trường								
WelfareActivity	UI/Prefabs/WelfareActivities/WelfareActivities.prefab		LAYER_NORMAL	Giao diện phúc lợi	1					NormalOpen	NormalClose	1
ChangeName	UI/Prefabs/Role/ChangeNamePanel.prefab		LAYER_NORMAL	Đổi tên						NormalOpen		1
RankBoardPanel	UI/Prefabs/Rank/RankingListPanel.prefab		LAYER_NORMAL	Xếp Hạng	1					NormalOpen	NormalClose	1
AutoLeaveTip	UI/Prefabs/Fuben/AutomaticallyLeavePanel.prefab		LAYER_INFO	Nhắc nhở tự thoát tìm kiếm								
NumberKeyboard	UI/Prefabs/Shop/KeyboardPanel.prefab		LAYER_POPUP	Bàn phím số								1
AchievementTitle	UI/Prefabs/Achievement/AchievementTipPanel.prefab		LAYER_POPUP	Khung danh hiệu giao diện thành tựu								
ActivityQuestion	UI/Prefabs/Quiz/Quiz.prefab		LAYER_NORMAL	UI hoạt động Vấn Đáp	1					NormalOpen	NormalClose	1
KinMailPanel	UI/Prefabs/NewFamily/FamliyMailPanel.prefab		LAYER_NORMAL	Thư Bang Hội								1
SpecialLife	UI/Prefabs/SpecialLife.prefab		LAYER_NORMAL	Thanh sinh lực BOSS								
PartnerItemComposePanel	UI/Prefabs/Companion/CompanionRelevantPanel.prefab		LAYER_NORMAL	Ghép trang bị Đồng Hành		1						
TeamFubenPanel	UI/Prefabs/Fuben/TeamFuebnPanel.prefab		LAYER_NORMAL	Phó bản tổ đội	1					NormalOpen	NormalClose	1
MissionAwardList	UI/Prefabs/Fuben/MissionAwardList.prefab		LAYER_NORMAL	UI nhận bù thưởng hoàn thành	1					NormalOpen	NormalClose	
PartnerItemGainPanel	UI/Prefabs/Companion/CompanionEquipmentPanel.prefab		LAYER_NORMAL	Danh sách nhận trang bị		1						
TeamPanel	UI/Prefabs/Team/TeamPanel.prefab		LAYER_NORMAL	Giao diện đội	1					NormalOpen	NormalClose	1
AwardTips	UI/Prefabs/Tips&notice/AwardTips.prefab		LAYER_POPUP	Giao diện phần thưởng thường	1					NormalOpen		
CompanionShow	UI/Prefabs/Companion/CompanionRecruitPanel.prefab		LAYER_NORMAL	Hiện Đồng Hành	1					NormalOpen		
ReadyGo	UI/Prefabs/Yibuzhandou/ReadyGo.prefab		LAYER_INFO	3 2 1 bắt đầu								
RankBattleResult	UI/Prefabs/Yibuzhandou/RankBattleResult.prefab		LAYER_NORMAL	Giao diện tổng kết Võ Thần Điện	1					NormalOpen	NormalClose	
ItemTips	UI/Prefabs/Tips&notice/BigItemTips.prefab		LAYER_POPUP	Giao diện thông tin đạo cụ thường						NormalOpen		1
ItemCompareTips	UI/Prefabs/Tips&notice/BigItemTips.prefab		LAYER_POPUP	Giao diện thông tin so sánh đạo cụ thường						NormalOpen		1
