szKey	szName	nLevelMin	nLevelMax
SummerGift	7 Ngày Sôi Động	20	
RechargeInstruction	Hoàn trả nạp thẻ	999	
RechargeGift	Quà Nguyên Bảo	10	
DailyRechargeGift	Quà Mỗi Ngày	10	
GrowInvest	Đầu Tư	21	
FirstRecharge	Thưởng Nạp Lần Đầu	10	
SignInAwards	Điểm Danh Nhận Thưởng	9	
MoneyTreePanel	Rung Cây Tiền	8	
QQVipPrivilege	Đặc Quyền VIP	8	
OnHook	Ủy Thác Rời Mạng	20	
SupplementPanel	Nhận Lại Phần Thưởng	11	
BuyLevelUp	Thăng Cấp Trực Tiếp	50	
NewYearBuyGift	Quà Ngày Lễ	1	
StrengthenUpGift	Tăng Ngay Cường Hóa	20	
FriendInvitationGift	Mời hảo hữu	1	
