nDayIdx	szType	nItemId	nCount
1	Item	2528	1
1	Item	1423	1
1	Gold		50000
1	Coin		50000
2	Item	1394	3
2	Item	1335	5
2	Item	1258	1
2	Gold		33333
3	Partner	18	1
3	Item	3693	1
3	Item	1968	100
3	Coin		55555
4	Item	6148	1
4	Item	3518	10
4	Contrib		50000
4	Item	785	100
5	Energy		100000
5	ZhenQi		100000
5	Item	2161	1
5	Item	3420	1
6	Item	2699	4
6	Item	1969	500
6	Item	2424	100
6	Item	3418	1
7	Item	4045	1
7	Item	786	200
7	Item	785	200
7	Item	3416	1
8	Item	223	5
8	Item	786	5
8	Item	785	5
8	Item	1016	10
9	Item	2159	1
9	Item	222	5
9	Item	1234	10
9	Coin		10000
10	Item	2301	2
10	Item	1927	100
10	Contrib		1000
10	Item	1016	10
11	Item	2569	1
11	Item	222	5
11	Item	1235	10
11	Coin		10000
12	Item	2759	2
12	Item	1927	100
12	Contrib		1000
12	Item	1016	10
13	Item	1930	2
13	Item	222	5
13	Item	1234	10
13	Coin		10000
14	Item	3495	1
14	Item	1927	100
14	Contrib		1000
14	Item	1016	10
