Day	Content
1	Còn [FFFE0D]2 ngày[-], ta sẽ cùng ngươi bôn ba giang hồ!
1	Phi Long Bảo tuy là「Thống Lĩnh Tam Minh」, nhưng quá trình lại rất vất vả...
2	Còn [FFFE0D]một ngày[-], ta sẽ cùng ngươi đi khắp giang hồ!
2	Dương Ảnh Phong... Tại sao ngươi lại là kẻ thù hại cha ta chứ.
2	Muốn xem tuấn mã độc Bộ Thiên Hạ của Phi Long Bảo ta?
3	Ngươi có bằng lòng giúp ta?
3	Ta...nguyện giúp ngươi một tay...
3	Từ nay về sau ta cùng ngươi tung hoành giang hồ!
4	[FFFE0D]3 ngày sau[-], ta có quà tặng ngươi.
4	Ngươi rất có tài, sau này nhất định sẽ có thành tựu.
5	Đừng nóng vội, [FFFE0D]hai ngày sau[-] sẽ biết là quà gì!
5	Bôn ba giang hồ không thể thiếu vật ngoài thân
6	[FFFE0D]Còn một ngày nữa[-] sẽ nhận được quà!
6	Mong là Chân Nhi và người ấy có thể hạnh phúc.
7	Sao ngươi không ngạc nhiên với món quà này?
7	Quà này ta cất giữ đã lâu, ngươi hãy cầm lấy.
8	Hành tẩu võ lâm, phải thật cẩn trọng
9	Hành tẩu võ lâm, phải thật cẩn trọng
10	Hành tẩu võ lâm, phải thật cẩn trọng
11	Hành tẩu võ lâm, phải thật cẩn trọng
12	Hành tẩu võ lâm, phải thật cẩn trọng
13	Hành tẩu võ lâm, phải thật cẩn trọng
14	Hành tẩu võ lâm, phải thật cẩn trọng
