ServerId	Normal	Battle	Baihu	TeamBattle	Indiffer	DaXueZhang	BiWuZhaoQin	WLDH	BLBoss	ZoneBossMaster	FactionBattle	QYHCross	CrossDomain	KeyQuestFuben	KinEncounter
20001	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
20002	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
20003	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
20004	1	2	2	2	2	2	2	3	3	3	3	3	3	3	3
20005	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3
20006	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3
20007	1	3	3	3	3	3	3	4	4	4	4	4	4	4	4
20008	1	3	3	3	3	3	3	4	4	4	4	4	4	4	4
20009	1	3	3	3	3	3	3	4	4	4	4	4	4	4	4
20010	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4
20011	1	4	4	4	4	4	4	5	5	5	5	5	5	5	5
20012	1	4	4	4	4	4	4	5	5	5	5	5	5	5	5
20014	1	4	4	4	4	4	4	5	5	5	5	5	5	5	5
20016	1	4	4	4	4	4	4	5	5	5	5	5	5	5	5
20019	1	4	4	4	4	4	4	6	6	6	6	6	6	6	6
20022	1	5	5	5	5	5	5	6	6	6	6	6	6	6	6
20024	1	5	5	5	5	5	5	6	6	6	6	6	6	6	6
20026	1	5	5	5	5	5	5	6	6	6	6	6	6	6	6
20027	1	5	5	5	5	5	5	7	7	7	7	7	7	7	7
20032	1	5	5	5	5	5	5	7	7	7	7	7	7	7	7
20033	1	6	6	6	6	6	6	7	7	7	7	7	7	7	7
20034	1	6	6	6	6	6	6	7	7	7	7	7	7	7	7
20037	1	6	6	6	6	6	6	8	8	8	8	8	8	8	8
20041	1	6	6	6	6	6	6	8	8	8	8	8	8	8	8
20043	1	6	6	6	6	6	6	8	8	8	8	8	8	8	8
20047	1	7	7	7	7	7	7	8	8	8	8	8	8	8	8
20049	1	7	7	7	7	7	7	9	9	9	9	9	9	9	9
20051	1	7	7	7	7	7	7	9	9	9	9	9	9	9	9
20055	1	7	7	7	7	7	7	9	9	9	9	9	9	9	9
20060	1	7	7	7	7	7	7	9	9	9	9	9	9	9	9
20063	1	8	8	8	8	8	8	10	10	10	10	10	10	10	10
20069	1	8	8	8	8	8	8	10	10	10	10	10	10	10	10
20072	1	8	8	8	8	8	8	10	10	10	10	10	10	10	10
20075	1	8	8	8	8	8	8	10	10	10	10	10	10	10	10
20077	1	8	8	8	8	8	8	11	11	11	11	11	11	11	11
20081	1	9	9	9	9	9	9	11	11	11	11	11	11	11	11
20086	1	9	9	9	9	9	9	11	11	11	11	11	11	11	11
20090	1	9	9	9	9	9	9	11	11	11	11	11	11	11	11
20092	1	9	9	9	9	9	9	12	12	12	12	12	12	12	12
20093	1	9	9	9	9	9	9	12	12	12	12	12	12	12	12
20099	1	10	10	10	10	10	10	12	12	12	12	12	12	12	12
20101	1	10	10	10	10	10	10	12	12	12	12	12	12	12	12
20106	1	10	10	10	10	10	10	13	13	13	13	13	13	13	13
20111	1	10	10	10	10	10	10	13	13	13	13	13	13	13	13
20115	1	10	10	10	10	10	10	13	13	13	13	13	13	13	13
20119	1	11	11	11	11	11	11	13	13	13	13	13	13	13	13
20122	1	11	11	11	11	11	11	14	14	14	14	14	14	14	14
