Key	ID	Name	Type	MaxNum	MaxSaveNum	TimeFrame	Tips	Sub	ActivityType
kin	1	Bang Hội	0	30	100		Căn cứ hạng uy danh Bang Hội		
FightPower	2	Lực Chiến	0	500	500		Căn cứ lực chiến nhân vật		
qunyinghui	3	Quần Anh Hội	0	500	500	NotOpen	Hạng Quần Anh Hội		
Level	4	Cấp	0	500	500		Căn cứ cấp nhân vật		
FightPower_1	5	Thiên Vương	0	500	500		Căn cứ lực chiến nhân vật Thiên Vương	Phái	
FightPower_2	6	Nga Mi	0	500	500		Căn cứ lực chiến nhân vật Nga Mi	Phái	
FightPower_3	7	Đào Hoa	0	500	500		Căn cứ lực chiến nhân vật Đào Hoa	Phái	
FightPower_4	8	Tiêu Dao	0	500	500		Căn cứ lực chiến nhân vật Tiêu Dao	Phái	
FightPower_5	9	Võ Đang	0	500	500		Căn cứ lực chiến nhân vật Võ Đang	Phái	
FightPower_6	10	Thiên Nhẫn	0	500	500		Căn cứ lực chiến nhân vật Thiên Nhẫn	Phái	
FightPower_Equip	11	Trang bị cơ bản	0	500	500		Hạng tổng lực chiến thuộc tính ngẫu nhiên trên trang bị	Trang Bị	
FightPower_Strengthen	12	Cường hóa	0	500	500		Hạng tổng lực chiến cường hóa trang bị tăng thêm	Trang Bị	
FightPower_Stone	13	Khảm	0	500	500		Hạng tổng lực chiến khảm trang bị tăng thêm	Trang Bị	
FightPower_Partner	14	Đồng Hành	0	500	500		Xếp hạng tổng lực chiến tất cả Đồng Hành ra trận		
CardCollection_1	15	Thu Thập Lăng Tuyệt Phong	0	500	10000	OpenLevel59	BXH Thu Thập Thẻ Lăng Tuyệt Phong		
LunJianRank	16	Hoa Sơn Luận Kiếm	1	1000	10000	HuaShanLunJian	Hoa Sơn Luận Kiếm		
FightPower_7	17	Thiếu Lâm	0	500	500		Căn cứ lực chiến nhân vật Thiếu Lâm	Phái	
FightPower_8	18	Thúy Yên	0	500	500		Căn cứ lực chiến nhân vật Thúy Yên	Phái	
